段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 00:00:00,2024-04-01 00:07:00,8,停机,False,正常,0,1
2024-04-01 00:08:00,2024-04-01 00:19:00,12,带载运行,False,正常,1,1
2024-04-01 00:20:00,2024-04-01 00:32:00,13,停机,False,正常,2,1
2024-04-01 00:33:00,2024-04-01 00:34:00,2,带载运行,False,正常,3,1
2024-04-01 00:35:00,2024-04-01 00:35:00,1,停机,False,正常,4,1
2024-04-01 00:36:00,2024-04-01 00:36:00,1,带载运行,False,正常,5,1
2024-04-01 00:37:00,2024-04-01 00:51:00,15,停机,False,正常,6,1
2024-04-01 00:52:00,2024-04-01 00:53:00,2,空载运行,False,正常,7,1
2024-04-01 00:54:00,2024-04-01 01:05:00,12,带载运行,False,正常,8,1
2024-04-01 01:06:00,2024-04-01 01:24:00,19,停机,False,正常,9,1
2024-04-01 01:25:00,2024-04-01 01:25:00,1,空载运行,False,正常,10,1
2024-04-01 01:26:00,2024-04-01 01:40:00,15,带载运行,False,正常,11,1
2024-04-01 01:41:00,2024-04-01 02:26:00,46,停机,False,正常,12,1
2024-04-01 02:27:00,2024-04-01 02:27:00,1,带载运行,False,正常,13,1
2024-04-01 02:28:00,2024-04-01 04:10:00,103,停机,False,正常,14,1
2024-04-01 04:11:00,2024-04-01 04:11:00,1,空载运行,False,正常,15,1
2024-04-01 04:12:00,2024-04-01 04:12:00,1,带载运行,False,正常,16,1
2024-04-01 04:13:00,2024-04-01 04:18:00,6,停机,False,正常,17,1
2024-04-01 04:19:00,2024-04-01 04:19:00,1,空载运行,False,正常,18,1
2024-04-01 04:20:00,2024-04-01 04:21:00,2,停机,False,正常,19,1
2024-04-01 04:22:00,2024-04-01 04:22:00,1,带载运行,False,正常,20,1
2024-04-01 04:23:00,2024-04-01 04:26:00,4,停机,False,正常,21,1
2024-04-01 04:27:00,2024-04-01 04:27:00,1,空载运行,False,正常,22,1
2024-04-01 04:28:00,2024-04-01 04:28:00,1,带载运行,False,正常,23,1
2024-04-01 04:29:00,2024-04-01 04:30:00,2,停机,False,正常,24,1
2024-04-01 04:31:00,2024-04-01 06:36:00,126,带载运行,False,正常,25,1
2024-04-01 06:37:00,2024-04-01 08:02:00,86,停机,False,正常,26,1
2024-04-01 08:03:00,2024-04-01 08:03:00,1,空载运行,False,正常,27,1
2024-04-01 08:04:00,2024-04-01 08:17:00,14,带载运行,False,正常,28,1
2024-04-01 08:18:00,2024-04-01 08:32:00,15,停机,False,正常,29,1
2024-04-01 08:33:00,2024-04-01 08:43:00,11,带载运行,False,正常,30,1
2024-04-01 08:44:00,2024-04-01 08:44:00,1,停机,False,正常,31,1
2024-04-01 08:45:00,2024-04-01 08:45:00,1,空载运行,False,正常,32,1
2024-04-01 08:46:00,2024-04-01 09:34:00,49,带载运行,False,正常,33,1
2024-04-01 09:35:00,2024-04-01 10:02:00,28,停机,False,正常,34,1
2024-04-01 10:03:00,2024-04-01 10:03:00,1,空载运行,False,正常,35,1
2024-04-01 10:04:00,2024-04-01 10:05:00,2,停机,False,正常,36,1
2024-04-01 10:06:00,2024-04-01 10:07:00,2,带载运行,False,正常,37,1
2024-04-01 10:08:00,2024-04-01 10:10:00,3,停机,False,正常,38,1
2024-04-01 10:11:00,2024-04-01 10:12:00,2,带载运行,False,正常,39,1
2024-04-01 10:13:00,2024-04-01 10:13:00,1,停机,False,正常,40,1
2024-04-01 10:14:00,2024-04-01 10:14:00,1,空载运行,False,正常,41,1
2024-04-01 10:15:00,2024-04-01 10:15:00,1,带载运行,False,正常,42,1
2024-04-01 10:16:00,2024-04-01 10:19:00,4,停机,False,正常,43,1
2024-04-01 10:20:00,2024-04-01 10:21:00,2,带载运行,False,正常,44,1
2024-04-01 10:22:00,2024-04-01 10:22:00,1,空载运行,False,正常,45,1
2024-04-01 10:23:00,2024-04-01 10:24:00,2,停机,False,正常,46,1
2024-04-01 10:25:00,2024-04-01 10:25:00,1,带载运行,False,正常,47,1
2024-04-01 10:26:00,2024-04-01 10:26:00,1,空载运行,False,正常,48,1
2024-04-01 10:27:00,2024-04-01 10:27:00,1,停机,False,正常,49,1
2024-04-01 10:28:00,2024-04-01 10:28:00,1,带载运行,False,正常,50,1
2024-04-01 10:29:00,2024-04-01 10:29:00,1,停机,False,正常,51,1
2024-04-01 10:30:00,2024-04-01 10:30:00,1,空载运行,False,正常,52,1
2024-04-01 10:31:00,2024-04-01 10:51:00,21,停机,False,正常,53,1
2024-04-01 10:52:00,2024-04-01 10:52:00,1,带载运行,False,正常,54,1
2024-04-01 10:53:00,2024-04-01 10:55:00,3,停机,False,正常,55,1
2024-04-01 10:56:00,2024-04-01 10:56:00,1,带载运行,False,正常,56,1
2024-04-01 10:57:00,2024-04-01 11:01:00,5,停机,False,正常,57,1
2024-04-01 11:02:00,2024-04-01 11:02:00,1,空载运行,False,正常,58,1
2024-04-01 11:03:00,2024-04-01 11:03:00,1,带载运行,False,正常,59,1
2024-04-01 11:04:00,2024-04-01 11:06:00,3,停机,False,正常,60,1
2024-04-01 11:07:00,2024-04-01 11:07:00,1,空载运行,False,正常,61,1
2024-04-01 11:08:00,2024-04-01 11:13:00,6,停机,False,正常,62,1
2024-04-01 11:14:00,2024-04-01 11:14:00,1,空载运行,False,正常,63,1
2024-04-01 11:15:00,2024-04-01 11:26:00,12,停机,False,正常,64,1
2024-04-01 11:27:00,2024-04-01 11:27:00,1,空载运行,False,正常,65,1
2024-04-01 11:28:00,2024-04-01 11:37:00,10,停机,False,正常,66,1
2024-04-01 11:38:00,2024-04-01 11:39:00,2,空载运行,False,正常,67,1
2024-04-01 11:40:00,2024-04-01 12:11:00,32,停机,False,正常,68,1
2024-04-01 12:12:00,2024-04-01 12:13:00,2,带载运行,False,正常,69,1
2024-04-01 12:14:00,2024-04-01 12:16:00,3,停机,False,正常,70,1
2024-04-01 12:17:00,2024-04-01 12:19:00,3,带载运行,False,正常,71,1
2024-04-01 12:20:00,2024-04-01 14:16:00,117,停机,False,正常,72,1
2024-04-01 14:17:00,2024-04-01 14:18:00,2,空载运行,False,正常,73,1
2024-04-01 14:19:00,2024-04-01 14:21:00,3,停机,False,正常,74,1
2024-04-01 14:22:00,2024-04-01 14:22:00,1,空载运行,False,正常,75,1
2024-04-01 14:23:00,2024-04-01 14:24:00,2,带载运行,False,正常,76,1
2024-04-01 14:25:00,2024-04-01 14:40:00,16,空载运行,False,正常,77,1
2024-04-01 14:41:00,2024-04-01 14:47:00,7,带载运行,False,正常,78,1
2024-04-01 14:48:00,2024-04-01 14:55:00,8,停机,False,正常,79,1
2024-04-01 14:56:00,2024-04-01 14:56:00,1,空载运行,False,正常,80,1
2024-04-01 14:57:00,2024-04-01 15:09:00,13,停机,False,正常,81,1
2024-04-01 15:10:00,2024-04-01 15:10:00,1,空载运行,False,正常,82,1
2024-04-01 15:11:00,2024-04-01 15:14:00,4,停机,False,正常,83,1
2024-04-01 15:15:00,2024-04-01 15:15:00,1,空载运行,False,正常,84,1
2024-04-01 15:16:00,2024-04-01 15:22:00,7,带载运行,False,正常,85,1
2024-04-01 15:23:00,2024-04-01 15:36:00,14,停机,False,正常,86,1
2024-04-01 15:37:00,2024-04-01 16:43:00,67,带载运行,False,正常,87,1
