段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 00:00:00,2024-04-01 00:01:00,2,停机,False,正常,0,1
2024-04-01 00:02:00,2024-04-01 00:51:00,50,待机,False,正常,1,1
2024-04-01 00:52:00,2024-04-01 00:53:00,2,调架中,False,正常,2,1
2024-04-01 00:54:00,2024-04-01 00:54:00,1,待机,False,正常,3,1
2024-04-01 00:55:00,2024-04-01 00:55:00,1,调架中,False,正常,4,1
2024-04-01 00:56:00,2024-04-01 00:56:00,1,割煤中位,False,正常,5,1
2024-04-01 00:57:00,2024-04-01 00:57:00,1,割煤高位,False,正常,6,1
2024-04-01 00:58:00,2024-04-01 00:59:00,2,调架中,False,正常,7,1
2024-04-01 01:00:00,2024-04-01 01:00:00,1,割煤高位,False,正常,8,1
2024-04-01 01:01:00,2024-04-01 04:36:00,216,待机-高位,True,异常持续段（>120min 阈值）,9,2
2024-04-01 04:37:00,2024-04-01 04:41:00,5,割煤高位,False,正常,10,3
2024-04-01 04:42:00,2024-04-01 04:42:00,1,割煤中位,False,正常,11,3
2024-04-01 04:43:00,2024-04-01 04:43:00,1,割煤高位,False,正常,12,3
2024-04-01 04:44:00,2024-04-01 04:44:00,1,调架中,False,正常,13,3
2024-04-01 04:45:00,2024-04-01 04:46:00,2,割煤中位,False,正常,14,3
2024-04-01 04:47:00,2024-04-01 04:50:00,4,割煤高位,False,正常,15,3
2024-04-01 04:51:00,2024-04-01 04:51:00,1,调架中,False,正常,16,3
2024-04-01 04:52:00,2024-04-01 04:52:00,1,割煤高位,False,正常,17,3
2024-04-01 04:53:00,2024-04-01 04:54:00,2,调架中,False,正常,18,3
2024-04-01 04:55:00,2024-04-01 04:59:00,5,割煤高位,False,正常,19,3
2024-04-01 05:00:00,2024-04-01 05:00:00,1,调架中,False,正常,20,3
2024-04-01 05:01:00,2024-04-01 05:01:00,1,割煤高位,False,正常,21,3
2024-04-01 05:02:00,2024-04-01 05:02:00,1,调架中,False,正常,22,3
