段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 00:00:00,2024-04-01 00:01:00,2,停机,False,正常,0,1
2024-04-01 00:02:00,2024-04-01 00:07:00,6,轻载,False,正常,1,1
2024-04-01 00:08:00,2024-04-01 00:10:00,3,停机,False,正常,2,1
2024-04-01 00:11:00,2024-04-01 00:11:00,1,重载,False,正常,3,1
2024-04-01 00:12:00,2024-04-01 00:51:00,40,停机,False,正常,4,1
2024-04-01 00:52:00,2024-04-01 00:53:00,2,重载,False,正常,5,1
2024-04-01 00:54:00,2024-04-01 00:54:00,1,停机,False,正常,6,1
2024-04-01 00:55:00,2024-04-01 01:00:00,6,重载,False,正常,7,1
2024-04-01 01:01:00,2024-04-01 01:37:00,37,停机,False,正常,8,1
2024-04-01 01:38:00,2024-04-01 01:38:00,1,重载,False,正常,9,1
2024-04-01 01:39:00,2024-04-01 04:36:00,178,停机,True,异常持续段（>135min 阈值）,10,2
2024-04-01 04:37:00,2024-04-01 05:28:00,52,重载,False,正常,11,3
2024-04-01 05:29:00,2024-04-01 05:29:00,1,停机,False,正常,12,3
2024-04-01 05:30:00,2024-04-01 06:41:00,72,重载,False,正常,13,3
2024-04-01 06:42:00,2024-04-01 06:52:00,11,停机,False,正常,14,3
2024-04-01 06:53:00,2024-04-01 07:08:00,16,重载,False,正常,15,3
2024-04-01 07:09:00,2024-04-01 07:23:00,15,停机,False,正常,16,3
2024-04-01 07:24:00,2024-04-01 07:26:00,3,重载,False,正常,17,3
2024-04-01 07:27:00,2024-04-01 07:33:00,7,停机,False,正常,18,3
2024-04-01 07:34:00,2024-04-01 07:36:00,3,重载,False,正常,19,3
2024-04-01 07:37:00,2024-04-01 07:41:00,5,停机,False,正常,20,3
2024-04-01 07:42:00,2024-04-01 07:48:00,7,重载,False,正常,21,3
2024-04-01 07:49:00,2024-04-01 07:51:00,3,停机,False,正常,22,3
2024-04-01 07:52:00,2024-04-01 07:53:00,2,重载,False,正常,23,3
2024-04-01 07:54:00,2024-04-01 07:54:00,1,停机,False,正常,24,3
2024-04-01 07:55:00,2024-04-01 07:59:00,5,重载,False,正常,25,3
2024-04-01 08:00:00,2024-04-01 08:02:00,3,停机,False,正常,26,3
2024-04-01 08:03:00,2024-04-01 08:06:00,4,重载,False,正常,27,3
2024-04-01 08:07:00,2024-04-01 08:07:00,1,停机,False,正常,28,3
2024-04-01 08:08:00,2024-04-01 08:30:00,23,重载,False,正常,29,3
2024-04-01 08:31:00,2024-04-01 08:33:00,3,停机,False,正常,30,3
2024-04-01 08:34:00,2024-04-01 09:15:00,42,重载,False,正常,31,3
2024-04-01 09:16:00,2024-04-01 09:17:00,2,停机,False,正常,32,3
2024-04-01 09:18:00,2024-04-01 09:18:00,1,重载,False,正常,33,3
2024-04-01 09:19:00,2024-04-01 09:19:00,1,停机,False,正常,34,3
2024-04-01 09:20:00,2024-04-01 09:21:00,2,重载,False,正常,35,3
2024-04-01 09:22:00,2024-04-01 09:40:00,19,停机,False,正常,36,3
2024-04-01 09:41:00,2024-04-01 09:41:00,1,轻载,False,正常,37,3
2024-04-01 09:42:00,2024-04-01 09:42:00,1,停机,False,正常,38,3
2024-04-01 09:43:00,2024-04-01 11:22:00,100,轻载,False,正常,39,3
2024-04-01 11:23:00,2024-04-01 11:23:00,1,停机,False,正常,40,3
2024-04-01 11:24:00,2024-04-01 11:25:00,2,重载,False,正常,41,3
2024-04-01 11:26:00,2024-04-01 11:26:00,1,轻载,False,正常,42,3
2024-04-01 11:27:00,2024-04-01 11:30:00,4,重载,False,正常,43,3
2024-04-01 11:31:00,2024-04-01 11:35:00,5,停机,False,正常,44,3
2024-04-01 11:36:00,2024-04-01 11:39:00,4,重载,False,正常,45,3
2024-04-01 11:40:00,2024-04-01 11:40:00,1,停机,False,正常,46,3
2024-04-01 11:41:00,2024-04-01 11:42:00,2,重载,False,正常,47,3
2024-04-01 11:43:00,2024-04-01 11:44:00,2,停机,False,正常,48,3
2024-04-01 11:45:00,2024-04-01 11:59:00,15,轻载,False,正常,49,3
2024-04-01 12:00:00,2024-04-01 13:36:00,97,停机,False,正常,50,3
2024-04-01 13:37:00,2024-04-01 13:38:00,2,重载,False,正常,51,3
2024-04-01 13:39:00,2024-04-01 13:57:00,19,停机,False,正常,52,3
2024-04-01 13:58:00,2024-04-01 13:58:00,1,重载,False,正常,53,3
2024-04-01 13:59:00,2024-04-01 14:07:00,9,停机,False,正常,54,3
2024-04-01 14:08:00,2024-04-01 14:08:00,1,轻载,False,正常,55,3
2024-04-01 14:09:00,2024-04-01 14:09:00,1,重载,False,正常,56,3
2024-04-01 14:10:00,2024-04-01 14:11:00,2,停机,False,正常,57,3
2024-04-01 14:12:00,2024-04-01 14:12:00,1,重载,False,正常,58,3
2024-04-01 14:13:00,2024-04-01 15:07:00,55,轻载,False,正常,59,3
2024-04-01 15:08:00,2024-04-01 15:14:00,7,重载,False,正常,60,3
2024-04-01 15:15:00,2024-04-01 15:38:00,24,停机,False,正常,61,3
2024-04-01 15:39:00,2024-04-01 15:46:00,8,重载,False,正常,62,3
2024-04-01 15:47:00,2024-04-01 15:47:00,1,轻载,False,正常,63,3
2024-04-01 15:48:00,2024-04-01 15:52:00,5,重载,False,正常,64,3
2024-04-01 15:53:00,2024-04-01 15:53:00,1,停机,False,正常,65,3
2024-04-01 15:54:00,2024-04-01 15:59:00,6,重载,False,正常,66,3
2024-04-01 16:00:00,2024-04-01 16:02:00,3,停机,False,正常,67,3
2024-04-01 16:03:00,2024-04-01 16:45:00,43,重载,False,正常,68,3
2024-04-01 16:46:00,2024-04-01 16:54:00,9,停机,False,正常,69,3
2024-04-01 16:55:00,2024-04-01 17:33:00,39,重载,False,正常,70,3
2024-04-01 17:34:00,2024-04-01 17:50:00,17,停机,False,正常,71,3
2024-04-01 17:51:00,2024-04-01 18:49:00,59,重载,False,正常,72,3
2024-04-01 18:50:00,2024-04-01 18:51:00,2,停机,False,正常,73,3
2024-04-01 18:52:00,2024-04-01 18:54:00,3,重载,False,正常,74,3
2024-04-01 18:55:00,2024-04-01 18:57:00,3,停机,False,正常,75,3
2024-04-01 18:58:00,2024-04-01 19:08:00,11,重载,False,正常,76,3
2024-04-01 19:09:00,2024-04-01 19:17:00,9,停机,False,正常,77,3
2024-04-01 19:18:00,2024-04-01 20:02:00,45,重载,False,正常,78,3
2024-04-01 20:03:00,2024-04-01 20:07:00,5,停机,False,正常,79,3
2024-04-01 20:08:00,2024-04-01 20:09:00,2,重载,False,正常,80,3
2024-04-01 20:10:00,2024-04-01 20:20:00,11,停机,False,正常,81,3
2024-04-01 20:21:00,2024-04-01 20:50:00,30,重载,False,正常,82,3
2024-04-01 20:51:00,2024-04-01 20:51:00,1,停机,False,正常,83,3
2024-04-01 20:52:00,2024-04-01 20:52:00,1,轻载,False,正常,84,3
2024-04-01 20:53:00,2024-04-01 21:20:00,28,重载,False,正常,85,3
2024-04-01 21:21:00,2024-04-01 21:24:00,4,停机,False,正常,86,3
2024-04-01 21:25:00,2024-04-01 21:25:00,1,轻载,False,正常,87,3
2024-04-01 21:26:00,2024-04-01 21:35:00,10,重载,False,正常,88,3
2024-04-01 21:36:00,2024-04-01 21:59:00,24,停机,False,正常,89,3
2024-04-01 22:00:00,2024-04-01 22:26:00,27,重载,False,正常,90,3
2024-04-01 22:27:00,2024-04-01 22:29:00,3,停机,False,正常,91,3
2024-04-01 22:30:00,2024-04-01 22:37:00,8,重载,False,正常,92,3
2024-04-01 22:38:00,2024-04-01 22:39:00,2,停机,False,正常,93,3
2024-04-01 22:40:00,2024-04-01 23:24:00,45,重载,False,正常,94,3
2024-04-01 23:25:00,2024-04-01 23:25:00,1,停机,False,正常,95,3
2024-04-01 23:26:00,2024-04-01 23:32:00,7,重载,False,正常,96,3
2024-04-01 23:33:00,2024-04-01 23:33:00,1,停机,False,正常,97,3
2024-04-01 23:34:00,2024-04-01 23:43:00,10,重载,False,正常,98,3
2024-04-01 23:44:00,2024-04-01 23:44:00,1,停机,False,正常,99,3
2024-04-01 23:45:00,2024-04-01 23:45:00,1,重载,False,正常,100,3
2024-04-01 23:46:00,2024-04-01 23:46:00,1,停机,False,正常,101,3
2024-04-01 23:47:00,2024-04-02 00:40:00,54,重载,False,正常,102,3
2024-04-02 00:41:00,2024-04-02 00:41:00,1,停机,False,正常,103,3
2024-04-02 00:42:00,2024-04-02 00:49:00,8,重载,False,正常,104,3
2024-04-02 00:50:00,2024-04-02 00:52:00,3,停机,False,正常,105,3
2024-04-02 00:53:00,2024-04-02 00:55:00,3,重载,False,正常,106,3
2024-04-02 00:56:00,2024-04-02 00:57:00,2,停机,False,正常,107,3
2024-04-02 00:58:00,2024-04-02 01:14:00,17,重载,False,正常,108,3
2024-04-02 01:15:00,2024-04-02 01:24:00,10,停机,False,正常,109,3
2024-04-02 01:25:00,2024-04-02 01:29:00,5,重载,False,正常,110,3
2024-04-02 01:30:00,2024-04-02 01:30:00,1,停机,False,正常,111,3
2024-04-02 01:31:00,2024-04-02 02:45:00,75,重载,False,正常,112,3
2024-04-02 02:46:00,2024-04-02 02:46:00,1,停机,False,正常,113,3
2024-04-02 02:47:00,2024-04-02 03:07:00,21,重载,False,正常,114,3
2024-04-02 03:08:00,2024-04-02 03:09:00,2,停机,False,正常,115,3
2024-04-02 03:10:00,2024-04-02 03:10:00,1,重载,False,正常,116,3
2024-04-02 03:11:00,2024-04-02 03:23:00,13,停机,False,正常,117,3
2024-04-02 03:24:00,2024-04-02 03:24:00,1,重载,False,正常,118,3
2024-04-02 03:25:00,2024-04-02 03:33:00,9,停机,False,正常,119,3
2024-04-02 03:34:00,2024-04-02 03:40:00,7,重载,False,正常,120,3
2024-04-02 03:41:00,2024-04-02 03:44:00,4,停机,False,正常,121,3
2024-04-02 03:45:00,2024-04-02 04:49:00,65,重载,False,正常,122,3
2024-04-02 04:50:00,2024-04-02 04:50:00,1,停机,False,正常,123,3
2024-04-02 04:51:00,2024-04-02 04:51:00,1,重载,False,正常,124,3
2024-04-02 04:52:00,2024-04-02 04:53:00,2,停机,False,正常,125,3
2024-04-02 04:54:00,2024-04-02 05:31:00,38,重载,False,正常,126,3
2024-04-02 05:32:00,2024-04-02 05:32:00,1,停机,False,正常,127,3
2024-04-02 05:33:00,2024-04-02 05:39:00,7,重载,False,正常,128,3
2024-04-02 05:40:00,2024-04-02 05:43:00,4,停机,False,正常,129,3
2024-04-02 05:44:00,2024-04-02 05:57:00,14,重载,False,正常,130,3
2024-04-02 05:58:00,2024-04-02 05:58:00,1,停机,False,正常,131,3
2024-04-02 05:59:00,2024-04-02 06:26:00,28,重载,False,正常,132,3
2024-04-02 06:27:00,2024-04-02 06:36:00,10,停机,False,正常,133,3
2024-04-02 06:37:00,2024-04-02 06:46:00,10,重载,False,正常,134,3
2024-04-02 06:47:00,2024-04-02 06:47:00,1,停机,False,正常,135,3
2024-04-02 06:48:00,2024-04-02 07:23:00,36,重载,False,正常,136,3
2024-04-02 07:24:00,2024-04-02 07:24:00,1,停机,False,正常,137,3
2024-04-02 07:25:00,2024-04-02 07:42:00,18,重载,False,正常,138,3
2024-04-02 07:43:00,2024-04-02 07:44:00,2,停机,False,正常,139,3
2024-04-02 07:45:00,2024-04-02 07:45:00,1,轻载,False,正常,140,3
2024-04-02 07:46:00,2024-04-02 07:48:00,3,停机,False,正常,141,3
2024-04-02 07:49:00,2024-04-02 07:49:00,1,轻载,False,正常,142,3
2024-04-02 07:50:00,2024-04-02 07:50:00,1,停机,False,正常,143,3
2024-04-02 07:51:00,2024-04-02 07:52:00,2,轻载,False,正常,144,3
2024-04-02 07:53:00,2024-04-02 07:57:00,5,停机,False,正常,145,3
2024-04-02 07:58:00,2024-04-02 07:58:00,1,轻载,False,正常,146,3
2024-04-02 07:59:00,2024-04-02 08:07:00,9,停机,False,正常,147,3
2024-04-02 08:08:00,2024-04-02 08:15:00,8,重载,False,正常,148,3
2024-04-02 08:16:00,2024-04-02 08:16:00,1,停机,False,正常,149,3
2024-04-02 08:17:00,2024-04-02 08:21:00,5,重载,False,正常,150,3
2024-04-02 08:22:00,2024-04-02 08:23:00,2,停机,False,正常,151,3
2024-04-02 08:24:00,2024-04-02 08:24:00,1,重载,False,正常,152,3
2024-04-02 08:25:00,2024-04-02 08:25:00,1,停机,False,正常,153,3
2024-04-02 08:26:00,2024-04-02 08:40:00,15,重载,False,正常,154,3
2024-04-02 08:41:00,2024-04-02 08:41:00,1,停机,False,正常,155,3
2024-04-02 08:42:00,2024-04-02 08:59:00,18,重载,False,正常,156,3
2024-04-02 09:00:00,2024-04-02 09:00:00,1,停机,False,正常,157,3
2024-04-02 09:01:00,2024-04-02 10:13:00,73,重载,False,正常,158,3
2024-04-02 10:14:00,2024-04-02 10:14:00,1,停机,False,正常,159,3
2024-04-02 10:15:00,2024-04-02 10:17:00,3,重载,False,正常,160,3
2024-04-02 10:18:00,2024-04-02 10:19:00,2,停机,False,正常,161,3
2024-04-02 10:20:00,2024-04-02 10:47:00,28,重载,False,正常,162,3
