段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 00:00:00,2024-04-01 00:01:00,2,停机,False,正常,0,1
2024-04-01 00:02:00,2024-04-01 00:07:00,6,待机,False,正常,1,1
2024-04-01 00:08:00,2024-04-01 00:55:00,48,停机,False,正常,2,1
2024-04-01 00:56:00,2024-04-01 01:00:00,5,重载牵引,False,正常,3,1
2024-04-01 01:01:00,2024-04-01 04:36:00,216,停机,True,异常持续段（>154min 阈值）,4,2
2024-04-01 04:37:00,2024-04-01 04:50:00,14,重载牵引,False,正常,5,3
2024-04-01 04:51:00,2024-04-01 04:51:00,1,待机,False,正常,6,3
2024-04-01 04:52:00,2024-04-01 04:52:00,1,重载牵引,False,正常,7,3
2024-04-01 04:53:00,2024-04-01 04:53:00,1,待机,False,正常,8,3
2024-04-01 04:54:00,2024-04-01 04:59:00,6,重载牵引,False,正常,9,3
2024-04-01 05:00:00,2024-04-01 05:00:00,1,待机,False,正常,10,3
2024-04-01 05:01:00,2024-04-01 05:01:00,1,重载牵引,False,正常,11,3
2024-04-01 05:02:00,2024-04-01 05:02:00,1,待机,False,正常,12,3
2024-04-01 05:03:00,2024-04-01 05:05:00,3,重载牵引,False,正常,13,3
2024-04-01 05:06:00,2024-04-01 05:08:00,3,待机,False,正常,14,3
2024-04-01 05:09:00,2024-04-01 05:10:00,2,重载牵引,False,正常,15,3
2024-04-01 05:11:00,2024-04-01 05:11:00,1,待机,False,正常,16,3
2024-04-01 05:12:00,2024-04-01 05:15:00,4,重载牵引,False,正常,17,3
2024-04-01 05:16:00,2024-04-01 05:16:00,1,待机,False,正常,18,3
2024-04-01 05:17:00,2024-04-01 05:17:00,1,停机,False,正常,19,3
2024-04-01 05:18:00,2024-04-01 05:22:00,5,重载牵引,False,正常,20,3
2024-04-01 05:23:00,2024-04-01 05:23:00,1,停机,False,正常,21,3
2024-04-01 05:24:00,2024-04-01 05:28:00,5,重载牵引,False,正常,22,3
2024-04-01 05:29:00,2024-04-01 05:29:00,1,停机,False,正常,23,3
2024-04-01 05:30:00,2024-04-01 05:43:00,14,重载牵引,False,正常,24,3
2024-04-01 05:44:00,2024-04-01 05:44:00,1,空载牵引,False,正常,25,3
2024-04-01 05:45:00,2024-04-01 05:57:00,13,重载牵引,False,正常,26,3
2024-04-01 05:58:00,2024-04-01 05:58:00,1,空载牵引,False,正常,27,3
2024-04-01 05:59:00,2024-04-01 06:07:00,9,重载牵引,False,正常,28,3
2024-04-01 06:08:00,2024-04-01 06:08:00,1,待机,False,正常,29,3
2024-04-01 06:09:00,2024-04-01 06:09:00,1,停机,False,正常,30,3
2024-04-01 06:10:00,2024-04-01 06:11:00,2,重载牵引,False,正常,31,3
2024-04-01 06:12:00,2024-04-01 06:12:00,1,待机,False,正常,32,3
2024-04-01 06:13:00,2024-04-01 06:14:00,2,停机,False,正常,33,3
2024-04-01 06:15:00,2024-04-01 06:16:00,2,重载牵引,False,正常,34,3
2024-04-01 06:17:00,2024-04-01 06:17:00,1,待机,False,正常,35,3
2024-04-01 06:18:00,2024-04-01 06:18:00,1,重载牵引,False,正常,36,3
2024-04-01 06:19:00,2024-04-01 06:19:00,1,待机,False,正常,37,3
2024-04-01 06:20:00,2024-04-01 06:30:00,11,重载牵引,False,正常,38,3
2024-04-01 06:31:00,2024-04-01 06:31:00,1,空载牵引,False,正常,39,3
2024-04-01 06:32:00,2024-04-01 06:32:00,1,停机,False,正常,40,3
2024-04-01 06:33:00,2024-04-01 06:33:00,1,待机,False,正常,41,3
2024-04-01 06:34:00,2024-04-01 06:34:00,1,重载牵引,False,正常,42,3
2024-04-01 06:35:00,2024-04-01 06:35:00,1,空载牵引,False,正常,43,3
2024-04-01 06:36:00,2024-04-01 06:37:00,2,待机,False,正常,44,3
2024-04-01 06:38:00,2024-04-01 06:40:00,3,重载牵引,False,正常,45,3
2024-04-01 06:41:00,2024-04-01 06:53:00,13,停机,False,正常,46,3
2024-04-01 06:54:00,2024-04-01 07:08:00,15,重载牵引,False,正常,47,3
2024-04-01 07:09:00,2024-04-01 07:24:00,16,停机,False,正常,48,3
2024-04-01 07:25:00,2024-04-01 07:26:00,2,重载牵引,False,正常,49,3
2024-04-01 07:27:00,2024-04-01 07:34:00,8,停机,False,正常,50,3
2024-04-01 07:35:00,2024-04-01 07:36:00,2,重载牵引,False,正常,51,3
2024-04-01 07:37:00,2024-04-01 07:41:00,5,停机,False,正常,52,3
2024-04-01 07:42:00,2024-04-01 07:44:00,3,重载牵引,False,正常,53,3
2024-04-01 07:45:00,2024-04-01 07:46:00,2,待机,False,正常,54,3
2024-04-01 07:47:00,2024-04-01 07:48:00,2,重载牵引,False,正常,55,3
2024-04-01 07:49:00,2024-04-01 07:51:00,3,停机,False,正常,56,3
2024-04-01 07:52:00,2024-04-01 07:53:00,2,重载牵引,False,正常,57,3
2024-04-01 07:54:00,2024-04-01 07:55:00,2,停机,False,正常,58,3
2024-04-01 07:56:00,2024-04-01 07:56:00,1,重载牵引,False,正常,59,3
2024-04-01 07:57:00,2024-04-01 07:57:00,1,待机,False,正常,60,3
2024-04-01 07:58:00,2024-04-01 07:59:00,2,重载牵引,False,正常,61,3
2024-04-01 08:00:00,2024-04-01 08:07:00,8,停机,False,正常,62,3
2024-04-01 08:08:00,2024-04-01 08:14:00,7,重载牵引,False,正常,63,3
2024-04-01 08:15:00,2024-04-01 08:16:00,2,待机,False,正常,64,3
2024-04-01 08:17:00,2024-04-01 08:17:00,1,重载牵引,False,正常,65,3
2024-04-01 08:18:00,2024-04-01 08:19:00,2,停机,False,正常,66,3
2024-04-01 08:20:00,2024-04-01 08:23:00,4,重载牵引,False,正常,67,3
2024-04-01 08:24:00,2024-04-01 08:24:00,1,待机,False,正常,68,3
2024-04-01 08:25:00,2024-04-01 08:25:00,1,重载牵引,False,正常,69,3
2024-04-01 08:26:00,2024-04-01 08:26:00,1,待机,False,正常,70,3
2024-04-01 08:27:00,2024-04-01 08:29:00,3,重载牵引,False,正常,71,3
2024-04-01 08:30:00,2024-04-01 08:48:00,19,停机,False,正常,72,3
2024-04-01 08:49:00,2024-04-01 08:49:00,1,重载牵引,False,正常,73,3
2024-04-01 08:50:00,2024-04-01 08:50:00,1,空载牵引,False,正常,74,3
2024-04-01 08:51:00,2024-04-01 09:06:00,16,重载牵引,False,正常,75,3
2024-04-01 09:07:00,2024-04-01 09:07:00,1,空载牵引,False,正常,76,3
2024-04-01 09:08:00,2024-04-01 09:08:00,1,重载牵引,False,正常,77,3
2024-04-01 09:09:00,2024-04-01 09:09:00,1,空载牵引,False,正常,78,3
2024-04-01 09:10:00,2024-04-01 09:10:00,1,重载牵引,False,正常,79,3
2024-04-01 09:11:00,2024-04-01 09:12:00,2,空载牵引,False,正常,80,3
2024-04-01 09:13:00,2024-04-01 09:14:00,2,重载牵引,False,正常,81,3
2024-04-01 09:15:00,2024-04-01 09:15:00,1,待机,False,正常,82,3
2024-04-01 09:16:00,2024-04-01 09:20:00,5,停机,False,正常,83,3
2024-04-01 09:21:00,2024-04-01 09:21:00,1,空载牵引,False,正常,84,3
2024-04-01 09:22:00,2024-04-01 09:40:00,19,停机,False,正常,85,3
2024-04-01 09:41:00,2024-04-01 09:41:00,1,待机,False,正常,86,3
2024-04-01 09:42:00,2024-04-01 09:42:00,1,停机,False,正常,87,3
2024-04-01 09:43:00,2024-04-01 11:22:00,100,待机,False,正常,88,3
2024-04-01 11:23:00,2024-04-01 11:24:00,2,停机,False,正常,89,3
2024-04-01 11:25:00,2024-04-01 11:25:00,1,重载牵引,False,正常,90,3
2024-04-01 11:26:00,2024-04-01 11:26:00,1,停机,False,正常,91,3
2024-04-01 11:27:00,2024-04-01 11:30:00,4,重载牵引,False,正常,92,3
2024-04-01 11:31:00,2024-04-01 11:35:00,5,停机,False,正常,93,3
2024-04-01 11:36:00,2024-04-01 11:37:00,2,重载牵引,False,正常,94,3
2024-04-01 11:38:00,2024-04-01 11:38:00,1,停机,False,正常,95,3
2024-04-01 11:39:00,2024-04-01 11:39:00,1,重载牵引,False,正常,96,3
2024-04-01 11:40:00,2024-04-01 11:44:00,5,停机,False,正常,97,3
2024-04-01 11:45:00,2024-04-01 11:59:00,15,待机,False,正常,98,3
2024-04-01 12:00:00,2024-04-01 14:07:00,128,停机,False,正常,99,3
2024-04-01 14:08:00,2024-04-01 14:08:00,1,待机,False,正常,100,3
2024-04-01 14:09:00,2024-04-01 14:12:00,4,停机,False,正常,101,3
2024-04-01 14:13:00,2024-04-01 15:07:00,55,待机,False,正常,102,3
2024-04-01 15:08:00,2024-04-01 15:08:00,1,停机,False,正常,103,3
2024-04-01 15:09:00,2024-04-01 15:09:00,1,重载牵引,False,正常,104,3
2024-04-01 15:10:00,2024-04-01 15:10:00,1,停机,False,正常,105,3
2024-04-01 15:11:00,2024-04-01 15:12:00,2,重载牵引,False,正常,106,3
2024-04-01 15:13:00,2024-04-01 15:13:00,1,待机,False,正常,107,3
2024-04-01 15:14:00,2024-04-01 15:38:00,25,停机,False,正常,108,3
2024-04-01 15:39:00,2024-04-01 15:39:00,1,待机,False,正常,109,3
2024-04-01 15:40:00,2024-04-01 15:44:00,5,重载牵引,False,正常,110,3
2024-04-01 15:45:00,2024-04-01 15:45:00,1,空载牵引,False,正常,111,3
2024-04-01 15:46:00,2024-04-01 15:46:00,1,重载牵引,False,正常,112,3
2024-04-01 15:47:00,2024-04-01 15:48:00,2,停机,False,正常,113,3
2024-04-01 15:49:00,2024-04-01 15:49:00,1,重载牵引,False,正常,114,3
2024-04-01 15:50:00,2024-04-01 15:50:00,1,待机,False,正常,115,3
2024-04-01 15:51:00,2024-04-01 15:52:00,2,重载牵引,False,正常,116,3
2024-04-01 15:53:00,2024-04-01 15:53:00,1,停机,False,正常,117,3
2024-04-01 15:54:00,2024-04-01 15:59:00,6,重载牵引,False,正常,118,3
2024-04-01 16:00:00,2024-04-01 16:03:00,4,停机,False,正常,119,3
2024-04-01 16:04:00,2024-04-01 16:10:00,7,重载牵引,False,正常,120,3
2024-04-01 16:11:00,2024-04-01 16:11:00,1,空载牵引,False,正常,121,3
2024-04-01 16:12:00,2024-04-01 16:15:00,4,重载牵引,False,正常,122,3
2024-04-01 16:16:00,2024-04-01 16:16:00,1,空载牵引,False,正常,123,3
2024-04-01 16:17:00,2024-04-01 16:25:00,9,重载牵引,False,正常,124,3
2024-04-01 16:26:00,2024-04-01 16:26:00,1,待机,False,正常,125,3
2024-04-01 16:27:00,2024-04-01 16:30:00,4,重载牵引,False,正常,126,3
2024-04-01 16:31:00,2024-04-01 16:31:00,1,空载牵引,False,正常,127,3
2024-04-01 16:32:00,2024-04-01 16:32:00,1,停机,False,正常,128,3
2024-04-01 16:33:00,2024-04-01 16:44:00,12,重载牵引,False,正常,129,3
2024-04-01 16:45:00,2024-04-01 16:55:00,11,停机,False,正常,130,3
2024-04-01 16:56:00,2024-04-01 17:22:00,27,重载牵引,False,正常,131,3
2024-04-01 17:23:00,2024-04-01 17:23:00,1,待机,False,正常,132,3
2024-04-01 17:24:00,2024-04-01 17:33:00,10,重载牵引,False,正常,133,3
2024-04-01 17:34:00,2024-04-01 17:51:00,18,停机,False,正常,134,3
2024-04-01 17:52:00,2024-04-01 18:17:00,26,重载牵引,False,正常,135,3
2024-04-01 18:18:00,2024-04-01 18:18:00,1,待机,False,正常,136,3
2024-04-01 18:19:00,2024-04-01 18:37:00,19,重载牵引,False,正常,137,3
2024-04-01 18:38:00,2024-04-01 18:38:00,1,待机,False,正常,138,3
2024-04-01 18:39:00,2024-04-01 18:40:00,2,重载牵引,False,正常,139,3
2024-04-01 18:41:00,2024-04-01 18:42:00,2,停机,False,正常,140,3
2024-04-01 18:43:00,2024-04-01 18:49:00,7,重载牵引,False,正常,141,3
