段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 00:00:00,2024-04-01 00:01:00,2,停机,False,正常,0,1
2024-04-01 00:02:00,2024-04-01 00:07:00,6,空载运行,False,正常,1,1
2024-04-01 00:08:00,2024-04-01 05:50:00,343,停机,True,通讯中断/传感器休眠（段持续 >= 4h）,2,2
2024-04-01 05:51:00,2024-04-01 05:51:00,1,空载运行,False,正常,3,3
2024-04-01 05:52:00,2024-04-01 06:06:00,15,停机,False,正常,4,3
2024-04-01 06:07:00,2024-04-01 06:09:00,3,空载运行,False,正常,5,3
2024-04-01 06:10:00,2024-04-01 06:11:00,2,停机,False,正常,6,3
2024-04-01 06:12:00,2024-04-01 06:14:00,3,空载运行,False,正常,7,3
2024-04-01 06:15:00,2024-04-01 06:16:00,2,停机,False,正常,8,3
2024-04-01 06:17:00,2024-04-01 06:19:00,3,空载运行,False,正常,9,3
2024-04-01 06:20:00,2024-04-01 06:20:00,1,带载运行,False,正常,10,3
2024-04-01 06:21:00,2024-04-01 06:22:00,2,停机,False,正常,11,3
2024-04-01 06:23:00,2024-04-01 06:23:00,1,空载运行,False,正常,12,3
2024-04-01 06:24:00,2024-04-01 06:24:00,1,带载运行,False,正常,13,3
2024-04-01 06:25:00,2024-04-01 07:48:00,84,空载运行,False,正常,14,3
2024-04-01 07:49:00,2024-04-01 09:07:00,79,停机,False,正常,15,3
2024-04-01 09:08:00,2024-04-01 09:08:00,1,空载运行,False,正常,16,3
2024-04-01 09:09:00,2024-04-01 09:40:00,32,停机,False,正常,17,3
2024-04-01 09:41:00,2024-04-01 09:41:00,1,空载运行,False,正常,18,3
2024-04-01 09:42:00,2024-04-01 09:42:00,1,停机,False,正常,19,3
2024-04-01 09:43:00,2024-04-01 11:22:00,100,空载运行,False,正常,20,3
2024-04-01 11:23:00,2024-04-01 11:23:00,1,停机,False,正常,21,3
2024-04-01 11:24:00,2024-04-01 11:24:00,1,空载运行,False,正常,22,3
2024-04-01 11:25:00,2024-04-01 11:44:00,20,停机,False,正常,23,3
2024-04-01 11:45:00,2024-04-01 11:59:00,15,空载运行,False,正常,24,3
2024-04-01 12:00:00,2024-04-01 14:07:00,128,停机,False,正常,25,3
2024-04-01 14:08:00,2024-04-01 14:08:00,1,空载运行,False,正常,26,3
2024-04-01 14:09:00,2024-04-01 14:12:00,4,停机,False,正常,27,3
2024-04-01 14:13:00,2024-04-01 15:07:00,55,空载运行,False,正常,28,3
2024-04-01 15:08:00,2024-04-01 15:08:00,1,停机,False,正常,29,3
2024-04-01 15:09:00,2024-04-01 15:14:00,6,空载运行,False,正常,30,3
2024-04-01 15:15:00,2024-04-01 15:43:00,29,停机,False,正常,31,3
2024-04-01 15:44:00,2024-04-01 15:46:00,3,空载运行,False,正常,32,3
2024-04-01 15:47:00,2024-04-01 15:48:00,2,停机,False,正常,33,3
2024-04-01 15:49:00,2024-04-01 15:52:00,4,空载运行,False,正常,34,3
2024-04-01 15:53:00,2024-04-01 15:53:00,1,停机,False,正常,35,3
2024-04-01 15:54:00,2024-04-01 15:59:00,6,空载运行,False,正常,36,3
2024-04-01 16:00:00,2024-04-01 16:14:00,15,停机,False,正常,37,3
2024-04-01 16:15:00,2024-04-01 16:18:00,4,空载运行,False,正常,38,3
2024-04-01 16:19:00,2024-04-01 16:19:00,1,带载运行,False,正常,39,3
2024-04-01 16:20:00,2024-04-01 16:27:00,8,空载运行,False,正常,40,3
2024-04-01 16:28:00,2024-04-01 17:09:00,42,停机,False,正常,41,3
2024-04-01 17:10:00,2024-04-01 17:15:00,6,空载运行,False,正常,42,3
2024-04-01 17:16:00,2024-04-01 17:28:00,13,停机,False,正常,43,3
2024-04-01 17:29:00,2024-04-01 17:30:00,2,空载运行,False,正常,44,3
2024-04-01 17:31:00,2024-04-01 17:59:00,29,停机,False,正常,45,3
2024-04-01 18:00:00,2024-04-01 18:00:00,1,空载运行,False,正常,46,3
2024-04-01 18:01:00,2024-04-01 18:47:00,47,停机,False,正常,47,3
2024-04-01 18:48:00,2024-04-01 18:48:00,1,带载运行,False,正常,48,3
2024-04-01 18:49:00,2024-04-01 18:49:00,1,空载运行,False,正常,49,3
2024-04-01 18:50:00,2024-04-01 18:53:00,4,停机,False,正常,50,3
2024-04-01 18:54:00,2024-04-01 18:54:00,1,空载运行,False,正常,51,3
2024-04-01 18:55:00,2024-04-01 18:57:00,3,停机,False,正常,52,3
2024-04-01 18:58:00,2024-04-01 18:58:00,1,带载运行,False,正常,53,3
2024-04-01 18:59:00,2024-04-01 19:09:00,11,空载运行,False,正常,54,3
2024-04-01 19:10:00,2024-04-01 19:56:00,47,停机,False,正常,55,3
2024-04-01 19:57:00,2024-04-01 20:03:00,7,空载运行,False,正常,56,3
2024-04-01 20:04:00,2024-04-01 20:07:00,4,停机,False,正常,57,3
