列名,总数,有效数,野值数,野值占比%,方法,下限,上限
采煤机_截割部位_右滚筒_运行状态,39184,39131,0,0.0,both,-0.9328,2.0474
采煤机_截割部位_左滚筒_运行状态,39184,39175,0,0.0,both,-0.9273,2.05
采煤机_截割部位_右滚筒_电机_运行状态,39184,25576,13606,34.723,both,2.0,2.0
采煤机_截割部位_左滚筒_电机_运行状态,39184,26405,12777,32.608,both,2.0,2.0
采煤机_牵引部位_右电机_运行状态,39184,33405,5777,14.743,both,-1.5,2.5
采煤机_牵引部位_左电机_运行状态,39184,33081,6101,15.57,both,-1.5,2.5
采煤机_油泵_右电机_运行状态,39184,39182,0,0.0,both,-2.5431,5.0
采煤机_油泵_左电机_运行状态,39184,39182,0,0.0,both,-2.3621,5.0
采煤机_破碎机_电机_运行状态,39184,39182,0,0.0,both,-5.6965,8.8744
采煤机_牵引部位_采煤机速度,39184,39157,12,0.031,both,-8.6907,15.2179
采煤机_牵引部位_方向,39184,21097,18031,46.016,both,0.0,0.0
采煤机_牵引部位_位置架号,39184,39128,0,0.0,both,-65.0389,243.8826
采煤机_截割部位_右滚筒_高度,39184,39183,0,0.0,both,-4.4206,9.6298
采煤机_截割部位_左滚筒_高度,39184,39175,0,0.0,both,-4.7615,9.0248
采煤机_截割部位_右摇臂_角度,39184,34183,4989,12.732,both,-21.5,22.5
采煤机_截割部位_左摇臂_角度,39184,33670,5505,14.049,both,-18.0,14.0
采煤机_牵引部位_记忆割煤状态,39184,39051,0,0.0,both,-0.881,2.0668
采煤机_截割部位_右滚筒_电机_电流,39184,38128,1003,2.56,both,-120.0,200.0
采煤机_截割部位_左滚筒_电机_电流,39184,38399,776,1.98,both,-120.0,200.0
采煤机_截割部位_右滚筒_电机_温度,39184,37864,1320,3.369,both,31.5,91.5
采煤机_截割部位_左滚筒_电机_温度,39184,37850,1333,3.402,both,29.0,101.0
采煤机_牵引部位_右电机_电流,39184,39128,0,0.0,both,-130.1431,257.19
采煤机_牵引部位_左电机_电流,39184,39128,0,0.0,both,-130.9171,258.5847
采煤机_牵引部位_右电机_温度,39184,37866,1317,3.361,both,23.0,95.0
采煤机_牵引部位_左电机_温度,39184,37867,1317,3.361,both,24.5,92.5
采煤机_牵引部位_右电机_电压,39184,39175,0,0.0,both,-716.9004,1774.9308
采煤机_牵引部位_左电机_电压,39184,39184,0,0.0,both,-727.8961,1781.0576
采煤机_牵引部位_位置米数,39184,39169,0,0.0,both,-154.3765,507.9998
采煤机_破碎机_电机_电流,39184,32930,6201,15.825,both,0.0,0.0
采煤机_破碎机_电机_温度,39184,33720,5411,13.809,both,11.0,83.0
采煤机_油泵_右电机_电流,39184,38222,953,2.432,both,-22.0745,42.5
采煤机_油泵_左电机_电流,39184,38495,680,1.735,both,-21.4273,42.5
采煤机_油泵_右电机_温度,39184,37530,1654,4.221,both,37.0,61.0
采煤机_油泵_左电机_温度,39184,37639,1545,3.943,both,35.5,63.5
采煤机_油泵_右油箱_油压,39184,37616,1559,3.979,both,-3.2,5.6
采煤机_油泵_左油箱_油压,39184,37456,1719,4.387,both,-3.25,5.95
采煤机_采煤机倾角_俯仰角,39184,38619,565,1.442,both,-1.95,3.25
