列名,起始时间,结束时间,持续时长(分钟)
采煤机_截割部位_右滚筒_电机_温度,2024-04-01 01:37:00,2024-04-01 04:35:00,179
采煤机_截割部位_右滚筒_电机_温度,2024-04-02 10:55:00,2024-04-02 13:35:00,161
采煤机_截割部位_右滚筒_电机_温度,2024-04-02 13:50:00,2024-04-02 16:02:00,133
采煤机_截割部位_右滚筒_电机_温度,2024-04-03 10:03:00,2024-04-03 13:58:00,236
采煤机_截割部位_右滚筒_电机_温度,2024-04-04 09:08:00,2024-04-04 13:10:00,243
采煤机_截割部位_右滚筒_电机_温度,2024-04-05 10:19:00,2024-04-05 13:59:00,221
采煤机_截割部位_右滚筒_电机_温度,2024-04-07 11:26:00,2024-04-07 14:50:00,205
采煤机_截割部位_右滚筒_电机_温度,2024-04-08 13:50:00,2024-04-08 15:55:00,126
采煤机_截割部位_右滚筒_电机_温度,2024-04-08 20:12:00,2024-04-08 23:17:00,186
采煤机_截割部位_右滚筒_电机_温度,2024-04-09 18:47:00,2024-04-09 21:25:00,159
采煤机_截割部位_右滚筒_电机_温度,2024-04-09 22:37:00,2024-04-10 00:44:00,128
采煤机_截割部位_右滚筒_电机_温度,2024-04-10 04:33:00,2024-04-10 12:28:00,476
采煤机_截割部位_右滚筒_电机_温度,2024-04-11 10:56:00,2024-04-11 14:10:00,195
采煤机_截割部位_右滚筒_电机_温度,2024-04-11 17:16:00,2024-04-11 19:19:00,124
采煤机_截割部位_右滚筒_电机_温度,2024-04-12 10:45:00,2024-04-12 12:54:00,130
采煤机_截割部位_右滚筒_电机_温度,2024-04-12 12:55:00,2024-04-12 16:47:00,233
采煤机_截割部位_右滚筒_电机_温度,2024-04-13 09:25:00,2024-04-13 14:20:00,296
采煤机_截割部位_右滚筒_电机_温度,2024-04-14 10:38:00,2024-04-14 12:41:00,124
采煤机_截割部位_右滚筒_电机_温度,2024-04-15 10:02:00,2024-04-15 15:02:00,301
采煤机_截割部位_右滚筒_电机_温度,2024-04-16 09:01:00,2024-04-16 14:11:00,311
采煤机_截割部位_右滚筒_电机_温度,2024-04-16 20:09:00,2024-04-17 00:18:00,250
采煤机_截割部位_右滚筒_电机_温度,2024-04-18 09:33:00,2024-04-18 14:23:00,291
采煤机_截割部位_右滚筒_电机_温度,2024-04-20 10:26:00,2024-04-20 13:14:00,169
采煤机_截割部位_右滚筒_电机_温度,2024-04-20 13:54:00,2024-04-20 16:13:00,140
采煤机_截割部位_右滚筒_电机_温度,2024-04-20 16:15:00,2024-04-20 18:31:00,137
采煤机_截割部位_右滚筒_电机_温度,2024-04-21 10:09:00,2024-04-21 12:55:00,167
采煤机_截割部位_右滚筒_电机_温度,2024-04-23 09:18:00,2024-04-23 11:37:00,140
采煤机_截割部位_右滚筒_电机_温度,2024-04-24 10:29:00,2024-04-24 14:17:00,229
采煤机_截割部位_右滚筒_电机_温度,2024-04-25 11:10:00,2024-04-25 13:18:00,129
采煤机_截割部位_右滚筒_电机_温度,2024-04-26 10:30:00,2024-04-26 13:00:00,151
采煤机_截割部位_右滚筒_电机_温度,2024-04-26 13:14:00,2024-04-26 15:48:00,155
采煤机_截割部位_右滚筒_电机_温度,2024-04-27 10:16:00,2024-04-27 14:46:00,271
采煤机_截割部位_右滚筒_电机_电流,2024-04-01 01:01:00,2024-04-01 04:36:00,216
采煤机_截割部位_右滚筒_电机_电流,2024-04-01 09:22:00,2024-04-01 11:23:00,122
采煤机_截割部位_右滚筒_电机_电流,2024-04-01 11:40:00,2024-04-01 15:07:00,208
采煤机_截割部位_右滚筒_电机_电流,2024-04-02 10:52:00,2024-04-02 13:36:00,165
采煤机_截割部位_右滚筒_电机_电流,2024-04-02 13:38:00,2024-04-02 16:20:00,163
采煤机_截割部位_右滚筒_电机_电流,2024-04-03 09:55:00,2024-04-03 16:25:00,391
采煤机_截割部位_右滚筒_电机_电流,2024-04-04 09:06:00,2024-04-04 13:55:00,290
采煤机_截割部位_右滚筒_电机_电流,2024-04-05 10:12:00,2024-04-05 15:41:00,330
采煤机_截割部位_右滚筒_电机_电流,2024-04-06 10:03:00,2024-04-06 13:12:00,190
采煤机_截割部位_右滚筒_电机_电流,2024-04-07 09:50:00,2024-04-07 14:52:00,303
采煤机_截割部位_右滚筒_电机_电流,2024-04-08 10:10:00,2024-04-08 16:01:00,352
采煤机_截割部位_右滚筒_电机_电流,2024-04-08 20:11:00,2024-04-08 23:22:00,192
采煤机_截割部位_右滚筒_电机_电流,2024-04-09 08:38:00,2024-04-09 15:54:00,437
采煤机_截割部位_右滚筒_电机_电流,2024-04-09 18:18:00,2024-04-09 21:29:00,192
采煤机_截割部位_右滚筒_电机_电流,2024-04-09 22:22:00,2024-04-10 00:53:00,152
采煤机_截割部位_右滚筒_电机_电流,2024-04-10 04:33:00,2024-04-10 12:28:00,476
采煤机_截割部位_右滚筒_电机_电流,2024-04-10 12:29:00,2024-04-10 15:10:00,162
采煤机_截割部位_右滚筒_电机_电流,2024-04-10 17:50:00,2024-04-10 19:54:00,125
采煤机_截割部位_右滚筒_电机_电流,2024-04-11 10:09:00,2024-04-11 14:20:00,252
采煤机_截割部位_右滚筒_电机_电流,2024-04-11 17:05:00,2024-04-11 19:44:00,160
采煤机_截割部位_右滚筒_电机_电流,2024-04-12 09:09:00,2024-04-12 16:56:00,468
采煤机_截割部位_右滚筒_电机_电流,2024-04-13 08:24:00,2024-04-13 14:46:00,383
采煤机_截割部位_右滚筒_电机_电流,2024-04-14 08:36:00,2024-04-14 15:37:00,422
采煤机_截割部位_右滚筒_电机_电流,2024-04-15 08:11:00,2024-04-15 15:04:00,414
采煤机_截割部位_右滚筒_电机_电流,2024-04-16 08:55:00,2024-04-16 15:43:00,409
采煤机_截割部位_右滚筒_电机_电流,2024-04-16 19:36:00,2024-04-17 01:24:00,349
采煤机_截割部位_右滚筒_电机_电流,2024-04-17 04:15:00,2024-04-17 06:25:00,131
采煤机_截割部位_右滚筒_电机_电流,2024-04-17 09:28:00,2024-04-17 14:44:00,317
采煤机_截割部位_右滚筒_电机_电流,2024-04-18 08:58:00,2024-04-18 15:43:00,406
采煤机_截割部位_右滚筒_电机_电流,2024-04-19 08:38:00,2024-04-19 16:02:00,445
采煤机_截割部位_右滚筒_电机_电流,2024-04-20 08:27:00,2024-04-20 18:31:00,605
采煤机_截割部位_右滚筒_电机_电流,2024-04-21 10:03:00,2024-04-21 15:41:00,339
采煤机_截割部位_右滚筒_电机_电流,2024-04-22 10:20:00,2024-04-22 15:35:00,316
采煤机_截割部位_右滚筒_电机_电流,2024-04-23 09:01:00,2024-04-23 12:45:00,225
采煤机_截割部位_右滚筒_电机_电流,2024-04-23 12:49:00,2024-04-23 15:53:00,185
采煤机_截割部位_右滚筒_电机_电流,2024-04-24 06:04:00,2024-04-24 15:01:00,538
采煤机_截割部位_右滚筒_电机_电流,2024-04-25 10:12:00,2024-04-25 15:46:00,335
采煤机_截割部位_右滚筒_电机_电流,2024-04-26 06:59:00,2024-04-26 15:55:00,537
采煤机_截割部位_右滚筒_电机_电流,2024-04-27 10:07:00,2024-04-27 16:09:00,363
采煤机_截割部位_左滚筒_电机_温度,2024-04-01 01:37:00,2024-04-01 04:35:00,179
采煤机_截割部位_左滚筒_电机_温度,2024-04-02 10:54:00,2024-04-02 13:35:00,162
采煤机_截割部位_左滚筒_电机_温度,2024-04-02 13:51:00,2024-04-02 16:02:00,132
采煤机_截割部位_左滚筒_电机_温度,2024-04-03 10:03:00,2024-04-03 13:58:00,236
采煤机_截割部位_左滚筒_电机_温度,2024-04-04 09:08:00,2024-04-04 13:10:00,243
采煤机_截割部位_左滚筒_电机_温度,2024-04-05 10:19:00,2024-04-05 13:59:00,221
采煤机_截割部位_左滚筒_电机_温度,2024-04-07 11:49:00,2024-04-07 14:50:00,182
采煤机_截割部位_左滚筒_电机_温度,2024-04-08 20:13:00,2024-04-08 23:17:00,185
采煤机_截割部位_左滚筒_电机_温度,2024-04-09 10:17:00,2024-04-09 13:26:00,190
采煤机_截割部位_左滚筒_电机_温度,2024-04-09 18:47:00,2024-04-09 21:25:00,159
采煤机_截割部位_左滚筒_电机_温度,2024-04-09 22:34:00,2024-04-10 00:44:00,131
采煤机_截割部位_左滚筒_电机_温度,2024-04-10 04:33:00,2024-04-10 12:28:00,476
采煤机_截割部位_左滚筒_电机_温度,2024-04-11 11:00:00,2024-04-11 14:10:00,191
采煤机_截割部位_左滚筒_电机_温度,2024-04-11 17:17:00,2024-04-11 19:19:00,123
采煤机_截割部位_左滚筒_电机_温度,2024-04-12 10:17:00,2024-04-12 12:54:00,158
采煤机_截割部位_左滚筒_电机_温度,2024-04-12 12:55:00,2024-04-12 16:47:00,233
采煤机_截割部位_左滚筒_电机_温度,2024-04-13 09:26:00,2024-04-13 14:20:00,295
采煤机_截割部位_左滚筒_电机_温度,2024-04-14 10:03:00,2024-04-14 12:41:00,159
采煤机_截割部位_左滚筒_电机_温度,2024-04-15 10:02:00,2024-04-15 15:02:00,301
采煤机_截割部位_左滚筒_电机_温度,2024-04-16 09:02:00,2024-04-16 14:11:00,310
采煤机_截割部位_左滚筒_电机_温度,2024-04-16 20:09:00,2024-04-17 00:18:00,250
采煤机_截割部位_左滚筒_电机_温度,2024-04-18 09:33:00,2024-04-18 14:23:00,291
采煤机_截割部位_左滚筒_电机_温度,2024-04-20 10:26:00,2024-04-20 13:14:00,169
采煤机_截割部位_左滚筒_电机_温度,2024-04-20 13:54:00,2024-04-20 16:13:00,140
采煤机_截割部位_左滚筒_电机_温度,2024-04-21 10:08:00,2024-04-21 12:55:00,168
采煤机_截割部位_左滚筒_电机_温度,2024-04-23 09:19:00,2024-04-23 11:37:00,139
采煤机_截割部位_左滚筒_电机_温度,2024-04-24 10:29:00,2024-04-24 14:17:00,229
采煤机_截割部位_左滚筒_电机_温度,2024-04-25 11:10:00,2024-04-25 13:18:00,129
采煤机_截割部位_左滚筒_电机_温度,2024-04-26 10:32:00,2024-04-26 13:00:00,149
采煤机_截割部位_左滚筒_电机_温度,2024-04-26 13:13:00,2024-04-26 15:48:00,156
采煤机_截割部位_左滚筒_电机_温度,2024-04-27 10:14:00,2024-04-27 14:46:00,273
采煤机_截割部位_左滚筒_电机_电流,2024-04-01 01:01:00,2024-04-01 04:36:00,216
采煤机_截割部位_左滚筒_电机_电流,2024-04-01 09:22:00,2024-04-01 11:23:00,122
采煤机_截割部位_左滚筒_电机_电流,2024-04-02 10:52:00,2024-04-02 16:12:00,321
采煤机_截割部位_左滚筒_电机_电流,2024-04-03 09:55:00,2024-04-03 16:25:00,391
采煤机_截割部位_左滚筒_电机_电流,2024-04-04 09:06:00,2024-04-04 15:08:00,363
采煤机_截割部位_左滚筒_电机_电流,2024-04-05 10:12:00,2024-04-05 15:41:00,330
采煤机_截割部位_左滚筒_电机_电流,2024-04-06 09:57:00,2024-04-06 13:12:00,196
采煤机_截割部位_左滚筒_电机_电流,2024-04-07 09:50:00,2024-04-07 14:52:00,303
采煤机_截割部位_左滚筒_电机_电流,2024-04-08 10:10:00,2024-04-08 14:37:00,268
采煤机_截割部位_左滚筒_电机_电流,2024-04-08 20:10:00,2024-04-08 23:22:00,193
采煤机_截割部位_左滚筒_电机_电流,2024-04-09 08:37:00,2024-04-09 15:53:00,437
采煤机_截割部位_左滚筒_电机_电流,2024-04-09 18:18:00,2024-04-09 21:29:00,192
采煤机_截割部位_左滚筒_电机_电流,2024-04-09 22:22:00,2024-04-10 00:53:00,152
采煤机_截割部位_左滚筒_电机_电流,2024-04-10 04:33:00,2024-04-10 12:28:00,476
采煤机_截割部位_左滚筒_电机_电流,2024-04-10 12:29:00,2024-04-10 15:52:00,204
采煤机_截割部位_左滚筒_电机_电流,2024-04-10 17:50:00,2024-04-10 19:54:00,125
采煤机_截割部位_左滚筒_电机_电流,2024-04-11 10:09:00,2024-04-11 14:21:00,253
采煤机_截割部位_左滚筒_电机_电流,2024-04-11 17:05:00,2024-04-11 19:44:00,160
采煤机_截割部位_左滚筒_电机_电流,2024-04-12 09:09:00,2024-04-12 16:56:00,468
采煤机_截割部位_左滚筒_电机_电流,2024-04-13 08:24:00,2024-04-13 14:46:00,383
采煤机_截割部位_左滚筒_电机_电流,2024-04-14 08:36:00,2024-04-14 14:31:00,356
采煤机_截割部位_左滚筒_电机_电流,2024-04-15 08:11:00,2024-04-15 15:03:00,413
采煤机_截割部位_左滚筒_电机_电流,2024-04-16 08:55:00,2024-04-16 15:43:00,409
采煤机_截割部位_左滚筒_电机_电流,2024-04-16 19:45:00,2024-04-17 01:49:00,365
采煤机_截割部位_左滚筒_电机_电流,2024-04-17 04:15:00,2024-04-17 06:25:00,131
采煤机_截割部位_左滚筒_电机_电流,2024-04-17 09:28:00,2024-04-17 16:39:00,432
采煤机_截割部位_左滚筒_电机_电流,2024-04-18 08:58:00,2024-04-18 15:43:00,406
采煤机_截割部位_左滚筒_电机_电流,2024-04-19 08:38:00,2024-04-19 16:03:00,446
采煤机_截割部位_左滚筒_电机_电流,2024-04-20 08:27:00,2024-04-20 18:31:00,605
采煤机_截割部位_左滚筒_电机_电流,2024-04-21 10:03:00,2024-04-21 15:41:00,339
采煤机_截割部位_左滚筒_电机_电流,2024-04-22 10:20:00,2024-04-22 15:34:00,315
采煤机_截割部位_左滚筒_电机_电流,2024-04-23 09:11:00,2024-04-23 15:53:00,403
采煤机_截割部位_左滚筒_电机_电流,2024-04-24 06:04:00,2024-04-24 15:01:00,538
采煤机_截割部位_左滚筒_电机_电流,2024-04-25 10:12:00,2024-04-25 15:42:00,331
采煤机_截割部位_左滚筒_电机_电流,2024-04-26 06:59:00,2024-04-26 13:11:00,373
采煤机_截割部位_左滚筒_电机_电流,2024-04-26 13:13:00,2024-04-26 16:01:00,169
采煤机_截割部位_左滚筒_电机_电流,2024-04-27 10:07:00,2024-04-27 16:09:00,363
采煤机_油泵_右油箱_油压,2024-04-01 01:39:00,2024-04-01 04:36:00,178
采煤机_油泵_右油箱_油压,2024-04-02 10:52:00,2024-04-02 13:36:00,165
采煤机_油泵_右油箱_油压,2024-04-02 13:52:00,2024-04-02 16:04:00,133
采煤机_油泵_右油箱_油压,2024-04-03 10:01:00,2024-04-03 14:01:00,241
采煤机_油泵_右油箱_油压,2024-04-04 09:08:00,2024-04-04 13:52:00,285
