参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_牵引部位_采煤机速度,33361.8265,0.0,0.0,0.8543,大,7
采煤机_截割部位_右滚筒_电机_电流,31764.354,0.0,0.0,0.8134,大,7
采煤机_截割部位_左滚筒_电机_电流,32374.3086,0.0,0.0,0.829,大,7
采煤机_截割部位_右滚筒_电机_温度,18097.9807,0.0,0.0,0.4635,大,7
采煤机_截割部位_左滚筒_电机_温度,20090.9125,0.0,0.0,0.5145,大,7
采煤机_牵引部位_右电机_电流,31205.6152,0.0,0.0,0.7991,大,7
采煤机_牵引部位_左电机_电流,30991.5561,0.0,0.0,0.7936,大,7
采煤机_牵引部位_右电机_温度,20477.0678,0.0,0.0,0.5244,大,7
采煤机_牵引部位_左电机_温度,20815.7302,0.0,0.0,0.5331,大,7
采煤机_牵引部位_右电机_电压,25746.7002,0.0,0.0,0.6593,大,7
采煤机_牵引部位_左电机_电压,25061.1502,0.0,0.0,0.6418,大,7
采煤机_牵引部位_位置米数,2295.755,0.0,0.0,0.0588,小,7
采煤机_破碎机_电机_电流,5897.1685,0.0,0.0,0.151,大,7
采煤机_破碎机_电机_温度,4577.9321,0.0,0.0,0.1172,中,7
采煤机_油泵_右电机_电流,27904.9641,0.0,0.0,0.7146,大,7
采煤机_油泵_左电机_电流,27691.7919,0.0,0.0,0.7091,大,7
采煤机_油泵_右电机_温度,11967.0203,0.0,0.0,0.3065,大,7
采煤机_油泵_左电机_温度,12627.7907,0.0,0.0,0.3234,大,7
采煤机_油泵_右油箱_油压,26355.6641,0.0,0.0,0.6749,大,7
采煤机_油泵_左油箱_油压,26522.628,0.0,0.0,0.6792,大,7
采煤机_采煤机倾角_俯仰角,808.691,2.0399123313115617e-171,0.0,0.0207,小,7
