参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_牵引部位_采煤机速度,22334.5048,0.0,0.0,0.5719,大,3
采煤机_截割部位_右滚筒_电机_电流,26592.012,0.0,0.0,0.681,大,3
采煤机_截割部位_左滚筒_电机_电流,26822.976,0.0,0.0,0.6869,大,3
采煤机_截割部位_右滚筒_电机_温度,14859.9038,0.0,0.0,0.3805,大,3
采煤机_截割部位_左滚筒_电机_温度,17538.218,0.0,0.0,0.4491,大,3
采煤机_牵引部位_右电机_电流,22271.7124,0.0,0.0,0.5703,大,3
采煤机_牵引部位_左电机_电流,22153.3517,0.0,0.0,0.5673,大,3
采煤机_牵引部位_右电机_温度,18182.7807,0.0,0.0,0.4656,大,3
采煤机_牵引部位_左电机_温度,18783.0278,0.0,0.0,0.481,大,3
采煤机_牵引部位_右电机_电压,27978.5544,0.0,0.0,0.7165,大,3
采煤机_牵引部位_左电机_电压,27415.0152,0.0,0.0,0.702,大,3
采煤机_牵引部位_位置米数,1070.788,3.0292673498254354e-233,0.0,0.0274,小,3
采煤机_破碎机_电机_电流,5259.8553,0.0,0.0,0.1347,中,3
采煤机_破碎机_电机_温度,2045.4689,0.0,0.0,0.0524,小,3
采煤机_油泵_右电机_电流,29259.1327,0.0,0.0,0.7493,大,3
采煤机_油泵_左电机_电流,30173.9976,0.0,0.0,0.7727,大,3
采煤机_油泵_右电机_温度,11603.2387,0.0,0.0,0.2971,大,3
采煤机_油泵_左电机_温度,12274.2867,0.0,0.0,0.3143,大,3
采煤机_油泵_右油箱_油压,28757.187,0.0,0.0,0.7364,大,3
采煤机_油泵_左油箱_油压,27525.9663,0.0,0.0,0.7049,大,3
采煤机_采煤机倾角_俯仰角,43.3417,3.876689582956589e-10,0.0,0.0011,无,3
