参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_牵引部位_采煤机速度,32515.461,0.0,0.0,0.8327,大,4
采煤机_截割部位_右滚筒_电机_电流,24714.9203,0.0,0.0,0.6329,大,4
采煤机_截割部位_左滚筒_电机_电流,26940.7223,0.0,0.0,0.6899,大,4
采煤机_截割部位_右滚筒_电机_温度,13258.056,0.0,0.0,0.3395,大,4
采煤机_截割部位_左滚筒_电机_温度,13498.5449,0.0,0.0,0.3457,大,4
采煤机_牵引部位_右电机_电流,29360.7983,0.0,0.0,0.7519,大,4
采煤机_牵引部位_左电机_电流,29218.5046,0.0,0.0,0.7482,大,4
采煤机_牵引部位_右电机_温度,14369.8606,0.0,0.0,0.368,大,4
采煤机_牵引部位_左电机_温度,14614.0295,0.0,0.0,0.3742,大,4
采煤机_牵引部位_右电机_电压,14020.7866,0.0,0.0,0.359,大,4
采煤机_牵引部位_左电机_电压,13937.3614,0.0,0.0,0.3569,大,4
采煤机_牵引部位_位置米数,1059.1186,2.692396670526632e-229,0.0,0.0271,小,4
采煤机_破碎机_电机_电流,4672.8831,0.0,0.0,0.1197,中,4
采煤机_破碎机_电机_温度,2070.3017,0.0,0.0,0.053,小,4
采煤机_油泵_右电机_电流,20082.1043,0.0,0.0,0.5143,大,4
采煤机_油泵_左电机_电流,20579.2134,0.0,0.0,0.527,大,4
采煤机_油泵_右电机_温度,9097.2343,0.0,0.0,0.233,大,4
采煤机_油泵_左电机_温度,10076.3654,0.0,0.0,0.258,大,4
采煤机_油泵_右油箱_油压,19963.8123,0.0,0.0,0.5112,大,4
采煤机_油泵_左油箱_油压,19572.6697,0.0,0.0,0.5012,大,4
采煤机_采煤机倾角_俯仰角,72.8747,1.0340437663347186e-15,0.0,0.0019,无,4
