参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_牵引部位_采煤机速度,63.1177,1.9686834642118834e-14,0.0,0.0016,无,3
采煤机_截割部位_右滚筒_电机_电流,57.4957,3.2730899007060347e-13,0.0,0.0015,无,3
采煤机_截割部位_左滚筒_电机_电流,123.9101,1.2395646525234547e-27,0.0,0.0032,无,3
采煤机_截割部位_右滚筒_电机_温度,28.3729,6.900766360411855e-07,1e-06,0.0007,无,3
采煤机_截割部位_左滚筒_电机_温度,70.857,4.1077001979320013e-16,0.0,0.0018,无,3
采煤机_牵引部位_右电机_电流,153.9529,3.7114529313660487e-34,0.0,0.0039,无,3
采煤机_牵引部位_左电机_电流,163.2854,3.491565355719001e-36,0.0,0.0042,无,3
采煤机_牵引部位_右电机_温度,63.6122,1.5374305082504627e-14,0.0,0.0016,无,3
采煤机_牵引部位_左电机_温度,60.9797,5.733655399533008e-14,0.0,0.0016,无,3
采煤机_牵引部位_右电机_电压,171.7737,5.009651554206992e-38,0.0,0.0044,无,3
采煤机_牵引部位_左电机_电压,190.7735,3.7502113935047627e-42,0.0,0.0049,无,3
采煤机_牵引部位_位置米数,73.4363,1.1311093761200788e-16,0.0,0.0019,无,3
采煤机_破碎机_电机_电流,9378.7407,0.0,0.0,0.2402,大,3
采煤机_破碎机_电机_温度,7190.3135,0.0,0.0,0.1841,大,3
采煤机_油泵_右电机_电流,75.4404,4.1526392339628895e-17,0.0,0.0019,无,3
采煤机_油泵_左电机_电流,73.944,8.775349868122567e-17,0.0,0.0019,无,3
采煤机_油泵_右电机_温度,117.0352,3.8559661356616233e-26,0.0,0.003,无,3
采煤机_油泵_左电机_温度,81.0062,2.568758989324505e-18,0.0,0.0021,无,3
采煤机_油泵_右油箱_油压,52.2948,4.408853122127424e-12,0.0,0.0013,无,3
采煤机_油泵_左油箱_油压,64.2668,1.1082352336648152e-14,0.0,0.0016,无,3
采煤机_采煤机倾角_俯仰角,77.4497,1.5206164347142063e-17,0.0,0.002,无,3
