参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
三机_转载机_电机_电流,67313.8158,0.0,0.0,0.7708,大,3
三机_转载机_电机_转速,66885.03,0.0,0.0,0.7659,大,3
三机_转载机_电机_转矩,66993.2358,0.0,0.0,0.7671,大,3
三机_转载机_链条速度,66700.6707,0.0,0.0,0.7638,大,3
三机_转载机_变频器_IGBT1温度,56915.8109,0.0,0.0,0.6517,大,3
三机_转载机_变频器_IGBT2温度,57996.1993,0.0,0.0,0.6641,大,3
三机_转载机_变频器_母线电压,59336.4798,0.0,0.0,0.6795,大,3
三机_转载机_变频器_腔体温度,56915.8105,0.0,0.0,0.6517,大,3
三机_转载机_减速器_油箱_油温,42683.4925,0.0,0.0,0.4888,大,3
三机_转载机_减速器_油箱_油位,287.6074,3.5224163180490206e-63,0.0,0.0033,无,3
三机_转载机_减速器_冷却水_温度,39213.4143,0.0,0.0,0.449,大,3
三机_转载机_减速器_冷却水_压力,1315.2367,2.511767668096436e-286,0.0,0.0151,小,3
三机_转载机_减速器_冷却水_流量,3627.9125,0.0,0.0,0.0415,小,3
