device,part,component,sensor,metric,原始列名
采煤机,截割部位,右滚筒,,运行状态,采煤机_截割部位_右滚筒_运行状态
采煤机,截割部位,左滚筒,,运行状态,采煤机_截割部位_左滚筒_运行状态
采煤机,截割部位,右滚筒,电机,运行状态,采煤机_截割部位_右滚筒_电机_运行状态
采煤机,截割部位,左滚筒,电机,运行状态,采煤机_截割部位_左滚筒_电机_运行状态
采煤机,牵引部位,右电机,,运行状态,采煤机_牵引部位_右电机_运行状态
采煤机,牵引部位,左电机,,运行状态,采煤机_牵引部位_左电机_运行状态
采煤机,油泵,右电机,,运行状态,采煤机_油泵_右电机_运行状态
采煤机,油泵,左电机,,运行状态,采煤机_油泵_左电机_运行状态
采煤机,破碎机,电机,,运行状态,采煤机_破碎机_电机_运行状态
采煤机,牵引部位,,,采煤机速度,采煤机_牵引部位_采煤机速度
采煤机,牵引部位,,,方向,采煤机_牵引部位_方向
采煤机,牵引部位,,,位置架号,采煤机_牵引部位_位置架号
采煤机,截割部位,右滚筒,,高度,采煤机_截割部位_右滚筒_高度
采煤机,截割部位,左滚筒,,高度,采煤机_截割部位_左滚筒_高度
采煤机,截割部位,右摇臂,,角度,采煤机_截割部位_右摇臂_角度
采煤机,截割部位,左摇臂,,角度,采煤机_截割部位_左摇臂_角度
采煤机,牵引部位,,,记忆割煤状态,采煤机_牵引部位_记忆割煤状态
采煤机,截割部位,右滚筒,电机,电流,采煤机_截割部位_右滚筒_电机_电流
采煤机,截割部位,左滚筒,电机,电流,采煤机_截割部位_左滚筒_电机_电流
采煤机,截割部位,右滚筒,电机,温度,采煤机_截割部位_右滚筒_电机_温度
采煤机,截割部位,左滚筒,电机,温度,采煤机_截割部位_左滚筒_电机_温度
采煤机,牵引部位,右电机,,电流,采煤机_牵引部位_右电机_电流
采煤机,牵引部位,左电机,,电流,采煤机_牵引部位_左电机_电流
采煤机,牵引部位,右电机,,温度,采煤机_牵引部位_右电机_温度
采煤机,牵引部位,左电机,,温度,采煤机_牵引部位_左电机_温度
采煤机,牵引部位,右电机,,电压,采煤机_牵引部位_右电机_电压
采煤机,牵引部位,左电机,,电压,采煤机_牵引部位_左电机_电压
采煤机,牵引部位,,,位置米数,采煤机_牵引部位_位置米数
采煤机,破碎机,电机,,电流,采煤机_破碎机_电机_电流
采煤机,破碎机,电机,,温度,采煤机_破碎机_电机_温度
采煤机,油泵,右电机,,电流,采煤机_油泵_右电机_电流
采煤机,油泵,左电机,,电流,采煤机_油泵_左电机_电流
采煤机,油泵,右电机,,温度,采煤机_油泵_右电机_温度
采煤机,油泵,左电机,,温度,采煤机_油泵_左电机_温度
采煤机,油泵,右油箱,,油压,采煤机_油泵_右油箱_油压
采煤机,油泵,左油箱,,油压,采煤机_油泵_左油箱_油压
采煤机,采煤机倾角,,,俯仰角,采煤机_采煤机倾角_俯仰角
