列名,总记录数,有效记录数,有效比例,最早时间,最晚时间,时间跨度(天)
采煤机_牵引部位_采煤机速度,39184,39169,0.9996,2024-04-01 00:15:00,2024-04-28 05:03:00,27.2
采煤机_截割部位_右滚筒_电机_电流,39184,39131,0.9986,2024-04-01 00:53:00,2024-04-28 05:03:00,27.17
采煤机_截割部位_左滚筒_电机_电流,39184,39175,0.9998,2024-04-01 00:09:00,2024-04-28 05:03:00,27.2
采煤机_截割部位_右滚筒_电机_温度,39184,39184,1.0,2024-04-01 00:00:00,2024-04-28 05:03:00,27.21
采煤机_截割部位_左滚筒_电机_温度,39184,39183,1.0,2024-04-01 00:01:00,2024-04-28 05:03:00,27.21
采煤机_牵引部位_右电机_电流,39184,39128,0.9986,2024-04-01 00:56:00,2024-04-28 05:03:00,27.17
采煤机_牵引部位_左电机_电流,39184,39128,0.9986,2024-04-01 00:56:00,2024-04-28 05:03:00,27.17
采煤机_牵引部位_右电机_温度,39184,39183,1.0,2024-04-01 00:01:00,2024-04-28 05:03:00,27.21
采煤机_牵引部位_左电机_温度,39184,39184,1.0,2024-04-01 00:00:00,2024-04-28 05:03:00,27.21
采煤机_牵引部位_右电机_电压,39184,39175,0.9998,2024-04-01 00:09:00,2024-04-28 05:03:00,27.2
采煤机_牵引部位_左电机_电压,39184,39184,1.0,2024-04-01 00:00:00,2024-04-28 05:03:00,27.21
采煤机_牵引部位_位置米数,39184,39169,0.9996,2024-04-01 00:15:00,2024-04-28 05:03:00,27.2
采煤机_破碎机_电机_电流,39184,39131,0.9986,2024-04-01 00:53:00,2024-04-28 05:03:00,27.17
采煤机_破碎机_电机_温度,39184,39131,0.9986,2024-04-01 00:53:00,2024-04-28 05:03:00,27.17
采煤机_油泵_右电机_电流,39184,39175,0.9998,2024-04-01 00:09:00,2024-04-28 05:03:00,27.2
采煤机_油泵_左电机_电流,39184,39175,0.9998,2024-04-01 00:09:00,2024-04-28 05:03:00,27.2
采煤机_油泵_右电机_温度,39184,39184,1.0,2024-04-01 00:00:00,2024-04-28 05:03:00,27.21
采煤机_油泵_左电机_温度,39184,39184,1.0,2024-04-01 00:00:00,2024-04-28 05:03:00,27.21
采煤机_油泵_右油箱_油压,39184,39175,0.9998,2024-04-01 00:09:00,2024-04-28 05:03:00,27.2
采煤机_油泵_左油箱_油压,39184,39175,0.9998,2024-04-01 00:09:00,2024-04-28 05:03:00,27.2
采煤机_采煤机倾角_俯仰角,39184,39184,1.0,2024-04-01 00:00:00,2024-04-28 05:03:00,27.21
