切换类型,切换次数,平均持续帧数,采煤机_截割部位_右滚筒_运行状态_切换前均值,采煤机_截割部位_右滚筒_运行状态_切换后均值,采煤机_截割部位_左滚筒_运行状态_切换前均值,采煤机_截割部位_左滚筒_运行状态_切换后均值,采煤机_截割部位_右滚筒_电机_运行状态_切换前均值,采煤机_截割部位_右滚筒_电机_运行状态_切换后均值,采煤机_截割部位_左滚筒_电机_运行状态_切换前均值,采煤机_截割部位_左滚筒_电机_运行状态_切换后均值,采煤机_牵引部位_右电机_运行状态_切换前均值,采煤机_牵引部位_右电机_运行状态_切换后均值,采煤机_牵引部位_左电机_运行状态_切换前均值,采煤机_牵引部位_左电机_运行状态_切换后均值,采煤机_油泵_右电机_运行状态_切换前均值,采煤机_油泵_右电机_运行状态_切换后均值,采煤机_油泵_左电机_运行状态_切换前均值,采煤机_油泵_左电机_运行状态_切换后均值,采煤机_破碎机_电机_运行状态_切换前均值,采煤机_破碎机_电机_运行状态_切换后均值,采煤机_牵引部位_采煤机速度_切换前均值,采煤机_牵引部位_采煤机速度_切换后均值,采煤机_牵引部位_方向_切换前均值,采煤机_牵引部位_方向_切换后均值,采煤机_牵引部位_位置架号_切换前均值,采煤机_牵引部位_位置架号_切换后均值,采煤机_截割部位_右滚筒_高度_切换前均值,采煤机_截割部位_右滚筒_高度_切换后均值,采煤机_截割部位_左滚筒_高度_切换前均值,采煤机_截割部位_左滚筒_高度_切换后均值,采煤机_截割部位_右摇臂_角度_切换前均值,采煤机_截割部位_右摇臂_角度_切换后均值,采煤机_截割部位_左摇臂_角度_切换前均值,采煤机_截割部位_左摇臂_角度_切换后均值,采煤机_牵引部位_记忆割煤状态_切换前均值,采煤机_牵引部位_记忆割煤状态_切换后均值,采煤机_截割部位_右滚筒_电机_电流_切换前均值,采煤机_截割部位_右滚筒_电机_电流_切换后均值,采煤机_截割部位_左滚筒_电机_电流_切换前均值,采煤机_截割部位_左滚筒_电机_电流_切换后均值,采煤机_截割部位_右滚筒_电机_温度_切换前均值,采煤机_截割部位_右滚筒_电机_温度_切换后均值,采煤机_截割部位_左滚筒_电机_温度_切换前均值,采煤机_截割部位_左滚筒_电机_温度_切换后均值,采煤机_牵引部位_右电机_电流_切换前均值,采煤机_牵引部位_右电机_电流_切换后均值,采煤机_牵引部位_左电机_电流_切换前均值,采煤机_牵引部位_左电机_电流_切换后均值,采煤机_牵引部位_右电机_温度_切换前均值,采煤机_牵引部位_右电机_温度_切换后均值,采煤机_牵引部位_左电机_温度_切换前均值,采煤机_牵引部位_左电机_温度_切换后均值,采煤机_牵引部位_右电机_电压_切换前均值,采煤机_牵引部位_右电机_电压_切换后均值,采煤机_牵引部位_左电机_电压_切换前均值,采煤机_牵引部位_左电机_电压_切换后均值,采煤机_牵引部位_位置米数_切换前均值,采煤机_牵引部位_位置米数_切换后均值,采煤机_破碎机_电机_电流_切换前均值,采煤机_破碎机_电机_电流_切换后均值,采煤机_破碎机_电机_温度_切换前均值,采煤机_破碎机_电机_温度_切换后均值,采煤机_油泵_右电机_电流_切换前均值,采煤机_油泵_右电机_电流_切换后均值,采煤机_油泵_左电机_电流_切换前均值,采煤机_油泵_左电机_电流_切换后均值,采煤机_油泵_右电机_温度_切换前均值,采煤机_油泵_右电机_温度_切换后均值,采煤机_油泵_左电机_温度_切换前均值,采煤机_油泵_左电机_温度_切换后均值,采煤机_油泵_右油箱_油压_切换前均值,采煤机_油泵_右油箱_油压_切换后均值,采煤机_油泵_左油箱_油压_切换前均值,采煤机_油泵_左油箱_油压_切换后均值,采煤机_采煤机倾角_俯仰角_切换前均值,采煤机_采煤机倾角_俯仰角_切换后均值
停机→割煤中位,28,2.82,0.21,0.31,0.24,0.36,0.71,0.71,0.81,0.84,0.61,0.64,0.64,0.64,0.96,0.94,0.96,0.92,0.64,0.58,0.92,1.69,-0.06,-0.03,73.12,73.4,1.74,1.81,2.85,2.71,-0.65,-0.84,1.12,0.11,0.41,0.41,21.01,26.59,23.54,32.39,52.56,52.7,55.26,55.51,21.93,34.85,22.19,33.96,47.71,47.53,47.19,46.99,461.21,542.86,471.36,552.21,149.66,150.26,0.79,0.84,59.59,59.48,7.59,9.51,7.21,9.03,45.33,45.26,45.68,45.61,1.53,1.66,1.65,1.85,0.72,0.74
停机→割煤高位,6,4.67,0.13,0.3,0.13,0.3,0.4,0.5,0.67,0.7,0.1,0.3,0.1,0.3,0.57,0.8,0.57,0.8,0.0,0.13,0.42,1.57,-0.1,-0.23,86.83,87.3,2.97,2.62,3.06,3.43,0.77,1.1,22.63,22.63,0.63,0.7,11.57,30.93,9.13,28.37,55.57,55.93,57.4,57.87,10.93,33.33,10.63,33.73,47.1,47.0,45.97,45.93,392.67,504.0,399.67,507.33,177.57,178.58,0.0,3.97,37.47,37.53,6.2,9.17,9.07,10.73,42.4,42.6,43.53,43.83,0.94,1.34,2.12,1.8,0.85,0.86
停机→待机,79,32.48,0.06,0.05,0.07,0.05,0.6,0.94,0.78,1.15,0.48,0.73,0.48,0.73,0.69,0.94,0.7,0.94,1.14,1.42,0.35,0.27,-0.03,-0.03,89.02,89.08,2.04,2.14,1.37,1.49,-2.2,-2.28,0.28,0.41,0.08,0.09,7.48,6.34,4.72,3.55,38.07,40.13,40.07,42.04,12.18,10.17,12.3,10.38,36.58,38.62,36.52,38.57,277.44,302.13,280.0,305.72,137.76,141.33,0.35,0.27,107.24,113.67,4.87,4.98,4.43,4.51,35.93,37.89,36.21,38.17,0.9,0.92,1.07,1.08,0.69,0.71
停机→待机-高位,9,6.67,0.18,0.13,0.18,0.13,0.49,0.64,0.47,0.62,0.18,0.33,0.18,0.33,0.44,0.58,0.38,0.53,0.24,0.58,0.93,0.67,0.0,0.0,112.51,112.38,2.93,3.01,1.37,1.4,6.67,6.4,1.73,2.13,0.58,0.53,14.93,11.96,18.31,12.93,42.07,43.09,44.69,45.64,18.56,14.62,16.93,13.51,39.07,39.98,38.44,39.33,357.33,342.0,362.67,350.89,183.25,182.6,2.69,1.62,32.11,33.0,4.58,5.47,5.09,5.07,36.62,37.58,37.2,38.27,0.75,1.23,1.24,1.26,0.62,0.61
停机→调架中,22,1.05,0.07,0.19,0.09,0.26,0.59,0.61,0.52,0.59,0.49,0.42,0.49,0.42,0.64,0.72,0.64,0.72,0.9,0.9,0.21,0.21,-0.03,-0.03,67.44,67.51,2.14,2.2,2.45,2.39,-1.15,-1.31,4.05,3.68,0.3,0.33,6.28,23.23,5.51,26.05,48.05,49.02,49.48,50.55,14.34,12.96,14.39,13.06,43.79,44.48,43.17,43.85,246.0,394.18,253.36,401.55,136.32,136.61,1.43,3.71,61.97,62.63,3.96,7.05,4.02,6.92,42.09,42.37,42.85,43.14,0.81,1.2,1.07,1.5,0.93,0.92
割煤中位→停机,16,3.5,0.74,0.61,0.81,0.68,1.09,0.89,1.18,0.94,0.74,0.56,0.8,0.61,1.46,1.18,1.51,1.21,0.29,0.21,3.7,3.12,-0.3,-0.24,68.36,69.4,1.01,1.13,3.49,3.32,-4.97,-4.64,3.39,2.11,0.39,0.41,59.62,49.66,55.11,45.96,56.82,57.11,59.14,59.36,71.98,59.0,70.84,58.24,51.14,51.19,50.61,50.66,787.0,761.12,793.12,770.5,139.87,142.01,3.04,2.52,37.42,37.5,15.86,13.4,15.85,13.45,47.01,47.06,46.8,46.86,2.43,2.12,2.83,2.52,0.74,0.72
割煤中位→割煤低位,22,14.82,0.96,0.97,0.96,0.97,2.01,2.0,1.98,1.99,0.98,0.99,1.09,1.09,1.24,1.24,1.7,1.68,2.09,1.98,4.76,4.7,-0.2,-0.24,119.48,119.91,2.56,2.21,2.69,2.43,5.06,3.31,5.49,0.26,0.59,0.59,74.19,76.1,93.0,94.19,66.55,66.05,71.55,71.21,101.14,99.05,101.3,99.09,64.72,64.19,64.02,63.47,849.91,856.18,822.09,830.45,245.09,244.01,4.51,3.7,186.0,179.88,18.72,18.79,17.8,18.05,51.3,50.85,52.75,52.38,3.01,2.95,3.79,3.73,1.43,1.41
割煤中位→割煤高位,1233,3.35,0.94,0.96,0.94,0.96,1.97,1.96,1.92,1.91,0.96,0.98,1.04,1.06,1.27,1.3,1.62,1.66,1.15,1.14,6.16,6.64,0.01,0.03,91.74,91.62,2.53,2.64,2.23,2.29,2.47,3.9,0.14,1.44,0.82,0.83,83.06,85.5,90.25,91.6,67.57,67.62,72.23,72.39,104.44,110.41,105.04,110.81,65.16,65.25,64.71,64.81,836.66,844.96,842.26,850.72,187.95,187.71,7.07,7.31,100.91,100.92,17.71,18.71,17.78,18.55,50.51,50.62,52.15,52.24,2.98,3.39,3.26,3.54,0.74,0.77
割煤中位→待机,329,12.02,0.89,0.72,0.9,0.73,1.94,2.18,1.96,2.21,0.89,0.76,0.94,0.8,1.23,1.04,1.43,1.2,1.43,1.52,5.1,4.19,-0.16,-0.12,77.71,78.39,1.95,1.98,2.59,2.47,-1.49,-2.2,0.7,-0.17,0.77,0.76,80.55,63.79,77.55,65.28,65.38,65.55,69.99,70.07,96.0,78.29,96.35,78.58,62.15,62.21,61.67,61.75,836.15,801.55,840.22,807.6,158.24,159.91,5.25,4.21,123.86,124.6,17.06,14.24,17.6,14.64,49.74,49.84,51.55,51.64,2.66,2.25,3.2,2.72,0.48,0.46
割煤中位→待机-高位,84,4.65,0.95,0.76,0.95,0.76,2.0,2.28,1.98,2.25,0.93,0.79,1.0,0.87,1.26,1.07,1.57,1.32,1.29,1.44,5.7,4.64,0.06,0.04,92.37,92.09,2.76,2.75,2.16,2.1,4.07,3.34,0.96,0.41,0.86,0.85,80.3,64.4,97.67,78.97,66.68,66.73,71.92,72.04,106.89,87.24,106.7,86.89,64.72,64.83,64.37,64.49,841.52,808.5,847.14,815.38,189.28,188.68,11.18,8.95,108.08,108.3,17.47,14.45,17.87,14.81,50.62,50.66,51.98,52.03,2.8,2.33,3.39,2.81,0.69,0.66
割煤中位→调架中,1156,1.96,0.91,0.94,0.92,0.94,1.91,1.91,1.91,1.91,0.92,0.94,1.05,1.08,1.21,1.24,1.55,1.58,1.52,1.54,5.38,4.44,0.0,-0.0,74.66,74.69,2.36,2.35,2.2,2.16,0.25,-0.16,-0.94,-1.31,0.77,0.76,82.33,81.39,86.39,85.02,65.74,65.85,71.61,71.78,102.88,96.86,103.19,97.62,63.52,63.67,63.13,63.28,827.74,845.38,833.17,850.72,152.76,152.82,7.93,8.39,136.63,136.79,17.1,17.41,17.33,17.81,50.24,50.3,51.86,51.94,2.72,2.73,3.13,3.21,0.39,0.39
割煤低位→割煤中位,28,5.68,0.98,0.98,0.98,0.98,1.94,1.94,1.86,1.9,0.98,0.97,1.1,1.09,1.21,1.2,1.61,1.63,1.45,1.52,4.88,5.44,-0.11,-0.06,104.06,104.12,2.18,2.14,2.3,2.03,2.64,0.69,2.38,-1.21,0.57,0.57,80.67,80.65,90.29,94.61,65.06,65.39,70.86,71.1,105.3,104.56,105.38,105.03,63.16,63.27,62.66,62.93,855.0,858.29,831.57,832.21,205.77,207.4,3.71,2.76,154.08,158.36,20.46,20.15,18.3,18.49,49.68,50.01,51.19,51.56,3.12,3.19,3.72,3.68,1.53,1.5
割煤低位→割煤高位,2,5.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.1,2.0,2.0,0.0,0.0,7.37,8.12,-0.5,-0.6,92.1,92.8,1.27,2.12,3.3,2.69,1.2,8.9,10.1,6.2,0.5,0.5,79.0,76.1,93.6,97.3,68.7,68.6,69.2,69.3,109.6,118.1,112.6,115.7,68.2,68.2,67.9,67.8,850.0,848.0,854.0,855.0,188.89,190.13,0.0,0.0,37.7,37.6,19.2,19.2,22.0,22.0,51.2,51.4,52.9,53.4,3.44,3.42,6.33,6.32,0.86,0.83
割煤低位→待机,1,8.0,1.0,0.8,1.0,0.8,2.0,2.0,1.8,2.0,1.0,0.8,1.0,0.8,2.0,1.6,2.0,1.6,2.0,1.8,5.06,3.59,0.4,0.2,8.8,7.8,3.39,3.13,0.87,0.85,-0.8,-5.0,-5.2,-5.4,1.0,1.0,93.0,77.0,66.8,53.6,56.4,56.6,68.2,67.6,105.2,79.6,100.4,76.6,64.2,63.8,63.2,62.8,884.0,800.0,882.0,806.0,17.61,15.57,8.0,4.0,42.8,42.6,18.6,15.0,17.4,14.0,46.6,46.8,47.0,47.0,3.16,2.68,2.52,2.04,2.88,2.68
割煤高位→停机,3,5.67,0.87,0.73,0.87,0.73,1.13,0.73,1.13,0.73,1.27,0.8,1.27,0.8,2.07,1.6,2.07,1.6,1.93,1.6,3.89,3.35,-0.27,-0.13,71.53,72.33,2.09,2.21,3.59,3.51,-1.27,0.6,19.07,17.6,1.0,1.0,72.87,67.13,57.87,49.2,51.93,52.13,54.27,54.33,100.2,78.07,104.27,81.53,49.8,50.2,49.6,49.93,838.67,842.67,843.33,846.67,146.38,147.98,7.2,5.73,39.87,39.67,19.27,19.27,18.07,17.07,45.67,45.67,46.0,46.13,3.72,4.17,4.28,4.08,0.74,0.92
