切换类型,切换次数,平均持续帧数,采煤机_截割部位_右滚筒_运行状态_切换前均值,采煤机_截割部位_右滚筒_运行状态_切换后均值,采煤机_截割部位_左滚筒_运行状态_切换前均值,采煤机_截割部位_左滚筒_运行状态_切换后均值,采煤机_截割部位_右滚筒_电机_运行状态_切换前均值,采煤机_截割部位_右滚筒_电机_运行状态_切换后均值,采煤机_截割部位_左滚筒_电机_运行状态_切换前均值,采煤机_截割部位_左滚筒_电机_运行状态_切换后均值,采煤机_牵引部位_右电机_运行状态_切换前均值,采煤机_牵引部位_右电机_运行状态_切换后均值,采煤机_牵引部位_左电机_运行状态_切换前均值,采煤机_牵引部位_左电机_运行状态_切换后均值,采煤机_油泵_右电机_运行状态_切换前均值,采煤机_油泵_右电机_运行状态_切换后均值,采煤机_油泵_左电机_运行状态_切换前均值,采煤机_油泵_左电机_运行状态_切换后均值,采煤机_破碎机_电机_运行状态_切换前均值,采煤机_破碎机_电机_运行状态_切换后均值,采煤机_牵引部位_采煤机速度_切换前均值,采煤机_牵引部位_采煤机速度_切换后均值,采煤机_牵引部位_方向_切换前均值,采煤机_牵引部位_方向_切换后均值,采煤机_牵引部位_位置架号_切换前均值,采煤机_牵引部位_位置架号_切换后均值,采煤机_截割部位_右滚筒_高度_切换前均值,采煤机_截割部位_右滚筒_高度_切换后均值,采煤机_截割部位_左滚筒_高度_切换前均值,采煤机_截割部位_左滚筒_高度_切换后均值,采煤机_截割部位_右摇臂_角度_切换前均值,采煤机_截割部位_右摇臂_角度_切换后均值,采煤机_截割部位_左摇臂_角度_切换前均值,采煤机_截割部位_左摇臂_角度_切换后均值,采煤机_牵引部位_记忆割煤状态_切换前均值,采煤机_牵引部位_记忆割煤状态_切换后均值,采煤机_截割部位_右滚筒_电机_电流_切换前均值,采煤机_截割部位_右滚筒_电机_电流_切换后均值,采煤机_截割部位_左滚筒_电机_电流_切换前均值,采煤机_截割部位_左滚筒_电机_电流_切换后均值,采煤机_截割部位_右滚筒_电机_温度_切换前均值,采煤机_截割部位_右滚筒_电机_温度_切换后均值,采煤机_截割部位_左滚筒_电机_温度_切换前均值,采煤机_截割部位_左滚筒_电机_温度_切换后均值,采煤机_牵引部位_右电机_电流_切换前均值,采煤机_牵引部位_右电机_电流_切换后均值,采煤机_牵引部位_左电机_电流_切换前均值,采煤机_牵引部位_左电机_电流_切换后均值,采煤机_牵引部位_右电机_温度_切换前均值,采煤机_牵引部位_右电机_温度_切换后均值,采煤机_牵引部位_左电机_温度_切换前均值,采煤机_牵引部位_左电机_温度_切换后均值,采煤机_牵引部位_右电机_电压_切换前均值,采煤机_牵引部位_右电机_电压_切换后均值,采煤机_牵引部位_左电机_电压_切换前均值,采煤机_牵引部位_左电机_电压_切换后均值,采煤机_牵引部位_位置米数_切换前均值,采煤机_牵引部位_位置米数_切换后均值,采煤机_破碎机_电机_电流_切换前均值,采煤机_破碎机_电机_电流_切换后均值,采煤机_破碎机_电机_温度_切换前均值,采煤机_破碎机_电机_温度_切换后均值,采煤机_油泵_右电机_电流_切换前均值,采煤机_油泵_右电机_电流_切换后均值,采煤机_油泵_左电机_电流_切换前均值,采煤机_油泵_左电机_电流_切换后均值,采煤机_油泵_右电机_温度_切换前均值,采煤机_油泵_右电机_温度_切换后均值,采煤机_油泵_左电机_温度_切换前均值,采煤机_油泵_左电机_温度_切换后均值,采煤机_油泵_右油箱_油压_切换前均值,采煤机_油泵_右油箱_油压_切换后均值,采煤机_油泵_左油箱_油压_切换前均值,采煤机_油泵_左油箱_油压_切换后均值,采煤机_采煤机倾角_俯仰角_切换前均值,采煤机_采煤机倾角_俯仰角_切换后均值
停机→待机,303,18.41,0.31,0.3,0.31,0.31,1.64,1.85,1.88,2.07,0.47,0.85,0.51,0.88,0.77,1.11,0.86,1.19,1.69,1.96,1.26,0.87,-0.02,-0.02,86.04,85.95,2.38,2.38,2.15,2.14,0.46,0.34,0.86,0.81,0.43,0.42,33.87,32.41,27.13,25.97,56.34,56.57,59.58,59.71,30.32,26.81,30.21,26.87,53.66,53.7,53.22,53.24,490.95,499.38,496.13,505.28,169.84,170.59,2.89,2.74,142.43,143.41,8.62,8.73,8.68,8.65,46.67,46.92,47.81,48.06,1.41,1.42,1.73,1.66,0.63,0.62
停机→空载牵引,27,1.04,0.41,0.46,0.42,0.47,1.27,1.24,1.59,1.54,0.47,0.53,0.47,0.53,1.03,1.08,1.05,1.12,0.84,0.76,1.54,1.25,-0.01,-0.07,77.03,77.17,2.37,2.26,2.05,2.17,-1.89,-1.48,-0.5,-0.76,0.38,0.37,38.73,45.01,35.83,38.07,59.27,59.21,62.42,62.41,33.76,31.26,32.84,31.24,55.47,55.04,54.81,54.41,625.19,700.07,634.59,707.48,156.66,157.83,2.1,1.63,87.3,87.21,11.47,12.8,12.04,14.01,48.75,48.79,49.95,49.94,1.76,1.78,2.47,2.76,0.68,0.63
停机→重载牵引,1235,7.53,0.57,0.62,0.58,0.64,2.01,1.98,2.01,1.98,0.52,0.58,0.58,0.62,0.9,0.94,1.07,1.09,1.32,1.3,2.57,3.05,-0.02,-0.03,80.77,80.88,2.6,2.56,2.4,2.43,3.39,3.3,3.12,3.12,0.74,0.75,51.94,57.08,54.85,59.54,64.27,64.34,68.67,68.76,51.65,61.01,51.81,61.08,61.25,60.91,60.68,60.29,666.13,703.22,673.84,710.77,164.57,164.99,4.82,5.17,112.61,113.02,12.2,13.27,12.49,13.51,49.04,48.96,50.6,50.57,2.01,2.16,2.33,2.52,0.53,0.52
待机→停机,420,15.17,0.52,0.48,0.53,0.48,2.3,2.2,2.38,2.31,1.62,1.33,1.73,1.43,1.82,1.61,1.94,1.73,2.26,2.14,2.36,1.79,0.0,-0.0,79.24,79.26,2.52,2.49,2.16,2.18,2.08,1.98,0.81,0.88,0.52,0.51,45.32,39.7,46.17,43.17,59.32,59.06,63.58,63.24,57.15,45.49,57.01,45.39,57.34,57.07,56.92,56.65,541.55,557.04,545.53,561.66,158.81,158.14,5.19,4.73,127.76,127.95,10.61,10.42,10.76,10.6,48.06,47.87,49.28,49.1,1.73,1.71,2.06,2.03,0.53,0.54
待机→空载牵引,34,1.15,0.84,0.86,0.84,0.86,1.92,1.9,1.81,1.8,1.28,1.32,1.36,1.5,1.27,1.29,1.51,1.53,1.11,1.13,3.23,2.74,-0.03,-0.08,53.41,53.71,2.53,2.42,2.69,2.76,3.01,2.69,7.02,6.89,0.75,0.76,68.06,68.24,66.59,69.83,66.41,66.45,72.88,72.86,82.92,74.16,83.79,76.12,65.88,66.0,65.29,65.39,766.53,800.06,776.35,810.06,109.0,109.57,11.18,11.59,103.79,103.97,16.07,17.08,16.9,18.01,51.9,51.95,53.01,53.05,2.48,2.76,3.48,3.62,0.77,0.71
待机→重载牵引,974,6.86,0.91,0.93,0.91,0.93,1.95,1.94,1.92,1.9,0.98,1.01,1.21,1.21,1.24,1.27,1.58,1.6,1.21,1.2,4.2,4.41,0.02,-0.0,78.21,78.2,2.71,2.66,2.41,2.44,5.3,5.04,3.13,3.06,0.78,0.79,77.94,79.86,80.65,81.74,66.67,66.73,71.92,72.01,95.6,99.71,95.77,100.01,64.87,64.97,64.4,64.49,824.23,835.74,829.85,841.25,159.84,159.88,7.86,8.08,112.03,112.15,17.14,17.48,17.26,17.68,50.57,50.62,52.15,52.22,2.76,2.79,3.11,3.19,0.49,0.49
空载牵引→停机,61,10.02,0.75,0.67,0.74,0.66,1.9,1.93,1.88,1.9,1.04,0.86,1.22,1.03,1.2,1.09,1.45,1.32,1.2,1.22,3.01,2.51,0.03,0.02,81.39,81.31,2.76,2.71,2.05,2.08,3.87,3.65,-0.35,-0.13,0.65,0.64,65.3,60.96,67.97,56.41,62.9,62.76,67.87,67.68,75.04,62.08,75.37,62.03,60.63,60.58,60.1,60.07,794.98,789.7,801.05,796.16,166.53,166.31,4.81,4.67,104.71,104.68,16.24,15.29,16.04,14.9,49.99,49.95,51.47,51.42,2.55,2.48,2.77,2.59,0.51,0.52
空载牵引→待机,35,1.66,0.96,0.94,0.95,0.93,2.0,2.02,1.87,1.93,1.08,1.1,1.42,1.61,1.18,1.22,1.5,1.53,1.07,1.11,4.69,3.57,0.03,0.02,89.25,89.13,2.86,2.83,2.42,2.41,5.16,5.35,5.85,5.32,0.71,0.71,81.24,74.94,86.35,80.53,69.51,69.45,75.07,75.08,93.98,83.87,95.75,83.82,67.66,67.68,66.95,66.99,830.23,834.0,839.31,844.0,182.82,182.55,9.15,9.02,100.16,100.25,17.86,17.21,17.55,17.3,51.59,51.65,53.21,53.28,2.89,2.75,3.23,3.15,0.76,0.73
空载牵引→重载牵引,313,8.05,0.95,0.97,0.96,0.97,1.94,1.95,1.91,1.91,1.06,1.09,1.37,1.4,1.28,1.29,1.61,1.63,1.31,1.32,4.54,4.73,0.01,0.01,83.43,83.31,2.94,2.91,2.41,2.39,7.28,7.27,4.77,4.06,0.74,0.75,80.47,82.22,91.81,91.74,67.54,67.59,72.98,73.12,95.16,99.42,95.15,99.83,65.5,65.74,65.05,65.29,848.34,855.8,855.05,862.35,170.84,170.59,6.75,7.0,114.93,114.93,17.67,17.92,18.23,18.45,50.86,50.96,52.45,52.55,2.9,3.0,3.4,3.43,0.75,0.73
重载牵引→停机,1083,5.69,0.89,0.79,0.89,0.8,1.91,2.05,1.92,2.06,0.93,0.75,1.01,0.82,1.26,1.13,1.55,1.39,1.34,1.38,5.23,4.28,-0.04,-0.03,82.45,82.62,2.49,2.52,2.52,2.48,3.25,3.14,3.43,3.4,0.78,0.77,80.5,70.36,81.95,72.49,65.65,65.74,70.43,70.49,102.2,83.7,102.71,84.07,63.13,63.23,62.7,62.8,824.69,816.89,829.46,822.45,168.34,168.73,7.52,6.6,116.9,116.97,17.17,15.52,17.49,15.93,50.03,50.09,51.59,51.65,2.77,2.5,3.24,3.01,0.58,0.56
