切换类型,切换次数,平均持续帧数,采煤机_截割部位_右滚筒_运行状态_切换前均值,采煤机_截割部位_右滚筒_运行状态_切换后均值,采煤机_截割部位_左滚筒_运行状态_切换前均值,采煤机_截割部位_左滚筒_运行状态_切换后均值,采煤机_截割部位_右滚筒_电机_运行状态_切换前均值,采煤机_截割部位_右滚筒_电机_运行状态_切换后均值,采煤机_截割部位_左滚筒_电机_运行状态_切换前均值,采煤机_截割部位_左滚筒_电机_运行状态_切换后均值,采煤机_牵引部位_右电机_运行状态_切换前均值,采煤机_牵引部位_右电机_运行状态_切换后均值,采煤机_牵引部位_左电机_运行状态_切换前均值,采煤机_牵引部位_左电机_运行状态_切换后均值,采煤机_油泵_右电机_运行状态_切换前均值,采煤机_油泵_右电机_运行状态_切换后均值,采煤机_油泵_左电机_运行状态_切换前均值,采煤机_油泵_左电机_运行状态_切换后均值,采煤机_破碎机_电机_运行状态_切换前均值,采煤机_破碎机_电机_运行状态_切换后均值,采煤机_牵引部位_采煤机速度_切换前均值,采煤机_牵引部位_采煤机速度_切换后均值,采煤机_牵引部位_方向_切换前均值,采煤机_牵引部位_方向_切换后均值,采煤机_牵引部位_位置架号_切换前均值,采煤机_牵引部位_位置架号_切换后均值,采煤机_截割部位_右滚筒_高度_切换前均值,采煤机_截割部位_右滚筒_高度_切换后均值,采煤机_截割部位_左滚筒_高度_切换前均值,采煤机_截割部位_左滚筒_高度_切换后均值,采煤机_截割部位_右摇臂_角度_切换前均值,采煤机_截割部位_右摇臂_角度_切换后均值,采煤机_截割部位_左摇臂_角度_切换前均值,采煤机_截割部位_左摇臂_角度_切换后均值,采煤机_牵引部位_记忆割煤状态_切换前均值,采煤机_牵引部位_记忆割煤状态_切换后均值,采煤机_截割部位_右滚筒_电机_电流_切换前均值,采煤机_截割部位_右滚筒_电机_电流_切换后均值,采煤机_截割部位_左滚筒_电机_电流_切换前均值,采煤机_截割部位_左滚筒_电机_电流_切换后均值,采煤机_截割部位_右滚筒_电机_温度_切换前均值,采煤机_截割部位_右滚筒_电机_温度_切换后均值,采煤机_截割部位_左滚筒_电机_温度_切换前均值,采煤机_截割部位_左滚筒_电机_温度_切换后均值,采煤机_牵引部位_右电机_电流_切换前均值,采煤机_牵引部位_右电机_电流_切换后均值,采煤机_牵引部位_左电机_电流_切换前均值,采煤机_牵引部位_左电机_电流_切换后均值,采煤机_牵引部位_右电机_温度_切换前均值,采煤机_牵引部位_右电机_温度_切换后均值,采煤机_牵引部位_左电机_温度_切换前均值,采煤机_牵引部位_左电机_温度_切换后均值,采煤机_牵引部位_右电机_电压_切换前均值,采煤机_牵引部位_右电机_电压_切换后均值,采煤机_牵引部位_左电机_电压_切换前均值,采煤机_牵引部位_左电机_电压_切换后均值,采煤机_牵引部位_位置米数_切换前均值,采煤机_牵引部位_位置米数_切换后均值,采煤机_破碎机_电机_电流_切换前均值,采煤机_破碎机_电机_电流_切换后均值,采煤机_破碎机_电机_温度_切换前均值,采煤机_破碎机_电机_温度_切换后均值,采煤机_油泵_右电机_电流_切换前均值,采煤机_油泵_右电机_电流_切换后均值,采煤机_油泵_左电机_电流_切换前均值,采煤机_油泵_左电机_电流_切换后均值,采煤机_油泵_右电机_温度_切换前均值,采煤机_油泵_右电机_温度_切换后均值,采煤机_油泵_左电机_温度_切换前均值,采煤机_油泵_左电机_温度_切换后均值,采煤机_油泵_右油箱_油压_切换前均值,采煤机_油泵_右油箱_油压_切换后均值,采煤机_油泵_左油箱_油压_切换前均值,采煤机_油泵_左油箱_油压_切换后均值,采煤机_采煤机倾角_俯仰角_切换前均值,采煤机_采煤机倾角_俯仰角_切换后均值
割煤中→待机,631,11.29,0.86,0.78,0.87,0.79,1.94,2.05,1.94,2.04,0.89,0.81,0.97,0.89,1.22,1.12,1.47,1.35,1.27,1.31,5.19,4.7,-0.1,-0.09,83.12,83.53,2.28,2.29,2.73,2.7,2.42,2.26,4.17,4.1,0.79,0.78,78.93,71.67,77.73,70.86,65.9,66.02,70.4,70.46,97.1,88.08,97.56,88.47,63.21,63.27,62.72,62.79,805.59,793.19,811.71,800.17,169.57,170.48,6.62,6.03,106.82,106.96,16.63,15.21,16.87,15.49,49.95,50.0,51.6,51.65,2.74,2.51,3.11,2.89,0.59,0.59
割煤中→正常运行,2230,1.65,0.9,0.91,0.9,0.91,1.95,1.95,1.92,1.92,0.93,0.94,1.07,1.1,1.22,1.23,1.54,1.56,1.26,1.26,5.35,4.87,0.06,0.05,80.96,80.77,2.83,2.85,2.27,2.27,5.62,5.71,2.57,2.61,0.81,0.81,81.47,81.11,86.6,85.49,66.44,66.52,71.84,71.96,104.0,100.74,104.08,101.04,64.35,64.51,63.94,64.11,812.31,821.92,818.32,827.65,165.72,165.34,7.58,7.77,113.06,113.16,16.96,17.14,16.95,17.22,50.35,50.41,51.91,51.97,2.79,2.81,3.06,3.13,0.52,0.52
割煤中→空载牵引,8,2.75,0.9,0.82,0.9,0.82,1.8,2.38,1.79,2.39,0.75,0.8,1.09,1.2,1.18,1.16,1.46,1.41,0.84,1.14,6.03,5.76,0.09,0.06,118.52,117.93,3.08,3.24,2.04,1.93,10.31,10.55,5.68,5.24,0.71,0.72,81.94,75.94,112.32,101.74,59.84,60.56,65.09,66.01,111.35,104.6,113.2,106.74,57.84,58.52,57.1,57.84,849.62,863.12,777.12,801.88,221.75,223.15,3.68,3.68,127.96,136.16,21.19,19.94,17.59,16.06,45.14,45.74,46.06,46.64,3.11,3.06,2.99,2.68,1.0,0.95
待机→割煤中,638,6.6,0.55,0.58,0.56,0.59,2.03,2.02,2.01,1.99,0.62,0.64,0.7,0.71,0.89,0.88,1.06,1.04,1.22,1.21,3.24,3.48,-0.05,-0.06,81.84,82.08,2.45,2.43,2.54,2.57,3.05,2.97,3.48,3.51,0.73,0.74,49.75,51.91,51.82,54.17,64.23,64.24,68.34,68.33,60.91,65.01,61.2,65.13,61.04,60.77,60.46,60.16,633.7,651.24,642.39,659.66,166.91,167.47,4.31,4.43,105.05,105.1,11.6,12.16,11.77,12.28,48.91,48.8,50.45,50.37,1.96,2.04,2.23,2.31,0.55,0.55
待机→正常运行,357,1.37,0.46,0.47,0.46,0.49,1.97,1.96,2.04,2.03,0.7,0.65,0.78,0.71,0.93,0.92,1.07,1.04,1.43,1.42,2.39,2.05,-0.04,-0.03,79.11,79.25,2.5,2.5,2.39,2.39,2.38,2.23,3.25,3.27,0.63,0.63,43.23,49.8,40.73,46.08,61.39,61.4,65.43,65.34,50.39,45.1,50.8,45.57,58.51,58.3,57.94,57.7,528.26,561.11,536.71,569.24,157.69,158.57,4.06,4.05,116.33,116.33,9.48,10.13,9.75,10.43,47.71,47.66,49.14,49.11,1.56,1.68,1.89,2.03,0.55,0.55
待机→空载牵引,57,1.3,0.14,0.11,0.12,0.1,1.4,1.34,1.81,1.77,0.75,0.77,0.75,0.77,1.01,1.04,1.07,1.09,2.02,2.04,0.72,0.81,-0.04,-0.04,71.43,71.49,2.23,2.26,2.01,2.03,-1.18,-1.22,-0.56,-0.47,0.25,0.24,10.6,8.7,9.4,8.17,51.01,51.1,54.0,54.03,26.59,31.51,26.18,31.63,50.49,50.57,50.04,50.13,440.11,491.56,446.91,498.6,132.07,133.39,0.95,0.9,169.48,172.91,7.95,9.25,8.14,9.52,46.9,47.19,47.93,48.23,1.24,1.4,1.59,1.86,0.43,0.44
正常运行→割煤中,2223,6.13,0.87,0.89,0.88,0.89,1.95,1.94,1.93,1.93,0.9,0.91,1.04,1.05,1.19,1.21,1.51,1.53,1.27,1.28,4.45,4.62,0.04,0.03,81.17,81.05,2.81,2.79,2.3,2.31,5.4,5.37,2.86,2.8,0.8,0.8,78.14,79.63,82.45,83.7,66.31,66.39,71.6,71.7,93.58,96.46,93.92,96.82,64.12,64.19,63.69,63.76,802.23,810.52,808.23,816.4,166.05,165.81,7.45,7.65,113.61,113.7,16.56,16.8,16.72,16.96,50.24,50.29,51.82,51.88,2.71,2.75,3.05,3.08,0.54,0.54
正常运行→待机,364,16.99,0.75,0.68,0.76,0.68,1.97,2.02,1.96,2.02,0.88,0.81,1.01,0.92,1.19,1.1,1.44,1.32,1.35,1.34,3.52,3.13,0.04,0.04,76.06,75.94,2.74,2.73,2.2,2.21,4.22,4.09,1.79,1.92,0.68,0.68,71.18,64.0,68.32,62.21,62.91,63.01,67.88,67.9,75.92,68.03,76.26,68.31,60.84,60.8,60.39,60.34,720.48,709.86,726.37,716.71,152.91,153.08,6.5,5.92,113.61,113.72,14.39,13.34,14.52,13.51,48.93,48.96,50.22,50.25,2.34,2.18,2.69,2.5,0.47,0.48
正常运行→空载牵引,1,1.0,0.9,0.8,0.8,0.7,2.0,2.0,2.0,2.0,0.7,0.8,0.7,0.8,1.3,1.3,0.9,0.9,0.5,0.4,2.73,2.8,-0.2,-0.3,92.9,93.7,1.17,1.17,2.69,2.72,-6.0,-6.0,-5.5,-5.1,0.2,0.2,102.4,96.0,91.8,85.0,69.2,69.2,73.0,72.9,71.5,75.0,73.4,77.8,62.7,62.3,62.4,62.0,844.0,839.0,845.0,844.0,190.39,191.94,16.4,11.6,60.9,61.5,15.5,15.7,31.5,31.4,49.0,49.0,55.1,55.3,2.08,2.08,8.46,8.92,0.31,0.25
空载牵引→割煤中,9,4.56,0.62,0.66,0.62,0.64,2.1,2.12,2.07,2.09,0.74,0.78,1.03,1.06,1.02,1.06,1.14,1.16,1.41,1.43,3.67,4.12,-0.06,-0.06,111.18,111.59,2.01,2.12,3.48,3.35,4.77,5.2,9.82,8.98,0.69,0.68,63.29,65.17,75.46,76.99,65.12,65.24,69.04,69.16,76.61,81.27,76.58,80.7,61.79,61.7,61.18,61.08,735.11,751.44,745.89,762.89,227.94,228.8,4.56,5.0,110.86,111.0,14.0,14.43,15.63,16.03,51.3,51.27,53.52,53.48,2.4,2.56,3.06,3.21,1.11,1.12
