列名,总数,有效数,野值数,野值占比%,方法,下限,上限
三机_转载机_运行状态,87337,87256,73,0.084,both,-0.9248,2.156
三机_转载机_变频器_运行状态,87337,87329,0,0.0,both,-0.8807,2.0669
三机_转载机_电机_电流,87337,87299,30,0.034,both,-80.5302,183.4613
三机_转载机_电机_转速,87337,87329,0,0.0,both,-1061.634,2369.1282
三机_转载机_电机_转矩,87337,87270,59,0.068,both,-30.3797,63.9173
三机_转载机_链条速度,87337,87329,0,0.0,both,-1656.1564,3696.4623
三机_转载机_变频器_IGBT1温度,87337,86784,553,0.633,both,17.7374,65.7625
三机_转载机_变频器_IGBT2温度,87337,86781,553,0.633,both,18.8067,64.5443
三机_转载机_变频器_母线电压,87337,87337,0,0.0,both,-3405.167,9017.9154
三机_转载机_变频器_腔体温度,87337,86784,553,0.633,both,22.1885,71.2483
三机_转载机_减速器_油箱_油温,87337,87335,1,0.001,both,25.3239,89.4483
三机_转载机_减速器_油箱_油位,87337,79939,7398,8.471,both,156.5,400.5
三机_转载机_减速器_冷却水_温度,87337,86871,464,0.531,both,21.3664,56.8999
三机_转载机_减速器_冷却水_压力,87337,87330,0,0.0,both,-0.1494,0.384
三机_转载机_减速器_冷却水_流量,87337,87335,0,0.0,both,-25.5661,92.2542
