,PC1,PC2,PC3,PC4
采煤机_截割部位_右滚筒_电机_温度_RMS,0.0036001195031718203,0.036053993551320565,0.05737370703035709,-0.014076631590830955
采煤机_截割部位_右滚筒_电机_电流_RMS,-0.053620821269166494,0.9218935146591745,-0.38133228781637696,-0.012375407545859578
采煤机_截割部位_左滚筒_电机_温度_RMS,0.005011866931967758,0.04751032903734986,0.06501703660560325,-0.0015215621543200567
采煤机_截割部位_左滚筒_电机_电流_RMS,-0.004166220364898271,0.21475360101892577,0.5002290213789132,0.8351674158472544
采煤机_油泵_右电机_温度_RMS,0.0053396357489614585,0.018057798945115028,0.023556917489176925,-0.003118075859119667
采煤机_油泵_右电机_电流_RMS,0.0008887216109587993,0.03946684442320029,0.07003515630776731,-0.03415705885555379
采煤机_油泵_左电机_温度_RMS,0.0038331412877867367,0.0183457337130898,0.02799385111721535,-0.0023544912086100093
采煤机_油泵_左电机_电流_RMS,-0.0001536533720599172,0.03876072079571792,0.06756908691602487,-0.008004214266886295
采煤机_牵引部位_右电机_温度_RMS,0.00264234972320041,0.04676983142929197,0.0615882374840039,-0.02017158827676548
采煤机_牵引部位_右电机_电流_RMS,-0.0009731512993471094,0.21071344672637787,0.5355481331147449,-0.3851524954621725
采煤机_牵引部位_左电机_温度_RMS,0.0027707466488419864,0.04821092666812751,0.06168427581990744,-0.019669208038247794
采煤机_牵引部位_左电机_电流_RMS,0.0005629552706877869,0.21233927547191925,0.5384149449223717,-0.38739522674652205
采煤机_破碎机_电机_温度_RMS,0.9984746583908645,0.04978280544052977,-0.019048272755590623,0.0026588159439403427
采煤机_破碎机_电机_电流_RMS,-0.007595681075939908,0.015080730139352086,0.03652010026256293,-0.030594696269964493
采煤机_截割部位_右滚筒_电机_温度_斜率,-1.1327517760940149e-05,0.0006388000455217781,0.0005947883708604196,-0.0009997422671196158
采煤机_截割部位_右滚筒_电机_电流_斜率,-0.0001127677456719309,0.0007197187511686186,-0.0007720967762219978,0.00922062675425859
采煤机_截割部位_左滚筒_电机_温度_斜率,-1.6093206125844464e-05,0.0005660092308174697,0.0012016953676154702,0.0018454978514714142
采煤机_截割部位_左滚筒_电机_电流_斜率,-0.00010559830674556363,0.00020746798395754435,-0.0015282560610318339,0.016285369734041055
采煤机_油泵_右电机_温度_斜率,-5.898316788173203e-06,0.0003676913638579577,0.0006750831379042038,-0.00041878973124784665
采煤机_油泵_右电机_电流_斜率,-1.812334611902221e-05,4.5667164693801506e-05,-0.0002479436011265443,0.0016647983405138162
采煤机_油泵_左电机_温度_斜率,-4.3416100010428855e-06,0.0003364466261510976,0.0005995811206605762,-0.0003837066943057366
采煤机_油泵_左电机_电流_斜率,-2.608417118942645e-05,7.860039016158102e-05,-0.0003504653410258826,0.0013938154352517065
采煤机_牵引部位_右电机_温度_斜率,-1.918391259295027e-05,0.000877166678365175,0.0017741329584174727,-0.002082666233089095
采煤机_牵引部位_右电机_电流_斜率,-0.00015207735660388425,0.0008986846901520014,9.325613299356828e-05,0.013538132193902697
采煤机_牵引部位_左电机_温度_斜率,-2.099899693975849e-05,0.000927123932527182,0.0018892576401340854,-0.0021541748544161104
采煤机_牵引部位_左电机_电流_斜率,-0.00015191634747533213,0.0008926261477878862,6.0599053222575664e-06,0.013509378515918971
采煤机_破碎机_电机_温度_斜率,-7.72232838304477e-06,0.0003666807250819449,0.000684714024050951,-0.0008213368400862858
采煤机_破碎机_电机_电流_斜率,-7.486572394098092e-05,0.00010770846813875028,0.00039901133236770406,0.0013142567310512998
右滚筒_电机_左右电流,6.804109980386875e-05,0.00027039271659257764,0.0008183415434102163,-0.0010605968729969517
右滚筒_电机_电流温度,2.6618429893532236e-05,-0.00018459856697777052,3.0215459071652133e-05,0.0005207180502153653
左滚筒_电机_电流温度,-2.0593016058042785e-05,-9.878902054722255e-05,-0.0003351908789215951,-0.000970569018858833
牵引部位_右电机_左右电流,3.318699846641213e-05,0.0012774143821604551,0.003171904677938197,-0.001359596419565377
牵引部位_右电机_电流温度,-3.141270705405717e-05,-0.00021858971217648854,-0.000528373164585183,0.0001038143434449158
右电机_电流速度,2.0173482431157592e-05,0.0006774733062829685,0.0016906330781036477,-0.0002666231771498494
牵引部位_左电机_电流温度,-1.9763895241116865e-05,-0.00022155134126300706,-0.0005247046538562843,0.0001862081407310842
左电机_电流速度,3.218286250568673e-05,0.0006705186096678216,0.001673773782289651,-0.0003096591785802736
破碎机_电机_电流温度,-2.165129093140572e-05,1.0494578180682528e-05,-2.1217193019437327e-06,8.301613184455449e-05
油泵_右电机_左右电流,5.5574979752713225e-05,5.7894872804746186e-05,0.00025090855090992997,6.734726058635796e-05
油泵_右电机_电流温度,6.095985251561883e-06,2.0116477227626566e-05,-2.218432098302804e-05,-0.00014873814373002326
油泵_左电机_电流温度,-3.0129006459086462e-06,-7.591959503213931e-06,-3.176604393661645e-05,-4.3447016341986926e-05
油压电流,-1.584586856035841e-05,0.0004079197021392726,0.0011357842698168264,-0.0002756915522802619
