,PC1,PC2,PC3,PC4
采煤机_截割部位_右滚筒_电机_温度_RMS,0.003599914149685384,0.03606350043846869,0.05736016910055827,-0.014083246720289048
采煤机_截割部位_右滚筒_电机_电流_RMS,-0.05362255810242807,0.9217894984100149,-0.3815770121989724,-0.012367094334816964
采煤机_截割部位_左滚筒_电机_温度_RMS,0.0050116248916485286,0.047520479471756354,0.0649983149425202,-0.0015276151961958584
采煤机_截割部位_左滚筒_电机_电流_RMS,-0.004167489497555236,0.21482193695743815,0.5000718411319791,0.8352149481556507
采煤机_油泵_右油箱_油压_RMS,-8.258183361942394e-05,0.006365475637197016,0.011418775129752928,-0.0033876144266479897
采煤机_油泵_右电机_温度_RMS,0.005339536054124613,0.01806215091732499,0.02355246022817183,-0.0031253683604379866
采煤机_油泵_右电机_电流_RMS,0.0008884839673265751,0.03947937869883498,0.07002242138660558,-0.034162784027357576
采煤机_油泵_左油箱_油压_RMS,-0.0002948625698320245,0.006995600905112053,0.012616917302075422,-0.0024732376746288147
采煤机_油泵_左电机_温度_RMS,0.0038330301196708954,0.01835093324468033,0.027989167845127432,-0.0023619615993821634
采煤机_油泵_左电机_电流_RMS,-0.00015392759290961883,0.03877399960849043,0.0675609652133867,-0.008013406898230942
采煤机_牵引部位_右电机_温度_RMS,0.0026421145657955863,0.046779386971119295,0.06157004834487986,-0.020176514679050944
采煤机_牵引部位_右电机_电流_RMS,-0.0009745221880450317,0.2107924604690106,0.5354059738567363,-0.38508966010298035
采煤机_牵引部位_左电机_温度_RMS,0.0027705080615812237,0.04822042303296791,0.06166556075660863,-0.01967396146070632
采煤机_牵引部位_左电机_电流_RMS,0.0005615783207850245,0.21241855103441426,0.538271332361307,-0.38733107869267064
采煤机_破碎机_电机_温度_RMS,0.9984745158377143,0.04978251828941609,-0.019055674486210063,0.0026585911818892234
采煤机_破碎机_电机_电流_RMS,-0.007595788571739445,0.015086662178341037,0.03651237124626484,-0.0305932313420184
采煤机_截割部位_右滚筒_电机_温度_斜率,-1.1330320030861893e-05,0.0006388872929089568,0.0005945614555489617,-0.000999682373149112
采煤机_截割部位_右滚筒_电机_电流_斜率,-0.00011276608626799691,0.0007194930702844244,-0.0007725086495827268,0.009221480579649373
采煤机_截割部位_左滚筒_电机_温度_斜率,-1.609671223673782e-05,0.0005661912736031593,0.001201371257706313,0.0018455905321218343
采煤机_截割部位_左滚筒_电机_电流_斜率,-0.0001056002088759584,0.0002073103399646194,-0.0015277872765709368,0.016285522770117265
采煤机_油泵_右油箱_油压_斜率,-3.452308173775779e-06,1.9163796858808197e-06,-2.982579027840057e-05,0.0003864207481964845
采煤机_油泵_右电机_温度_斜率,-5.90103329607632e-06,0.00036785527923531965,0.0006751155421125338,-0.00041903958839004606
采煤机_油泵_右电机_电流_斜率,-1.812341517052962e-05,4.564490262625632e-05,-0.00024786264704932266,0.0016649853926412022
采煤机_油泵_左油箱_油压_斜率,-4.788721076155534e-06,2.2726814451341867e-05,-6.27843910066356e-05,0.00014487222568629858
采煤机_油泵_左电机_温度_斜率,-4.3447307464092664e-06,0.0003366078930455352,0.0005996650102555845,-0.00038394051390191943
采煤机_油泵_左电机_电流_斜率,-2.6084579408408784e-05,7.85781791055506e-05,-0.00035032301839110476,0.0013938536039942516
采煤机_牵引部位_右电机_温度_斜率,-1.9188554705967913e-05,0.0008774005091929809,0.0017735311420008094,-0.00208228566110405
采煤机_牵引部位_右电机_电流_斜率,-0.00015208207727604724,0.0008988260699304965,9.349105844041336e-05,0.013538177491718685
采煤机_牵引部位_左电机_温度_斜率,-2.1003853115215795e-05,0.0009273700057919114,0.0018886072235906937,-0.0021537576306549814
采煤机_牵引部位_左电机_电流_斜率,-0.00015192090597510846,0.0008927548811742701,6.313974166664661e-06,0.013509415198493947
采煤机_破碎机_电机_温度_斜率,-7.725244454162338e-06,0.0003668373876943276,0.0006847147659610232,-0.000821485485131286
采煤机_破碎机_电机_电流_斜率,-7.486651480956952e-05,0.00010775976882154385,0.0003988806804680718,0.001314386809867426
右滚筒_电机_左右电流,6.803869226450013e-05,0.000270539899720265,0.0008182287367883791,-0.0010606137737410495
右滚筒_电机_电流温度,2.661865976646228e-05,-0.0001845741659953673,3.0310160171582106e-05,0.0005206447009720698
左滚筒_电机_电流温度,-2.0592559363656172e-05,-9.882048454077016e-05,-0.0003350402757059502,-0.0009706671509440498
牵引部位_右电机_左右电流,3.317739664583435e-05,0.0012779705404178188,0.003171373153335919,-0.001359685691672391
牵引部位_右电机_电流温度,-3.14111577836102e-05,-0.00021867444071896238,-0.0005282549938976573,0.0001037925265845887
右电机_电流速度,2.0168122801033056e-05,0.0006777826203407857,0.0016903960812956812,-0.00026674407888369007
牵引部位_左电机_电流温度,-1.9762383601652902e-05,-0.00022163502582076315,-0.0005245851387151864,0.0001861875140599489
左电机_电流速度,3.217757212291332e-05,0.0006708246191228073,0.0016735383122279234,-0.00030977782805343985
破碎机_电机_电流温度,-2.165124817910006e-05,1.049226877584405e-05,-2.130024762551252e-06,8.301298780794658e-05
油泵_右电机_左右电流,5.5574147924468715e-05,5.795539848451128e-05,0.00025093280223725096,6.72434272333155e-05
油泵_右电机_电流温度,6.096322889001519e-06,2.007157890149993e-05,-2.233167115586305e-05,-0.00014851582772883504
油泵_左电机_电流温度,-3.0119208988479784e-06,-7.644910492301776e-06,-3.193107454355373e-05,-4.3252567589869865e-05
油压电流,-1.5851397401389432e-05,0.0004082369031330891,0.001136024966020603,-0.000276207749336818
