,PC1,PC2,PC3,PC4
采煤机_截割部位_右滚筒_电机_温度_RMS,0.013817388330660707,0.002097294703102862,-0.009539664866759431,0.03487917223825049
采煤机_截割部位_右滚筒_电机_电流_RMS,0.09568945431548581,-0.055909823298365566,0.9730003206927671,0.14056916016924229
采煤机_截割部位_左滚筒_电机_温度_RMS,0.016369661702806307,0.004023346154757166,-0.0017844755822664755,0.0199080492789686
采煤机_截割部位_左滚筒_电机_电流_RMS,0.07693097581771509,-0.0071458799468394,-0.06693356055021323,0.016388487282160885
采煤机_油泵_右电机_温度_RMS,0.006998919759581272,0.004454449561605071,-0.0040394421247801635,0.022245702559170476
采煤机_油泵_右电机_电流_RMS,0.014868513316110558,0.0006819124741362979,-0.004915621748209938,-0.0074241171083639
采煤机_油泵_左电机_温度_RMS,0.007639555056740597,0.00284253560256892,-0.0067094247156295325,0.02451634399426148
采煤机_油泵_左电机_电流_RMS,0.015207893535026669,-0.000534479721453233,-0.006593961133087316,-0.0011174799757627625
采煤机_牵引部位_位置米数_RMS,-0.00285749687232958,-0.10087989924480817,-0.1488257755621135,0.97608755679654
采煤机_牵引部位_右电机_温度_RMS,0.01581818552661088,0.0015333297723822545,-0.0010008506430591643,0.023533644618502048
采煤机_牵引部位_右电机_电压_RMS,0.6925063218562696,-0.0019463555355844339,-0.031412623804803946,-0.06744285390702932
采煤机_牵引部位_右电机_电流_RMS,0.0868147470113312,-0.002425438962843788,-0.09465116267308808,-0.043664579785862495
采煤机_牵引部位_左电机_温度_RMS,0.01602948714625773,0.0016679076424433008,0.00023035580861059378,0.023354702331582676
采煤机_牵引部位_左电机_电压_RMS,0.6989870361898757,-0.0009584363725561818,-0.07175404225944569,0.05715519157531879
采煤机_牵引部位_左电机_电流_RMS,0.0869663217670965,-0.000899664557018518,-0.09387890332237364,-0.04418857114792656
采煤机_牵引部位_采煤机速度_RMS,0.005030475217760091,-0.000158411782440808,-0.0053843478581433145,-0.0004816210264784808
采煤机_破碎机_电机_温度_RMS,0.007827293458322568,0.993238161153516,0.038823393103440684,0.10641530827851144
采煤机_破碎机_电机_电流_RMS,0.006727712097518271,-0.007251366444734286,-0.005614584110665088,-0.014924645676524326
采煤机_截割部位_右滚筒_电机_温度_斜率,0.00018640602169901503,-8.962235431083779e-06,0.0002380055864082665,-0.00020725443847558354
