事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
0,2024-04-01 00:52:00,2024-04-01 00:55:00,4.0,待机,单变量IQR+3σ; 残差,3.469,54,残差异常：采煤机_截割部位_左滚筒_电机_温度 偏高（残差 Z-score=3.5，实际=62.0 vs 预测=53.0）
1,2024-04-01 00:58:00,2024-04-01 00:59:00,2.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ,1.408,32,正常
2,2024-04-01 01:01:00,2024-04-01 01:04:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ,2070.597,64,Mahalanobis 距离=2070.6（阈值=18.5）。主要贡献特征：PC2 (69.4%); PC3 (30.4%)。
3,2024-04-01 01:38:00,2024-04-01 01:38:00,1.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,13.281,30,正常
4,2024-04-01 04:37:00,2024-04-01 04:43:00,7.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.101,154,正常
5,2024-04-01 04:45:00,2024-04-01 04:50:00,6.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.585,152,正常
6,2024-04-01 04:52:00,2024-04-01 04:52:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.575,30,正常
7,2024-04-01 04:54:00,2024-04-01 04:59:00,6.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.31,180,正常
8,2024-04-01 05:01:00,2024-04-01 05:01:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.466,30,正常
9,2024-04-01 05:03:00,2024-04-01 05:04:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.374,60,正常
10,2024-04-01 05:19:00,2024-04-01 05:19:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.247,30,正常
11,2024-04-01 05:21:00,2024-04-01 05:21:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.597,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.6，实际=44.0 vs 预测=17.4）
12,2024-04-01 05:24:00,2024-04-01 05:24:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.716,30,正常
13,2024-04-01 05:29:00,2024-04-01 05:29:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.159,30,正常
14,2024-04-01 05:37:00,2024-04-01 05:37:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.796,30,正常
15,2024-04-01 05:40:00,2024-04-01 05:40:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.92,30,正常
16,2024-04-01 05:42:00,2024-04-01 05:42:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.226,30,正常
17,2024-04-01 05:44:00,2024-04-01 05:44:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.979,30,正常
18,2024-04-01 05:51:00,2024-04-01 05:51:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.096,30,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=4.1，实际=48.0 vs 预测=0.0）
19,2024-04-01 05:53:00,2024-04-01 05:53:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.03,30,正常
20,2024-04-01 06:09:00,2024-04-01 06:09:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.767,30,正常
21,2024-04-01 06:18:00,2024-04-01 06:18:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.714,30,正常
22,2024-04-01 06:20:00,2024-04-01 06:20:00,1.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.607,30,正常
23,2024-04-01 06:24:00,2024-04-01 06:25:00,2.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.588,60,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=6.6，实际=91.0 vs 预测=13.8）
