事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
0,2024-04-01 00:12:00,2024-04-01 00:53:00,42.0,停机,单变量IQR+3σ; 残差,0.297,900,正常
1,2024-04-01 00:55:00,2024-04-01 01:38:00,44.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2254.775,1440,Mahalanobis 距离=2254.8（阈值=18.5）。主要贡献特征：PC2 (72.6%); PC3 (26.9%)。
2,2024-04-01 04:37:00,2024-04-01 05:00:00,24.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.745,816,单变量异常：采煤机_油泵_右电机_电流（z-score=6.7，实际=63.0，均值=18.3±6.6）
3,2024-04-01 05:09:00,2024-04-01 05:09:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.623,34,残差异常：采煤机_牵引部位_左电机_电流 偏高（残差 Z-score=3.6，实际=208.0 vs 预测=40.6）
4,2024-04-01 05:15:00,2024-04-01 05:17:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.93,102,正常
5,2024-04-01 05:19:00,2024-04-01 05:19:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.016,34,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=6.0，实际=61.0 vs 预测=17.0）
6,2024-04-01 05:21:00,2024-04-01 05:21:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.048,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.0，实际=44.0 vs 预测=17.8）
7,2024-04-01 05:24:00,2024-04-01 05:24:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.292,34,正常
8,2024-04-01 05:29:00,2024-04-01 05:29:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4484.627,34,Mahalanobis 距离=4484.6（阈值=18.5）。主要贡献特征：PC2 (84.8%); PC3 (14.9%)。
9,2024-04-01 05:37:00,2024-04-01 05:40:00,4.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.047,136,正常
10,2024-04-01 05:44:00,2024-04-01 05:44:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.22,34,正常
11,2024-04-01 05:51:00,2024-04-01 05:51:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.301,34,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=4.3，实际=48.0 vs 预测=0.0）
12,2024-04-01 06:08:00,2024-04-01 06:09:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.936,68,正常
13,2024-04-01 06:20:00,2024-04-01 06:22:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.079,102,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=7.1，实际=98.0 vs 预测=19.0）
14,2024-04-01 06:24:00,2024-04-01 06:25:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.991,68,正常
15,2024-04-01 06:27:00,2024-04-01 06:28:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.25,68,正常
16,2024-04-01 06:32:00,2024-04-01 06:32:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.519,34,正常
17,2024-04-01 06:40:00,2024-04-01 06:40:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.335,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.3，实际=58.0 vs 预测=17.0）
18,2024-04-01 06:42:00,2024-04-01 06:55:00,14.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2413.127,476,Mahalanobis 距离=2413.1（阈值=18.5）。主要贡献特征：PC2 (76.6%); PC3 (23.1%)。
19,2024-04-01 07:06:00,2024-04-01 07:06:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.335,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.3，实际=58.0 vs 预测=17.0）
20,2024-04-01 07:09:00,2024-04-01 07:18:00,10.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2039.2,340,Mahalanobis 距离=2039.2（阈值=18.5）。主要贡献特征：PC2 (76.1%); PC3 (23.9%)。
21,2024-04-01 07:24:00,2024-04-01 07:30:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1184.869,238,Mahalanobis 距离=1184.9（阈值=18.5）。主要贡献特征：PC2 (69.8%); PC3 (29.2%)。
22,2024-04-01 07:34:00,2024-04-01 08:26:00,53.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1930.351,1802,Mahalanobis 距离=1930.4（阈值=18.5）。主要贡献特征：PC3 (72.2%); PC2 (27.4%)。
23,2024-04-01 08:30:00,2024-04-01 08:59:00,30.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2309.016,1020,Mahalanobis 距离=2309.0（阈值=18.5）。主要贡献特征：PC2 (56.7%); PC3 (42.5%)。
24,2024-04-01 09:04:00,2024-04-01 09:04:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.567,34,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.6，实际=50.0 vs 预测=16.6）
25,2024-04-01 09:14:00,2024-04-01 09:14:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.915,34,正常
26,2024-04-01 09:16:00,2024-04-01 09:25:00,10.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,19029.259,340,Mahalanobis 距离=19029.3（阈值=18.5）。主要贡献特征：PC2 (96.6%); PC3 (3.3%)。
27,2024-04-01 11:22:00,2024-04-01 11:22:00,1.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.559,34,正常
28,2024-04-01 11:24:00,2024-04-01 11:34:00,11.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1607.36,374,Mahalanobis 距离=1607.4（阈值=18.5）。主要贡献特征：PC2 (72.0%); PC3 (27.7%)。
29,2024-04-01 11:36:00,2024-04-01 11:43:00,8.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2584.794,272,Mahalanobis 距离=2584.8（阈值=18.5）。主要贡献特征：PC2 (77.7%); PC3 (22.3%)。
30,2024-04-01 11:45:00,2024-04-01 11:46:00,2.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,19.183,68,Mahalanobis 距离=19.2（阈值=18.5）。主要贡献特征：PC3 (73.5%); PC2 (12.5%); PC1 (10.5%)。
31,2024-04-01 12:00:00,2024-04-01 13:41:00,102.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10740.909,3468,Mahalanobis 距离=10740.9（阈值=18.5）。主要贡献特征：PC4 (55.7%); PC3 (31.2%); PC2 (13.0%)。
32,2024-04-01 13:58:00,2024-04-01 13:58:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.657,34,正常
33,2024-04-01 14:09:00,2024-04-01 14:09:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.659,34,正常
34,2024-04-01 14:12:00,2024-04-01 14:16:00,5.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,20.052,170,Mahalanobis 距离=20.1（阈值=18.5）。主要贡献特征：PC2 (79.2%); PC1 (14.4%); PC3 (6.1%)。
35,2024-04-01 15:07:00,2024-04-01 15:18:00,12.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2620.392,408,Mahalanobis 距离=2620.4（阈值=18.5）。主要贡献特征：PC2 (78.3%); PC3 (21.3%)。
36,2024-04-01 15:39:00,2024-04-01 16:08:00,30.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3894.74,1020,Mahalanobis 距离=3894.7（阈值=18.5）。主要贡献特征：PC2 (80.6%); PC3 (19.3%)。
37,2024-04-01 16:17:00,2024-04-01 16:17:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.855,34,正常
38,2024-04-01 16:19:00,2024-04-01 16:20:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.846,68,正常
