事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
0,2024-04-01 00:52:00,2024-04-01 00:52:00,1.0,停机,单变量IQR+3σ; 残差,3.45,26,残差异常：采煤机_牵引部位_右电机_电压 偏高（残差 Z-score=3.4，实际=980.0 vs 预测=0.0）
1,2024-04-01 00:56:00,2024-04-01 01:05:00,10.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1417.511,280,Mahalanobis 距离=1417.5（阈值=18.5）。主要贡献特征：PC1 (86.8%); PC3 (13.0%)。
2,2024-04-01 01:38:00,2024-04-01 01:42:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,370.402,190,Mahalanobis 距离=370.4（阈值=18.5）。主要贡献特征：PC1 (75.0%); PC3 (23.7%); PC4 (1.2%)。
3,2024-04-01 04:37:00,2024-04-01 05:08:00,32.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4726.823,1183,Mahalanobis 距离=4726.8（阈值=18.5）。主要贡献特征：PC1 (86.6%); PC4 (13.3%)。
4,2024-04-01 05:11:00,2024-04-01 05:11:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4704.858,38,Mahalanobis 距离=4704.9（阈值=18.5）。主要贡献特征：PC1 (86.5%); PC4 (13.5%)。
5,2024-04-01 05:16:00,2024-04-01 05:17:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4567.988,76,Mahalanobis 距离=4568.0（阈值=18.5）。主要贡献特征：PC1 (88.0%); PC4 (12.0%)。
6,2024-04-01 05:19:00,2024-04-01 05:19:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.329,38,正常
7,2024-04-01 05:21:00,2024-04-01 05:21:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.978,38,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.0，实际=44.0 vs 预测=17.6）
8,2024-04-01 05:23:00,2024-04-01 05:24:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2140.718,76,Mahalanobis 距离=2140.7（阈值=18.5）。主要贡献特征：PC1 (96.4%); PC4 (3.4%)。
9,2024-04-01 05:29:00,2024-04-01 05:29:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2107.914,38,Mahalanobis 距离=2107.9（阈值=18.5）。主要贡献特征：PC1 (97.7%); PC4 (2.3%)。
10,2024-04-01 05:37:00,2024-04-01 05:40:00,4.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.444,152,正常
11,2024-04-01 05:42:00,2024-04-01 05:42:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.812,38,正常
