事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
0,2024-04-01 01:38:00,2024-04-01 01:38:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.782,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.8，实际=30.0 vs 预测=0.0）
1,2024-04-01 04:43:00,2024-04-01 04:43:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8.343,30,正常
2,2024-04-01 04:51:00,2024-04-01 04:51:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.878,30,正常
3,2024-04-01 05:09:00,2024-04-01 05:09:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.895,30,残差异常：采煤机_牵引部位_左电机_电流 偏高（残差 Z-score=3.9，实际=208.0 vs 预测=40.6）
4,2024-04-01 05:19:00,2024-04-01 05:19:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.284,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=5.3，实际=61.0 vs 预测=17.0）
5,2024-04-01 05:21:00,2024-04-01 05:21:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.303,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=3.3，实际=44.0 vs 预测=17.8）
6,2024-04-01 05:24:00,2024-04-01 05:24:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.689,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.7，实际=60.0 vs 预测=22.8）
7,2024-04-01 05:29:00,2024-04-01 05:29:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.622,30,正常
8,2024-04-01 05:37:00,2024-04-01 05:40:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,14.556,120,正常
9,2024-04-01 05:44:00,2024-04-01 05:44:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.647,30,正常
10,2024-04-01 05:51:00,2024-04-01 05:51:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10.694,22,残差异常：采煤机_油泵_左电机_温度 偏高（残差 Z-score=10.7，实际=54.0 vs 预测=42.0）
11,2024-04-01 06:07:00,2024-04-01 06:09:00,3.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9.624,74,残差异常：采煤机_油泵_左电机_温度 偏高（残差 Z-score=9.6，实际=55.0 vs 预测=44.2）
12,2024-04-01 06:15:00,2024-04-01 06:15:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.207,30,正常
13,2024-04-01 06:21:00,2024-04-01 06:21:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.683,30,正常
14,2024-04-01 06:25:00,2024-04-01 06:25:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.018,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.0，实际=45.0 vs 预测=16.8）
15,2024-04-01 06:27:00,2024-04-01 06:29:00,3.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.785,90,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=5.8，实际=63.0 vs 预测=22.4）
16,2024-04-01 06:31:00,2024-04-01 06:33:00,3.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.452,90,正常
17,2024-04-01 06:40:00,2024-04-01 06:43:00,4.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.427,120,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.4，实际=58.0 vs 预测=17.0）
18,2024-04-01 06:53:00,2024-04-01 06:53:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.978,30,正常
