事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
0,2024-04-01 00:08:00,2024-04-01 00:12:00,5.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ,26.439,66,Mahalanobis 距离=26.4（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
1,2024-04-01 00:16:00,2024-04-01 00:23:00,8.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8720.967,194,Mahalanobis 距离=8721.0（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
2,2024-04-01 00:32:00,2024-04-01 00:40:00,9.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4294.472,234,Mahalanobis 距离=4294.5（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
3,2024-04-01 00:54:00,2024-04-01 01:01:00,8.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,120.177,208,Mahalanobis 距离=120.2（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
4,2024-04-01 01:03:00,2024-04-01 01:09:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8742.542,182,Mahalanobis 距离=8742.5（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
5,2024-04-01 01:26:00,2024-04-01 01:29:00,4.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,123.868,104,Mahalanobis 距离=123.9（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
6,2024-04-01 01:32:00,2024-04-01 01:37:00,6.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,12.466,156,Mahalanobis 距离=12.5（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
7,2024-04-01 01:39:00,2024-04-01 01:44:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6795.143,156,Mahalanobis 距离=6795.1（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
8,2024-04-01 02:27:00,2024-04-01 02:31:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,744.755,130,Mahalanobis 距离=744.8（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
9,2024-04-01 04:12:00,2024-04-01 04:16:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1741.421,130,Mahalanobis 距离=1741.4（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
10,2024-04-01 04:22:00,2024-04-01 04:26:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,484.58,130,Mahalanobis 距离=484.6（阈值=10.8）。主要贡献特征：PC1 (100.0%)。
