部位,层级,归因对象,次数,占比
截割部,PC,PC2,5656,0.7193183263385476
截割部,PC,PC3,5488,0.6979524354572046
截割部,PC,PC1,4735,0.6021874602568994
截割部,PC,PC4,1427,0.18148289456950273
截割部,物理参数,截割部位_右滚筒_电机_电流_RMS,5656,0.7193183263385476
截割部,物理参数,牵引部位_左电机_电流_RMS,5488,0.6979524354572046
截割部,物理参数,破碎机_电机_温度_RMS,4735,0.6021874602568994
截割部,物理参数,截割部位_左滚筒_电机_电流_RMS,1427,0.18148289456950273
牵引部,PC,PC3,8920,0.7441394844414783
牵引部,PC,PC1,8174,0.6819053975139735
牵引部,PC,PC4,6049,0.5046300158505047
牵引部,PC,PC2,4212,0.3513806623842496
牵引部,物理参数,截割部位_右滚筒_电机_电流_RMS,8920,0.7441394844414783
牵引部,物理参数,牵引部位_左电机_电压_RMS,8174,0.6819053975139735
牵引部,物理参数,牵引部位_位置米数_RMS,6049,0.5046300158505047
牵引部,物理参数,破碎机_电机_温度_RMS,4212,0.3513806623842496
油泵,PC,PC2,5549,0.7060694744878483
油泵,PC,PC3,5413,0.6887644738516351
油泵,PC,PC1,4738,0.6028756839292531
油泵,PC,PC4,1795,0.22840055986766764
油泵,物理参数,截割部位_右滚筒_电机_电流_RMS,5549,0.7060694744878483
油泵,物理参数,牵引部位_左电机_电流_RMS,5413,0.6887644738516351
油泵,物理参数,破碎机_电机_温度_RMS,4738,0.6028756839292531
油泵,物理参数,截割部位_左滚筒_电机_电流_RMS,1795,0.22840055986766764
破碎机,PC,PC1,4139,0.8273036178293024
破碎机,PC,PC2,2094,0.41854887067759344
破碎机,PC,PC3,1489,0.29762142714371376
破碎机,PC,PC4,379,0.07575454727163702
破碎机,物理参数,破碎机_电机_温度_RMS,4139,0.8273036178293024
破碎机,物理参数,截割部位_右滚筒_电机_电流_RMS,2094,0.41854887067759344
破碎机,物理参数,牵引部位_左电机_电流_RMS,1489,0.29762142714371376
破碎机,物理参数,截割部位_左滚筒_电机_电流_RMS,379,0.07575454727163702
转载机ZZJ,PC,PC1,24621,1.0
转载机ZZJ,物理参数,转载机_链条速度_RMS,24621,1.0
