部位,工况,工况组,样本数,Mahalanobis异常数,Mahalanobis异常率,Mahalanobis中位距离,阈值
截割部,停机,停机,2849,458,0.16075816075816077,3.6168,18.4668
截割部,割煤中位,割煤/运行,9737,1339,0.1375166889185581,2.0437,18.4668
截割部,割煤低位,割煤/运行,335,0,0.0,0.3268,18.4668
截割部,割煤高位,割煤/运行,7811,576,0.07374215849443093,2.0111,18.4668
截割部,待机,待机/空载,11265,3465,0.30758988015978694,2.3164,18.4668
截割部,待机-高位,待机/空载,2962,1055,0.3561782579338285,2.582,18.4668
截割部,调架中,调架/过渡,4167,970,0.23278137748980082,2.3159,18.4668
牵引部,停机,停机,13090,6523,0.49831932773109244,16.15335,18.4668
牵引部,待机,待机/空载,7090,2996,0.4225669957686883,2.7875,18.4668
牵引部,空载牵引,待机/空载,447,56,0.12527964205816555,2.1398,18.4668
牵引部,重载牵引,带载/运行,18499,2412,0.13038542623925617,2.1203,18.4668
油泵,停机,停机,10548,3802,0.36044747819491846,3.61185,18.4668
油泵,轻载,轻载,5981,1058,0.17689349607089117,2.5662,18.4668
油泵,重载,带载/运行,22597,2999,0.13271673230959863,2.0884,18.4668
破碎机,停机,停机,22054,796,0.03609322571869049,3.00045,18.4668
破碎机,带载运行,带载/运行,112,1,0.008928571428571428,2.0362,18.4668
破碎机,空载运行,待机/空载,16960,4206,0.24799528301886792,3.09715,18.4668
转载机ZZJ,停机,停机,34674,3733,0.1076599180942493,0.8852,10.8276
转载机ZZJ,带载运行,带载/运行,51715,20539,0.3971574978246157,2.8349,10.8276
转载机ZZJ,空载运行,待机/空载,938,349,0.3720682302771855,1.1504500000000002,10.8276
