部位,参数,异常次数,异常占比,平均残差z,最大残差z
转载机ZZJ,转载机_变频器_IGBT1温度,1840,0.021071436751334143,5.079442173913042,16.4644
转载机ZZJ,转载机_变频器_IGBT2温度,1790,0.020499078114084815,5.125579720670392,15.837
转载机ZZJ,转载机_变频器_腔体温度,1781,0.020395776551155494,5.144630769230769,16.8052
转载机ZZJ,转载机_减速器_油箱_油位,1661,0.019021552415198918,5.31485851896448,23.8356
转载机ZZJ,转载机_链条速度,1480,0.016949928993540704,5.663778378378378,43.6265
转载机ZZJ,转载机_电机_转速,1459,0.01670942324430803,5.680914804660727,44.4211
转载机ZZJ,转载机_减速器_油箱_油温,1410,0.01614713359748975,6.344351134751774,24.1799
转载机ZZJ,转载机_减速器_冷却水_温度,1402,0.016055518655092645,4.830038516405136,22.874
转载机ZZJ,转载机_减速器_冷却水_流量,1266,0.014498064634341862,4.36143112164297,8.3619
转载机ZZJ,转载机_减速器_冷却水_压力,1140,0.013055876862466644,4.299296754385965,8.3123
截割部,油泵_左电机_电流,1103,0.028178009401185367,4.535056029011786,40.4741
截割部,油泵_右电机_电流,1021,0.026083180053137135,4.829235259549461,35.7766
牵引部,油泵_左电机_电流,955,0.024387752496233307,4.713721989528795,26.1917
截割部,牵引部位_右电机_温度,942,0.024061917290352244,4.470450849256901,14.4036
牵引部,油泵_右电机_电流,940,0.024004698792103988,4.838095957446808,25.8396
截割部,牵引部位_左电机_温度,918,0.023448874811617153,4.459846187363834,13.7739
油泵,油泵_左油箱_油压,896,0.022878153406189358,4.968778683035715,60.8985
截割部,截割部位_左滚筒_电机_温度,887,0.02265702827658433,4.816531905298761,22.2105
牵引部,牵引部位_左电机_温度,882,0.022520682259217648,4.7658884353741495,13.111
截割部,截割部位_右滚筒_电机_温度,880,0.022478224220286596,4.915987840909091,14.2201
牵引部,牵引部位_右电机_温度,871,0.022239812072311307,4.8362272101033295,13.1321
破碎机,油泵_左电机_电流,862,0.022010009192115206,4.606608468677494,25.4344
截割部,油泵_左电机_温度,858,0.02191626861477943,4.720263986013986,29.9127
截割部,油泵_右电机_温度,853,0.021788551431709623,4.570555451348183,29.8356
