部位,参数,异常次数,严重,较重,一般,轻微
截割部,破碎机_电机_温度,3709,121,0,677,2911
截割部,油泵_左电机_电流,2706,94,19,195,2398
截割部,油泵_右电机_电流,1042,78,90,151,723
截割部,截割部位_右滚筒_电机_电流,829,7,23,60,739
截割部,牵引部位_左电机_温度,795,0,24,180,591
截割部,截割部位_左滚筒_电机_温度,592,0,21,119,452
截割部,截割部位_右滚筒_电机_温度,589,0,11,159,419
截割部,油泵_左电机_温度,571,6,56,147,362
截割部,油泵_右电机_温度,536,13,63,126,334
截割部,牵引部位_右电机_电流,494,294,4,154,42
截割部,牵引部位_左电机_电流,481,291,4,155,31
截割部,牵引部位_右电机_温度,461,0,17,195,249
截割部,截割部位_左滚筒_电机_电流,323,38,10,51,224
截割部,破碎机_电机_电流,6,6,0,0,0
油泵,破碎机_电机_温度,5476,0,0,0,5476
油泵,油泵_右油箱_油压,3384,86,343,13,2942
油泵,油泵_右电机_温度,2599,26,72,243,2258
油泵,截割部位_右滚筒_电机_温度,2268,0,9,288,1971
油泵,牵引部位_左电机_温度,2168,0,9,300,1859
油泵,截割部位_左滚筒_电机_温度,2112,0,26,242,1844
油泵,牵引部位_右电机_温度,2017,0,3,348,1666
油泵,油泵_左油箱_油压,1961,29,12,403,1517
油泵,牵引部位_右电机_电流,1940,327,236,163,1214
油泵,油泵_左电机_温度,1931,14,72,169,1676
油泵,牵引部位_左电机_电流,1931,327,236,0,1368
油泵,截割部位_右滚筒_电机_电流,1781,488,1,302,990
油泵,油泵_右电机_电流,1577,315,121,2,1139
油泵,油泵_左电机_电流,1567,350,25,15,1177
油泵,截割部位_左滚筒_电机_电流,1228,348,6,15,859
油泵,破碎机_电机_电流,7,7,0,0,0
牵引部,破碎机_电机_温度,5208,0,0,0,5208
牵引部,油泵_左电机_温度,2585,6,33,209,2337
牵引部,牵引部位_左电机_温度,2354,0,27,164,2163
牵引部,截割部位_左滚筒_电机_温度,2177,0,21,137,2019
牵引部,截割部位_右滚筒_电机_温度,1904,0,8,175,1721
牵引部,牵引部位_右电机_温度,1866,0,30,143,1693
牵引部,油泵_右电机_电流,1794,18,420,0,1356
牵引部,油泵_左电机_电流,1744,41,20,10,1673
牵引部,油泵_右电机_温度,1689,7,76,128,1478
牵引部,截割部位_右滚筒_电机_电流,1679,12,509,78,1080
牵引部,截割部位_左滚筒_电机_电流,1448,40,11,54,1343
牵引部,牵引部位_右电机_电流,937,323,3,189,422
牵引部,牵引部位_左电机_电流,934,318,8,184,424
牵引部,牵引部位_左电机_电压,731,69,68,0,594
牵引部,牵引部位_右电机_电压,565,71,21,91,382
牵引部,牵引部位_采煤机速度,530,325,2,1,202
牵引部,破碎机_电机_电流,157,52,42,24,39
破碎机,破碎机_电机_温度,6004,0,0,1322,4682
破碎机,油泵_右电机_温度,1887,8,30,1353,496
破碎机,油泵_左电机_温度,1635,0,32,1450,153
破碎机,截割部位_左滚筒_电机_温度,1334,0,0,1321,13
破碎机,截割部位_右滚筒_电机_温度,1322,0,0,1322,0
破碎机,牵引部位_右电机_温度,1315,0,0,1315,0
破碎机,牵引部位_左电机_温度,1315,0,0,1315,0
破碎机,截割部位_右滚筒_电机_电流,522,485,4,5,28
破碎机,油泵_右电机_电流,422,3,0,419,0
破碎机,破碎机_电机_电流,98,98,0,0,0
破碎机,截割部位_左滚筒_电机_电流,86,34,3,17,32
破碎机,油泵_左电机_电流,24,24,0,0,0
转载机ZZJ,转载机_减速器_油箱_油位,8084,180,327,732,6845
转载机ZZJ,转载机_减速器_油箱_油温,3587,2,110,690,2785
转载机ZZJ,转载机_链条速度,2941,158,736,776,1271
转载机ZZJ,转载机_电机_转速,2853,161,707,708,1277
转载机ZZJ,转载机_变频器_IGBT1温度,2476,500,159,338,1479
转载机ZZJ,转载机_变频器_腔体温度,2476,497,159,290,1530
转载机ZZJ,转载机_变频器_IGBT2温度,1757,499,133,250,875
转载机ZZJ,转载机_减速器_冷却水_温度,1679,75,272,415,917
转载机ZZJ,转载机_电机_电流,337,171,7,26,133
转载机ZZJ,转载机_电机_转矩,199,161,0,11,27
