部位,根因类别,事件数
截割部,无归因(仅多方法一致),257
截割部,温度类,463
截割部,温度类/破碎机温度钳位(数据质量),1
截割部,电流类,2263
截割部,破碎机温度钳位(数据质量),2
截割部,破碎机温度钳位(数据质量)/电流类,1
油泵,无归因(仅多方法一致),184
油泵,油压类,815
油泵,油压类/温度类,7
油泵,油压类/电流类,4
油泵,油压类/破碎机温度钳位(数据质量),1
油泵,温度类,218
油泵,温度类/油压类,8
油泵,温度类/电流类,14
油泵,电流类,1210
油泵,电流类/油压类,5
油泵,电流类/温度类,10
油泵,破碎机温度钳位(数据质量),12
油泵,破碎机温度钳位(数据质量)/电流类,3
牵引部,无归因(仅多方法一致),87
牵引部,温度类,233
牵引部,温度类/牵引电压开关量(数据质量),16
牵引部,温度类/电流类,19
牵引部,温度类/进刀位置类,1
牵引部,牵引电压开关量(数据质量),952
牵引部,牵引电压开关量(数据质量)/温度类,13
牵引部,牵引电压开关量(数据质量)/电流类,44
牵引部,牵引电压开关量(数据质量)/破碎机温度钳位(数据质量),2
牵引部,牵引电压开关量(数据质量)/进刀位置类,12
牵引部,牵引电压开关量(数据质量)/速度类,1
牵引部,电流类,1529
牵引部,电流类/温度类,20
牵引部,电流类/牵引电压开关量(数据质量),43
牵引部,电流类/进刀位置类,28
牵引部,电流类/速度类,2
牵引部,破碎机温度钳位(数据质量),3
牵引部,破碎机温度钳位(数据质量)/牵引电压开关量(数据质量),10
牵引部,破碎机温度钳位(数据质量)/电流类,1
牵引部,进刀位置类,66
牵引部,进刀位置类/温度类,9
牵引部,进刀位置类/牵引电压开关量(数据质量),9
牵引部,进刀位置类/电流类,3
牵引部,进刀位置类/破碎机温度钳位(数据质量),1
牵引部,进刀位置类/速度类,1
牵引部,速度类,6
牵引部,速度类/电流类,1
破碎机,无归因(仅多方法一致),515
破碎机,温度类,224
破碎机,温度类/电流类,1
破碎机,温度类/破碎机温度钳位(数据质量),2
破碎机,电流类,1538
破碎机,电流类/温度类,1
破碎机,破碎机温度钳位(数据质量),191
破碎机,破碎机温度钳位(数据质量)/温度类,1
转载机ZZJ,冷却水压力流量,105
转载机ZZJ,冷却水压力流量/变频器热信号,4
转载机ZZJ,冷却水压力流量/油温油位信号,4
转载机ZZJ,冷却水压力流量/链条速度恒量(数据质量),4
转载机ZZJ,冷却水温度,64
转载机ZZJ,冷却水温度/变频器热信号,5
转载机ZZJ,冷却水温度/油温油位信号,2
转载机ZZJ,冷却水温度/链条速度恒量(数据质量),3
转载机ZZJ,变频器热信号,129
转载机ZZJ,变频器热信号/冷却水压力流量,1
转载机ZZJ,变频器热信号/冷却水温度,4
转载机ZZJ,变频器热信号/油温油位信号,6
转载机ZZJ,变频器热信号/负载信号,5
转载机ZZJ,变频器热信号/链条速度恒量(数据质量),80
转载机ZZJ,无归因(仅多方法一致),306
转载机ZZJ,油温油位信号,137
转载机ZZJ,油温油位信号/冷却水压力流量,3
转载机ZZJ,油温油位信号/冷却水温度,3
转载机ZZJ,油温油位信号/变频器热信号,26
转载机ZZJ,油温油位信号/链条速度恒量(数据质量),63
转载机ZZJ,负载信号,74
转载机ZZJ,负载信号/冷却水温度,1
转载机ZZJ,负载信号/变频器热信号,3
转载机ZZJ,负载信号/链条速度恒量(数据质量),4
转载机ZZJ,转速信号/负载信号,1
转载机ZZJ,链条速度恒量(数据质量),645
转载机ZZJ,链条速度恒量(数据质量)/冷却水压力流量,8
转载机ZZJ,链条速度恒量(数据质量)/冷却水温度,3
转载机ZZJ,链条速度恒量(数据质量)/变频器热信号,37
转载机ZZJ,链条速度恒量(数据质量)/油温油位信号,30
转载机ZZJ,链条速度恒量(数据质量)/负载信号,10
转载机ZZJ,链条速度恒量(数据质量)/转速信号,254
