事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,触发参数行数,归因参数top,归因参数数,归因明细,根因类别,根因主类,部位
987,2024-04-10 04:30:00,2024-04-10 12:32:00,483.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,74089.398,16422,2870,截割部位_右滚筒_电机_电流,12,单变量·截割部位_左滚筒_电机_电流 z=1.9 实际=219.0 均值=90.3; 单变量·截割部位_左滚筒_电机_电流 z=1.8 实际=209.0 均值=90.3; 单变量·截割部位_左滚筒_电机_电流 z=2.8 实际=275.0 均值=90.3; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(94%); 马氏·PC1→破碎机_电机_温度_RMS(3%); 马氏·PC3→牵引部位_左电机_电流_RMS(2%); 单变量·截割部位_右滚筒_电机_电流 z=6.3 实际=1066.0 均值=107.1; 单变量·油泵_右电机_电流 z=-0.8 实际=13.0 均值=18.3,电流类,电流类,油泵
1150,2024-04-10 04:32:00,2024-04-10 12:32:00,481.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,72482.914,14430,1924,截割部位_右滚筒_电机_电流,10,残差·截割部位_左滚筒_电机_电流 偏高 实际=275.0 vs 预测=137.8; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(95%); 马氏·PC1→破碎机_电机_温度_RMS(2%); 马氏·PC4→截割部位_左滚筒_电机_电流_RMS(2%); 单变量·截割部位_右滚筒_电机_电流 z=2.7 实际=1066.0 均值=189.7; 单变量·油泵_右电机_电流 z=-0.8 实际=13.0 均值=17.3; 单变量·油泵_左电机_电流 z=-0.6 实际=13.0 均值=18.2; 残差·截割部位_右滚筒_电机_电流 偏高 实际=1066.0 vs 预测=61.4,电流类,电流类,截割部
1223,2024-04-10 04:30:00,2024-04-10 12:40:00,491.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,72040.858,18658,2408,截割部位_右滚筒_电机_电流,13,单变量·截割部位_左滚筒_电机_电流 z=2.9 实际=219.0 均值=95.4; 单变量·截割部位_左滚筒_电机_电流 z=2.7 实际=209.0 均值=95.4; 单变量·截割部位_左滚筒_电机_电流 z=4.2 实际=275.0 均值=95.4; 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(90%); 马氏·PC1→牵引部位_左电机_电压_RMS(10%); 单变量·截割部位_右滚筒_电机_电流 z=4.9 实际=1066.0 均值=49.1; 单变量·截割部位_左滚筒_电机_电流 z=0.5 实际=47.0 均值=13.4; 单变量·油泵_右电机_电流 z=0.8 实际=13.0 均值=4.2,电流类,电流类,牵引部
1387,2024-04-14 12:42:00,2024-04-17 16:02:00,4521.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,50991.421,153714,16610,破碎机_电机_温度,21,单变量·截割部位_右滚筒_电机_温度 z=-2.4 实际=0.0 均值=49.4; 单变量·截割部位_左滚筒_电机_温度 z=-2.4 实际=0.0 均值=51.9; 单变量·油泵_右电机_温度 z=-2.5 实际=0.0 均值=40.5; 单变量·油泵_左电机_温度 z=-2.5 实际=0.0 均值=41.3; 单变量·牵引部位_右电机_温度 z=-2.4 实际=0.0 均值=46.0; 单变量·牵引部位_左电机_温度 z=-2.4 实际=0.0 均值=45.5; 单变量·破碎机_电机_温度 z=-0.5 实际=0.0 均值=101.9; 马氏·PC1→破碎机_电机_温度_RMS(67%),破碎机温度钳位(数据质量)/电流类,破碎机温度钳位(数据质量),油泵
1751,2024-04-14 12:42:00,2024-04-17 16:03:00,4522.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,49986.438,171836,16080,破碎机_电机_温度,23,单变量·截割部位_右滚筒_电机_温度 z=-2.7 实际=0.0 均值=51.6; 单变量·截割部位_左滚筒_电机_温度 z=-2.7 实际=0.0 均值=54.8; 单变量·油泵_右电机_温度 z=-2.9 实际=0.0 均值=42.1; 单变量·油泵_左电机_温度 z=-2.8 实际=0.0 均值=42.9; 单变量·牵引部位_右电机_温度 z=-2.7 实际=0.0 均值=48.5; 单变量·牵引部位_左电机_温度 z=-2.7 实际=0.0 均值=48.0; 单变量·破碎机_电机_温度 z=-0.5 实际=0.0 均值=99.2; 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(65%),破碎机温度钳位(数据质量)/电流类,破碎机温度钳位(数据质量),牵引部
1652,2024-04-15 15:03:00,2024-04-17 12:00:00,2698.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,49972.501,80940,6270,破碎机_电机_温度,19,马氏·PC1→破碎机_电机_温度_RMS(98%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(1%); 马氏·PC1→破碎机_电机_温度_RMS(99%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(70%); 马氏·PC3→牵引部位_左电机_电流_RMS(27%); 马氏·PC4→截割部位_左滚筒_电机_电流_RMS(2%); 单变量·牵引部位_右电机_电流 z=8.9 实际=168.0 均值=3.2; 单变量·牵引部位_左电机_电流 z=9.6 实际=182.0 均值=3.2,破碎机温度钳位(数据质量),破碎机温度钳位(数据质量),截割部
885,2024-04-08 16:46:00,2024-04-08 18:03:00,78.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,49758.997,2652,369,截割部位_左滚筒_电机_电流,20,单变量·截割部位_左滚筒_电机_电流 z=-1.4 实际=0.0 均值=90.3; 单变量·油泵_右电机_温度 z=-2.1 实际=44.0 均值=50.5; 单变量·截割部位_左滚筒_电机_电流 z=14.9 实际=1087.0 均值=90.3; 单变量·油泵_右电机_电流 z=-0.7 实际=14.0 均值=18.3; 单变量·油泵_左电机_电流 z=-0.7 实际=13.0 均值=18.2; 残差·截割部位_左滚筒_电机_电流 偏高 实际=1087.0 vs 预测=34.0; 马氏·PC4→截割部位_左滚筒_电机_电流_RMS(80%); 马氏·PC3→牵引部位_左电机_电流_RMS(18%),电流类,电流类,油泵
2496,2024-04-23 09:10:00,2024-04-23 15:59:00,410.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,48692.489,15580,1685,牵引部位_右电机_电流,21,马氏·PC1→牵引部位_左电机_电压_RMS(57%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(42%); 马氏·PC4→牵引部位_位置米数_RMS(1%); 残差·牵引部位_右电机_电压 偏高 实际=950.0 vs 预测=0.0; 残差·牵引部位_左电机_电压 偏高 实际=950.0 vs 预测=10.0; 马氏·PC1→牵引部位_左电机_电压_RMS(56%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(44%); 马氏·PC1→牵引部位_左电机_电压_RMS(51%),电流类,电流类,牵引部
2388,2024-04-23 09:10:00,2024-04-23 15:59:00,410.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,46790.661,12300,1294,牵引部位_右电机_电流,17,马氏·PC4→截割部位_左滚筒_电机_电流_RMS(41%); 马氏·PC3→牵引部位_左电机_电流_RMS(40%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(20%); 马氏·PC3→牵引部位_左电机_电流_RMS(39%); 马氏·PC3→牵引部位_左电机_电流_RMS(71%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(29%); 单变量·油泵_右电机_电流 z=3.7 实际=20.0 均值=0.9; 单变量·油泵_左电机_电流 z=3.5 实际=19.0 均值=0.8,电流类,电流类,截割部
940,2024-04-07 15:38:00,2024-04-07 16:09:00,32.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,38828.169,1216,150,牵引部位_左电机_温度,18,马氏·PC1→牵引部位_左电机_电压_RMS(51%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(46%); 马氏·PC4→牵引部位_位置米数_RMS(3%); 残差·牵引部位_右电机_电压 偏高 实际=990.0 vs 预测=42.0; 残差·牵引部位_左电机_电压 偏高 实际=990.0 vs 预测=56.0; 马氏·PC1→牵引部位_左电机_电压_RMS(99%); 单变量·截割部位_右滚筒_电机_温度 z=-3.7 实际=46.0 均值=67.3; 单变量·截割部位_左滚筒_电机_温度 z=-3.6 实际=48.0 均值=72.2,温度类,温度类,牵引部
