部位,频域指标,特征数,显著数,平均epsilon²
截割部,主频,14,14,0.0105
截割部,频谱质心,14,14,0.0198
截割部,频谱熵,14,14,0.0183
截割部,低频占比,14,14,0.0196
截割部,中频占比,14,14,0.0165
截割部,高频占比,14,14,0.016
牵引部,主频,18,18,0.0131
牵引部,频谱质心,18,18,0.0202
牵引部,频谱熵,18,18,0.0187
牵引部,低频占比,18,18,0.0207
牵引部,中频占比,18,18,0.0156
牵引部,高频占比,18,18,0.0172
油泵,主频,16,16,0.0089
油泵,频谱质心,16,16,0.0157
油泵,频谱熵,16,16,0.013
油泵,低频占比,16,16,0.0152
油泵,中频占比,16,16,0.0113
油泵,高频占比,16,16,0.0126
破碎机,主频,14,14,0.0017
破碎机,频谱质心,14,14,0.0035
破碎机,频谱熵,14,14,0.003
破碎机,低频占比,14,14,0.004
破碎机,中频占比,14,14,0.0045
破碎机,高频占比,14,14,0.003
