参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_截割部位_右滚筒_电机_温度_主频,8.0554,0.15320872784045003,0.0,0.0027,无,6
采煤机_截割部位_右滚筒_电机_电流_主频,63.376,2.4331875012307686e-12,0.0,0.0216,小,6
采煤机_截割部位_左滚筒_电机_温度_主频,15.9338,0.007035503409811227,0.0,0.0054,无,6
采煤机_截割部位_左滚筒_电机_电流_主频,47.3679,4.7801891178151935e-09,0.0,0.0161,小,6
采煤机_油泵_右电机_温度_主频,5.1391,0.39914659662106733,0.0,0.0018,无,6
采煤机_油泵_右电机_电流_主频,72.8391,2.626135045741866e-14,0.0,0.0248,小,6
采煤机_油泵_左电机_温度_主频,8.7579,0.11911856757994745,0.0,0.003,无,6
采煤机_油泵_左电机_电流_主频,57.5212,3.9485478295452854e-11,0.0,0.0196,小,6
采煤机_牵引部位_右电机_温度_主频,4.6062,0.4657982211723912,0.0,0.0016,无,6
采煤机_牵引部位_右电机_电流_主频,65.838,7.509932422406579e-13,0.0,0.0224,小,6
采煤机_牵引部位_左电机_温度_主频,3.9432,0.5576253128475329,0.0,0.0013,无,6
采煤机_牵引部位_左电机_电流_主频,70.5275,7.958560933927613e-14,0.0,0.024,小,6
采煤机_破碎机_电机_温度_主频,4.1865,0.5228836263023163,0.0,0.0014,无,6
采煤机_破碎机_电机_电流_主频,5.5093,0.3569300301663942,0.0,0.0019,无,6
采煤机_截割部位_右滚筒_电机_温度_频谱质心,29.6328,1.741732205080286e-05,0.0,0.0101,小,6
采煤机_截割部位_右滚筒_电机_电流_频谱质心,78.8555,1.456233481382568e-15,0.0,0.0269,小,6
采煤机_截割部位_左滚筒_电机_温度_频谱质心,48.8596,2.370801070963393e-09,0.0,0.0167,小,6
采煤机_截割部位_左滚筒_电机_电流_频谱质心,81.1855,4.739958083872106e-16,0.0,0.0277,小,6
采煤机_油泵_右电机_温度_频谱质心,55.8897,8.562700157805974e-11,0.0,0.019,小,6
采煤机_油泵_右电机_电流_频谱质心,98.4856,1.1019347735830354e-19,0.0,0.0336,小,6
采煤机_油泵_左电机_温度_频谱质心,67.6782,3.115027182773338e-13,0.0,0.0231,小,6
采煤机_油泵_左电机_电流_频谱质心,100.0842,5.0734633106195345e-20,0.0,0.0341,小,6
采煤机_牵引部位_右电机_温度_频谱质心,61.3807,6.298806547449665e-12,0.0,0.0209,小,6
采煤机_牵引部位_右电机_电流_频谱质心,59.587,1.479327890347504e-11,0.0,0.0203,小,6
