参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_截割部位_右滚筒_电机_温度_主频,0.0107,0.9946459510455613,0.0,0.0,无,3
采煤机_截割部位_右滚筒_电机_电流_主频,62.0982,3.2775671175031476e-14,0.0,0.0211,小,3
采煤机_截割部位_左滚筒_电机_温度_主频,10.6311,0.004914543559817956,0.0,0.0036,无,3
采煤机_截割部位_左滚筒_电机_电流_主频,36.6213,1.1163301441132033e-08,0.0,0.0125,小,3
采煤机_油泵_右油箱_油压_主频,12.9754,0.0015220727347778607,0.0,0.0044,无,3
采煤机_油泵_右电机_温度_主频,0.638,0.726883763390223,0.0,0.0002,无,3
采煤机_油泵_右电机_电流_主频,72.9601,1.4352104508990702e-16,0.0,0.0248,小,3
采煤机_油泵_左油箱_油压_主频,23.8819,6.517987621150882e-06,0.0,0.0081,无,3
采煤机_油泵_左电机_温度_主频,5.238,0.0728774653121513,0.0,0.0018,无,3
采煤机_油泵_左电机_电流_主频,61.8778,3.65941203329836e-14,0.0,0.021,小,3
采煤机_牵引部位_右电机_温度_主频,4.4588,0.10759303408869844,0.0,0.0015,无,3
采煤机_牵引部位_右电机_电流_主频,55.4591,9.061725599911141e-13,0.0,0.0189,小,3
采煤机_牵引部位_左电机_温度_主频,5.0131,0.08154780030175164,0.0,0.0017,无,3
采煤机_牵引部位_左电机_电流_主频,67.3137,2.415605960982479e-15,0.0,0.0229,小,3
采煤机_破碎机_电机_温度_主频,1.6139,0.44620966134487294,0.0,0.0005,无,3
采煤机_破碎机_电机_电流_主频,0.2115,0.8996680880357995,0.0,0.0001,无,3
采煤机_截割部位_右滚筒_电机_温度_频谱质心,16.8828,0.00021574781141317829,0.0,0.0057,无,3
采煤机_截割部位_右滚筒_电机_电流_频谱质心,68.8369,1.1278930122817178e-15,0.0,0.0234,小,3
采煤机_截割部位_左滚筒_电机_温度_频谱质心,43.6821,3.270046631587981e-10,0.0,0.0149,小,3
采煤机_截割部位_左滚筒_电机_电流_频谱质心,63.8663,1.3539600534076408e-14,0.0,0.0217,小,3
采煤机_油泵_右油箱_油压_频谱质心,25.8747,2.4064920727681655e-06,0.0,0.0088,无,3
采煤机_油泵_右电机_温度_频谱质心,27.2739,1.1954689325044807e-06,0.0,0.0093,无,3
采煤机_油泵_右电机_电流_频谱质心,92.6079,7.77057605611256e-21,0.0,0.0315,小,3
采煤机_油泵_左油箱_油压_频谱质心,38.6147,4.120161009878491e-09,0.0,0.0131,小,3
采煤机_油泵_左电机_温度_频谱质心,54.9256,1.1832167373266966e-12,0.0,0.0187,小,3
采煤机_油泵_左电机_电流_频谱质心,90.1074,2.7128486893988275e-20,0.0,0.0306,小,3
采煤机_牵引部位_右电机_温度_频谱质心,52.3361,4.318756549767493e-12,0.0,0.0178,小,3
采煤机_牵引部位_右电机_电流_频谱质心,45.2526,1.491139858410699e-10,0.0,0.0154,小,3
采煤机_牵引部位_左电机_温度_频谱质心,55.4951,8.899914025921703e-13,0.0,0.0189,小,3
采煤机_牵引部位_左电机_电流_频谱质心,54.6734,1.3421941127747889e-12,0.0,0.0186,小,3
采煤机_破碎机_电机_温度_频谱质心,3.3054,0.19153018461138654,0.0,0.0011,无,3
采煤机_破碎机_电机_电流_频谱质心,4.1704,0.12427964713691887,0.0,0.0014,无,3
采煤机_截割部位_右滚筒_电机_温度_频谱熵,10.6936,0.004763442262102654,0.0,0.0036,无,3
采煤机_截割部位_右滚筒_电机_电流_频谱熵,64.0961,1.2070057369552667e-14,0.0,0.0218,小,3
采煤机_截割部位_左滚筒_电机_温度_频谱熵,38.989,3.4170776538093405e-09,0.0,0.0133,小,3
采煤机_截割部位_左滚筒_电机_电流_频谱熵,65.9287,4.828055844704682e-15,0.0,0.0224,小,3
采煤机_油泵_右油箱_油压_频谱熵,12.9527,0.0015393912524480204,0.0,0.0044,无,3
采煤机_油泵_右电机_温度_频谱熵,24.8756,3.965846206680659e-06,0.0,0.0085,无,3
采煤机_油泵_右电机_电流_频谱熵,76.6784,2.23608784025955e-17,0.0,0.0261,小,3
采煤机_油泵_左油箱_油压_频谱熵,14.6925,0.00064499380034899,0.0,0.005,无,3
采煤机_油泵_左电机_温度_频谱熵,52.8554,3.3311787721808227e-12,0.0,0.018,小,3
采煤机_油泵_左电机_电流_频谱熵,72.8005,1.5544596377178748e-16,0.0,0.0248,小,3
采煤机_牵引部位_右电机_温度_频谱熵,45.2816,1.469668635387389e-10,0.0,0.0154,小,3
采煤机_牵引部位_右电机_电流_频谱熵,33.6149,5.019038979212889e-08,0.0,0.0114,小,3
采煤机_牵引部位_左电机_温度_频谱熵,48.9407,2.3586822892549747e-11,0.0,0.0166,小,3
采煤机_牵引部位_左电机_电流_频谱熵,40.87,1.3340900739702864e-09,0.0,0.0139,小,3
采煤机_破碎机_电机_温度_频谱熵,3.3699,0.18545788529061902,0.0,0.0011,无,3
采煤机_破碎机_电机_电流_频谱熵,3.8583,0.14527305713730337,0.0,0.0013,无,3
采煤机_截割部位_右滚筒_电机_温度_低频占比,19.2522,6.59847220368098e-05,0.0,0.0065,无,3
采煤机_截割部位_右滚筒_电机_电流_低频占比,65.4444,6.150723062885173e-15,0.0,0.0223,小,3
采煤机_截割部位_左滚筒_电机_温度_低频占比,51.2508,7.430876415520888e-12,0.0,0.0174,小,3
采煤机_截割部位_左滚筒_电机_电流_低频占比,62.254,3.0319132742282205e-14,0.0,0.0212,小,3
采煤机_油泵_右油箱_油压_低频占比,16.8865,0.00021535006102529496,0.0,0.0057,无,3
采煤机_油泵_右电机_温度_低频占比,30.1281,2.86918731350148e-07,0.0,0.0102,小,3
采煤机_油泵_右电机_电流_低频占比,85.9887,2.1271026681417647e-19,0.0,0.0292,小,3
采煤机_油泵_左油箱_油压_低频占比,35.5846,1.8745855417177502e-08,0.0,0.0121,小,3
采煤机_油泵_左电机_温度_低频占比,60.1126,8.845415137323817e-14,0.0,0.0204,小,3
采煤机_油泵_左电机_电流_低频占比,86.1679,1.944855154297018e-19,0.0,0.0293,小,3
采煤机_牵引部位_右电机_温度_低频占比,47.0677,6.016898677833373e-11,0.0,0.016,小,3
采煤机_牵引部位_右电机_电流_低频占比,43.4044,3.7570195525737924e-10,0.0,0.0148,小,3
采煤机_牵引部位_左电机_温度_低频占比,52.5514,3.877936858425913e-12,0.0,0.0179,小,3
采煤机_牵引部位_左电机_电流_低频占比,51.7328,5.8392909309507385e-12,0.0,0.0176,小,3
采煤机_破碎机_电机_温度_低频占比,1.5274,0.46594099962257984,0.0,0.0005,无,3
采煤机_破碎机_电机_电流_低频占比,3.7215,0.15555348948602182,0.0,0.0013,无,3
采煤机_截割部位_右滚筒_电机_温度_中频占比,13.8144,0.0010005518246884982,0.0,0.0047,无,3
采煤机_截割部位_右滚筒_电机_电流_中频占比,51.3472,7.081188556443259e-12,0.0,0.0175,小,3
采煤机_截割部位_左滚筒_电机_温度_中频占比,43.1139,4.344408294627784e-10,0.0,0.0147,小,3
采煤机_截割部位_左滚筒_电机_电流_中频占比,53.3787,2.5642101805605865e-12,0.0,0.0181,小,3
采煤机_油泵_右油箱_油压_中频占比,3.4357,0.17945144874996558,0.0,0.0012,无,3
采煤机_油泵_右电机_温度_中频占比,25.3176,3.179510256045392e-06,0.0,0.0086,无,3
采煤机_油泵_右电机_电流_中频占比,45.3131,1.446728612042407e-10,0.0,0.0154,小,3
采煤机_油泵_左油箱_油压_中频占比,15.2166,0.0004963084799893557,0.0,0.0052,无,3
采煤机_油泵_左电机_温度_中频占比,59.9895,9.40699206223146e-14,0.0,0.0204,小,3
采煤机_油泵_左电机_电流_中频占比,49.1972,2.0747831076652906e-11,0.0,0.0167,小,3
采煤机_牵引部位_右电机_温度_中频占比,40.7454,1.4198522470048604e-09,0.0,0.0139,小,3
采煤机_牵引部位_右电机_电流_中频占比,37.3215,7.865860944691253e-09,0.0,0.0127,小,3
采煤机_牵引部位_左电机_温度_中频占比,46.91,6.510668204481577e-11,0.0,0.016,小,3
采煤机_牵引部位_左电机_电流_中频占比,41.776,8.481155507739324e-10,0.0,0.0142,小,3
采煤机_破碎机_电机_温度_中频占比,1.4563,0.4827954927210577,0.0,0.0005,无,3
采煤机_破碎机_电机_电流_中频占比,3.9981,0.13546151706475026,0.0,0.0014,无,3
采煤机_截割部位_右滚筒_电机_温度_高频占比,28.1613,7.670894601475785e-07,0.0,0.0096,无,3
采煤机_截割部位_右滚筒_电机_电流_高频占比,50.9684,8.557547695092892e-12,0.0,0.0173,小,3
采煤机_截割部位_左滚筒_电机_温度_高频占比,50.4166,1.1276385632093414e-11,0.0,0.0171,小,3
