参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_截割部位_右滚筒_电机_温度_主频,2.8012,0.4233008598347823,0.0,0.001,无,4
采煤机_截割部位_右滚筒_电机_电流_主频,41.2268,5.853488378774316e-09,0.0,0.014,小,4
采煤机_截割部位_左滚筒_电机_温度_主频,7.7967,0.050406323391811496,0.0,0.0027,无,4
采煤机_截割部位_左滚筒_电机_电流_主频,39.2906,1.5062693096341576e-08,0.0,0.0134,小,4
采煤机_油泵_右电机_温度_主频,5.421,0.14343825202929514,0.0,0.0018,无,4
采煤机_油泵_右电机_电流_主频,62.694,1.5613541754063252e-13,0.0,0.0213,小,4
采煤机_油泵_左电机_温度_主频,4.6702,0.19759805602222857,0.0,0.0016,无,4
采煤机_油泵_左电机_电流_主频,45.5029,7.234105240164361e-10,0.0,0.0155,小,4
采煤机_牵引部位_位置米数_主频,7.2142,0.06537515279375315,0.0,0.0025,无,4
采煤机_牵引部位_右电机_温度_主频,0.991,0.8034193958921269,0.0,0.0003,无,4
采煤机_牵引部位_右电机_电压_主频,172.3212,4.0136586802355505e-37,0.0,0.0586,小,4
采煤机_牵引部位_右电机_电流_主频,40.303,9.1899899059836e-09,0.0,0.0137,小,4
采煤机_牵引部位_左电机_温度_主频,0.8705,0.8325334180687838,0.0,0.0003,无,4
采煤机_牵引部位_左电机_电压_主频,171.1815,7.072711800916704e-37,0.0,0.0582,小,4
采煤机_牵引部位_左电机_电流_主频,45.5068,7.220237574932577e-10,0.0,0.0155,小,4
采煤机_牵引部位_采煤机速度_主频,46.0066,5.653237084275137e-10,0.0,0.0156,小,4
采煤机_破碎机_电机_温度_主频,0.923,0.8198842724093978,0.0,0.0003,无,4
采煤机_破碎机_电机_电流_主频,0.7258,0.8671115540726839,0.0,0.0002,无,4
采煤机_截割部位_右滚筒_电机_温度_频谱质心,12.4354,0.006031181213361359,0.0,0.0042,无,4
采煤机_截割部位_右滚筒_电机_电流_频谱质心,51.7135,3.4471130609489686e-11,0.0,0.0176,小,4
采煤机_截割部位_左滚筒_电机_温度_频谱质心,39.428,1.4085962712973627e-08,0.0,0.0134,小,4
采煤机_截割部位_左滚筒_电机_电流_频谱质心,68.8531,7.51322444002328e-15,0.0,0.0234,小,4
采煤机_油泵_右电机_温度_频谱质心,29.9566,1.4093723402102637e-06,0.0,0.0102,小,4
采煤机_油泵_右电机_电流_频谱质心,88.6604,4.248734751775545e-19,0.0,0.0301,小,4
采煤机_油泵_左电机_温度_频谱质心,37.4465,3.701786210977854e-08,0.0,0.0127,小,4
采煤机_油泵_左电机_电流_频谱质心,69.213,6.291698624203219e-15,0.0,0.0235,小,4
采煤机_牵引部位_位置米数_频谱质心,14.823,0.0019743095944651464,0.0,0.005,无,4
采煤机_牵引部位_右电机_温度_频谱质心,38.1779,2.59165060131994e-08,0.0,0.013,小,4
采煤机_牵引部位_右电机_电压_频谱质心,233.5331,2.381728966868227e-50,0.0,0.0794,中,4
采煤机_牵引部位_右电机_电流_频谱质心,37.9128,2.949186237489502e-08,0.0,0.0129,小,4
采煤机_牵引部位_左电机_温度_频谱质心,37.777,3.150968301248294e-08,0.0,0.0128,小,4
采煤机_牵引部位_左电机_电压_频谱质心,230.8269,9.16286932254896e-50,0.0,0.0785,中,4
采煤机_牵引部位_左电机_电流_频谱质心,47.2963,3.0060291533111883e-10,0.0,0.0161,小,4
采煤机_牵引部位_采煤机速度_频谱质心,26.609,7.110007083728564e-06,0.0,0.009,无,4
采煤机_破碎机_电机_温度_频谱质心,1.1209,0.7720200449033883,0.0,0.0004,无,4
采煤机_破碎机_电机_电流_频谱质心,2.6752,0.444462873874491,0.0,0.0009,无,4
采煤机_截割部位_右滚筒_电机_温度_频谱熵,6.9055,0.07497158903735708,0.0,0.0023,无,4
采煤机_截割部位_右滚筒_电机_电流_频谱熵,46.0155,5.62873891542992e-10,0.0,0.0156,小,4
采煤机_截割部位_左滚筒_电机_温度_频谱熵,35.5568,9.291513414723302e-08,0.0,0.0121,小,4
采煤机_截割部位_左滚筒_电机_电流_频谱熵,75.8,2.441354609730889e-16,0.0,0.0258,小,4
采煤机_油泵_右电机_温度_频谱熵,27.2141,5.309099144319775e-06,0.0,0.0093,无,4
采煤机_油泵_右电机_电流_频谱熵,67.0008,1.8718958424021698e-14,0.0,0.0228,小,4
采煤机_油泵_左电机_温度_频谱熵,36.1793,6.862424332794735e-08,0.0,0.0123,小,4
采煤机_油泵_左电机_电流_频谱熵,59.7883,6.523360035472408e-13,0.0,0.0203,小,4
采煤机_牵引部位_位置米数_频谱熵,12.4009,0.006128841302363499,0.0,0.0042,无,4
