参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_截割部位_右滚筒_电机_温度_主频,5.1827,0.07491753211459004,0.0,0.0018,无,3
采煤机_截割部位_右滚筒_电机_电流_主频,11.0512,0.003983441434052957,0.0,0.0038,无,3
采煤机_截割部位_左滚筒_电机_温度_主频,2.5781,0.27553605383796775,0.0,0.0009,无,3
采煤机_截割部位_左滚筒_电机_电流_主频,3.1481,0.20720504584438784,0.0,0.0011,无,3
采煤机_油泵_右电机_温度_主频,3.7095,0.15649196954167502,0.0,0.0013,无,3
采煤机_油泵_右电机_电流_主频,4.9371,0.0847090484025186,0.0,0.0017,无,3
采煤机_油泵_左电机_温度_主频,4.3425,0.11403535512951185,0.0,0.0015,无,3
采煤机_油泵_左电机_电流_主频,1.3222,0.5162712823070514,0.0,0.0004,无,3
采煤机_牵引部位_右电机_温度_主频,2.244,0.32562643576791234,0.0,0.0008,无,3
采煤机_牵引部位_右电机_电流_主频,0.0813,0.9601650861322482,0.0,0.0,无,3
采煤机_牵引部位_左电机_温度_主频,2.0357,0.3613750583682559,0.0,0.0007,无,3
采煤机_牵引部位_左电机_电流_主频,0.7376,0.6915629418026297,0.0,0.0003,无,3
采煤机_破碎机_电机_温度_主频,4.4323,0.10902555753941265,0.0,0.0015,无,3
采煤机_破碎机_电机_电流_主频,23.8969,6.469359608163017e-06,0.0,0.0081,无,3
采煤机_截割部位_右滚筒_电机_温度_频谱质心,27.879,8.833953967905839e-07,0.0,0.0095,无,3
采煤机_截割部位_右滚筒_电机_电流_频谱质心,6.7949,0.033458205097951166,0.0,0.0023,无,3
采煤机_截割部位_左滚筒_电机_温度_频谱质心,9.2931,0.00959447809492618,0.0,0.0032,无,3
采煤机_截割部位_左滚筒_电机_电流_频谱质心,0.7613,0.6834080718877715,0.0,0.0003,无,3
采煤机_油泵_右电机_温度_频谱质心,7.6096,0.02226403939361826,0.0,0.0026,无,3
