工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
停机,采煤机_截割部位_右滚筒_电机_电流,2849,0.023868023868023867,1.2737566252868948,0.0,0.0,0.0,0.0,0.0,68.0
停机,采煤机_截割部位_左滚筒_电机_电流,2849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
停机,采煤机_截割部位_右滚筒_电机_温度,2851,31.815503332164152,23.887986548710145,47.0,50.0,0.0,56.0,0.0,65.0
停机,采煤机_截割部位_左滚筒_电机_温度,2850,33.81228070175439,25.34499203223763,50.0,53.0,0.0,59.0,0.0,67.0
停机,采煤机_牵引部位_右电机_电流,2849,6.998946998946999,26.058355798651164,0.0,0.0,0.0,106.0,0.0,168.0
停机,采煤机_牵引部位_左电机_电流,2849,7.083538083538084,26.4977340828511,0.0,0.0,0.0,106.0,0.0,182.0
停机,采煤机_牵引部位_右电机_温度,2850,31.22280701754386,23.42930776391166,46.0,50.0,0.0,54.0,0.0,59.0
停机,采煤机_牵引部位_左电机_温度,2851,31.278148018239214,23.507444350424347,45.0,50.0,0.0,54.0,0.0,58.0
停机,采煤机_破碎机_电机_电流,2849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
停机,采煤机_破碎机_电机_温度,2849,37.90417690417691,90.96525945448579,37.0,40.0,0.0,44.0,0.0,645.0
停机,采煤机_油泵_右电机_电流,2849,1.1877851877851877,5.015963807525397,0.0,0.0,0.0,20.0,0.0,35.0
停机,采煤机_油泵_左电机_电流,2849,1.1579501579501579,5.049940917917263,0.0,0.0,0.0,19.0,0.0,63.0
停机,采煤机_油泵_右电机_温度,2851,30.410382321992284,23.32538545648357,43.0,46.0,0.0,61.0,0.0,75.0
停机,采煤机_油泵_左电机_温度,2851,30.81515257804279,23.59468328699836,44.0,47.0,0.0,61.0,0.0,72.0
待机,采煤机_截割部位_右滚筒_电机_电流,11266,0.296467246582638,17.550530126018405,0.0,0.0,0.0,0.0,0.0,1093.0
待机,采煤机_截割部位_左滚筒_电机_电流,11309,0.703333628083827,25.536835298326817,0.0,0.0,0.0,0.0,0.0,1087.0
待机,采煤机_截割部位_右滚筒_电机_温度,11316,55.60321668434076,8.411708724448335,55.0,15.0,44.0,68.0,38.0,84.0
待机,采煤机_截割部位_左滚筒_电机_温度,11316,57.746553552492045,8.874966658581233,56.0,16.0,45.0,71.0,0.0,89.0
待机,采煤机_牵引部位_右电机_电流,11265,3.1723035952063916,18.591720445605272,0.0,0.0,0.0,0.0,0.0,239.0
待机,采煤机_牵引部位_左电机_电流,11265,3.182778517532179,18.690472089225043,0.0,0.0,0.0,0.0,0.0,235.0
待机,采煤机_牵引部位_右电机_温度,11316,50.804612937433724,6.834604882199243,50.0,9.0,41.0,64.0,35.0,79.0
待机,采煤机_牵引部位_左电机_温度,11316,50.04277129727819,6.653065606387388,50.0,7.0,41.0,63.0,34.0,78.0
待机,采煤机_破碎机_电机_电流,11266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待机,采煤机_破碎机_电机_温度,11266,134.8175039943192,216.82453013302592,43.0,15.0,34.0,644.0,0.0,645.0
待机,采煤机_油泵_右电机_电流,11309,0.8545406313555575,5.19762183436769,0.0,0.0,0.0,0.0,0.0,196.0
待机,采煤机_油泵_左电机_电流,11309,0.8131576620390839,5.1369794602523235,0.0,0.0,0.0,0.0,0.0,217.0
待机,采煤机_油泵_右电机_温度,11316,46.20572640509014,4.5692413485524215,47.0,6.0,39.0,52.0,0.0,75.0
待机,采煤机_油泵_左电机_温度,11316,47.04144574054436,4.791827262567814,47.0,6.0,40.0,54.0,0.0,72.0
调架中,采煤机_截割部位_右滚筒_电机_电流,4169,189.66610698009114,329.97261318898154,64.0,10.0,57.0,1066.0,0.0,1132.0
调架中,采煤机_截割部位_左滚筒_电机_电流,4170,79.84772182254197,111.73060301763884,62.0,9.0,47.0,119.0,0.0,1091.0
调架中,采煤机_截割部位_右滚筒_电机_温度,4170,65.5841726618705,6.097154177459601,66.0,7.0,54.0,74.0,40.0,88.0
调架中,采煤机_截割部位_左滚筒_电机_温度,4170,72.18968824940048,7.254948804575275,74.0,8.0,59.0,82.0,43.0,105.0
调架中,采煤机_牵引部位_右电机_电流,4167,47.89368850491961,48.04375631401216,39.0,84.0,0.0,128.0,0.0,239.0
调架中,采煤机_牵引部位_左电机_电流,4167,49.514998800095995,49.23870833994409,44.0,84.0,0.0,133.0,0.0,239.0
调架中,采煤机_牵引部位_右电机_温度,4170,64.66091127098322,7.427677331204666,67.0,8.0,49.0,74.0,35.0,81.0
调架中,采煤机_牵引部位_左电机_温度,4170,64.42014388489208,7.54459019604773,66.0,9.0,49.0,74.0,34.0,80.0
调架中,采煤机_破碎机_电机_电流,4169,7.251379227632526,16.18397285431949,0.0,19.0,0.0,30.0,0.0,317.0
调架中,采煤机_破碎机_电机_温度,4169,104.34516670664428,176.283688035996,46.0,23.0,35.0,644.0,29.0,645.0
调架中,采煤机_油泵_右电机_电流,4170,17.333093525179855,5.291419530327311,17.0,1.0,13.0,21.0,0.0,74.0
调架中,采煤机_油泵_左电机_电流,4170,18.217745803357314,8.364597757096389,17.0,1.0,13.0,29.549999999999727,0.0,74.0
调架中,采煤机_油泵_右电机_温度,4170,50.41606714628298,3.1362016885816826,51.0,3.0,44.0,55.0,34.0,66.0
调架中,采煤机_油泵_左电机_温度,4170,51.69184652278177,3.366253130635646,52.0,4.0,45.45000000000002,56.0,34.0,65.0
割煤中位,采煤机_截割部位_右滚筒_电机_电流,9738,88.63329225713699,35.39827888678291,76.0,32.0,62.0,164.0,0.0,506.0
割煤中位,采煤机_截割部位_左滚筒_电机_电流,9738,95.52125693160814,43.52666963344717,78.0,43.0,59.0,191.0,0.0,394.0
