工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
停机,采煤机_截割部位_右滚筒_电机_电流,10549,3.5073466679306096,24.81986802857054,0.0,0.0,0.0,0.0,0.0,1089.0
停机,采煤机_截割部位_左滚筒_电机_电流,10591,3.4584080823340573,18.835550566321704,0.0,0.0,0.0,0.0,0.0,205.0
停机,采煤机_截割部位_右滚筒_电机_温度,10594,49.39720596564093,20.247800714252215,54.0,16.0,0.0,70.0,0.0,87.0
停机,采煤机_截割部位_左滚筒_电机_温度,10593,51.88294156518456,21.241920510324466,56.0,15.0,0.0,74.0,0.0,90.0
停机,采煤机_牵引部位_右电机_电流,10548,6.917614713689799,31.416914350674453,0.0,0.0,0.0,22.749999999987267,0.0,168.0
停机,采煤机_牵引部位_左电机_电流,10548,7.326128175957527,33.56570331525408,0.0,0.0,0.0,35.0,0.0,213.0
停机,采煤机_牵引部位_右电机_温度,10593,46.02633814783348,18.93841134086012,50.0,11.0,0.0,68.0,0.0,79.0
停机,采煤机_牵引部位_左电机_温度,10594,45.540211440437986,18.689238897022243,50.0,11.0,0.0,67.0,0.0,79.0
停机,采煤机_破碎机_电机_电流,10549,0.03952981325244099,1.1484106022473133,0.0,0.0,0.0,0.0,0.0,48.0
停机,采煤机_破碎机_电机_温度,10549,101.92937719215091,188.39216181777226,41.0,12.0,0.0,644.0,0.0,645.0
停机,采煤机_油泵_右电机_电流,10591,1.5081673118685677,8.383640923620401,0.0,0.0,0.0,0.0,0.0,50.0
停机,采煤机_油泵_左电机_电流,10591,0.5778491171749599,3.144305174140487,0.0,0.0,0.0,0.0,0.0,63.0
停机,采煤机_油泵_右电机_温度,10594,40.48348121578252,15.88889000173797,45.0,6.0,0.0,53.0,0.0,75.0
停机,采煤机_油泵_左电机_温度,10594,41.328959788559565,16.2444413319443,46.0,7.0,0.0,55.0,0.0,72.0
停机,采煤机_油泵_右油箱_油压,10591,0.2652251912000756,0.46222649413238315,0.1,0.1,0.1,0.5,0.0,3.4
停机,采煤机_油泵_左油箱_油压,10591,0.34019450476819946,0.5746805116129643,0.2,0.09999999999999998,0.1,0.7,0.0,25.3
轻载,采煤机_截割部位_右滚筒_电机_电流,5981,0.04648052165189768,1.8105875996780172,0.0,0.0,0.0,0.0,0.0,84.0
轻载,采煤机_截割部位_左滚筒_电机_电流,5981,0.039291088446748036,1.7969007944724043,0.0,0.0,0.0,0.0,0.0,103.0
轻载,采煤机_截割部位_右滚筒_电机_温度,5987,54.17537998997829,8.059365616829666,52.0,14.0,44.0,68.0,38.0,79.0
轻载,采煤机_截割部位_左滚筒_电机_温度,5987,56.074995824285956,8.284075725077807,54.0,14.0,44.0,69.0,40.0,86.0
轻载,采煤机_牵引部位_右电机_电流,5981,4.578832971075071,22.186816362575787,0.0,0.0,0.0,0.0,0.0,168.0
轻载,采煤机_牵引部位_左电机_电流,5981,4.616284902190269,22.47261936837347,0.0,0.0,0.0,0.0,0.0,182.0
轻载,采煤机_牵引部位_右电机_温度,5987,49.1154167362619,5.536782678095662,49.0,7.0,43.0,57.0,35.0,76.0
轻载,采煤机_牵引部位_左电机_温度,5987,48.24219141473192,5.308942546482975,48.0,7.0,42.0,55.0,34.0,75.0
轻载,采煤机_破碎机_电机_电流,5981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
轻载,采煤机_破碎机_电机_温度,5981,104.97809730814245,184.14333671146724,41.0,13.0,34.0,644.0,28.0,645.0
轻载,采煤机_油泵_右电机_电流,5981,0.14245109513459286,5.0413211749092195,0.0,0.0,0.0,0.0,0.0,211.0
轻载,采煤机_油泵_左电机_电流,5981,0.17522153486039124,5.7483940435421195,0.0,0.0,0.0,0.0,0.0,225.0
轻载,采煤机_油泵_右电机_温度,5987,46.13412393519292,4.732343225459001,47.0,7.0,39.0,53.0,33.0,75.0
轻载,采煤机_油泵_左电机_温度,5987,46.78770669784533,4.908060257276104,47.0,7.0,41.0,54.0,34.0,72.0
轻载,采煤机_油泵_右油箱_油压,5981,0.17874937301454605,0.11814840043785559,0.1,0.19999999999999998,0.1,0.4,0.0,0.8
轻载,采煤机_油泵_左油箱_油压,5981,0.27117538873098146,0.17331153929683799,0.2,0.2,0.1,0.7,0.0,1.4
重载,采煤机_截割部位_右滚筒_电机_电流,22601,107.11021636210788,152.20437155472317,74.0,36.0,43.0,191.0,0.0,1132.0
重载,采煤机_截割部位_左滚筒_电机_电流,22603,90.31619696500465,66.75153103530823,74.0,41.0,47.0,182.0,0.0,1091.0
重载,采煤机_截割部位_右滚筒_电机_温度,22603,66.73065522275805,6.319356505677627,67.0,7.0,55.0,76.0,38.0,92.0
重载,采煤机_截割部位_左滚筒_电机_温度,22603,71.8204220678671,7.263936251181863,73.0,8.0,58.0,82.0,40.0,105.0
重载,采煤机_牵引部位_右电机_电流,22599,105.54413912120005,49.43346891605064,111.0,53.0,0.0,173.0,0.0,248.0
重载,采煤机_牵引部位_左电机_电流,22599,105.88092393468737,49.50323183168812,111.0,53.0,0.0,177.0,0.0,239.0
重载,采煤机_牵引部位_右电机_温度,22603,64.71707295491748,7.201204758770086,66.0,9.0,50.0,74.0,35.0,83.0
重载,采煤机_牵引部位_左电机_温度,22603,64.32022297925054,7.177076631399191,66.0,8.0,50.0,73.0,34.0,82.0
