工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
停机,采煤机_牵引部位_采煤机速度,13131,0.19473688218719057,1.169964390695391,0.0,0.0,0.0,0.01,0.0,10.02
停机,采煤机_截割部位_右滚筒_电机_电流,13093,49.083556098678685,207.19437589176582,0.0,0.0,0.0,100.0,0.0,1132.0
停机,采煤机_截割部位_左滚筒_电机_电流,13137,13.410672147370024,67.50158846831665,0.0,0.0,0.0,66.0,0.0,1091.0
停机,采煤机_截割部位_右滚筒_电机_温度,13140,51.57146118721461,19.04583092549941,55.0,16.0,0.0,70.0,0.0,87.0
停机,采煤机_截割部位_左滚筒_电机_温度,13139,54.772128776923665,20.431727664633645,58.0,17.0,0.0,76.0,0.0,100.0
停机,采煤机_牵引部位_右电机_电流,13090,5.700840336134454,28.663275869248288,0.0,0.0,0.0,0.0,0.0,239.0
停机,采煤机_牵引部位_左电机_电流,13090,6.017570664629488,30.514743595194336,0.0,0.0,0.0,0.0,0.0,182.0
停机,采煤机_牵引部位_右电机_温度,13139,48.467463277266155,18.24461661720709,51.0,15.0,0.0,69.0,0.0,79.0
停机,采煤机_牵引部位_左电机_温度,13140,48.035844748858445,18.09348318382156,50.0,15.0,0.0,70.0,0.0,79.0
停机,采煤机_牵引部位_右电机_电压,13137,244.5626855446449,378.9685356273571,0.0,520.0,0.0,960.0,0.0,1050.0
停机,采煤机_牵引部位_左电机_电压,13140,231.9794520547945,371.03393470693993,10.0,380.0,0.0,960.0,0.0,1050.0
停机,采煤机_牵引部位_位置米数,13131,155.5475394105552,112.89324129047094,153.23,218.01000000000002,0.0,317.67,0.0,351.16
停机,采煤机_破碎机_电机_电流,13093,0.5893989154510043,4.193940854281675,0.0,0.0,0.0,0.0,0.0,156.0
停机,采煤机_破碎机_电机_温度,13093,99.23058122660964,182.70782121223567,41.0,13.0,0.0,644.0,0.0,645.0
停机,采煤机_油泵_右电机_电流,13137,4.167618177666133,10.520817109895747,0.0,0.0,0.0,20.0,0.0,211.0
停机,采煤机_油泵_左电机_电流,13137,3.5126741265129025,8.872976129448812,0.0,0.0,0.0,18.0,0.0,225.0
停机,采煤机_油泵_右电机_温度,13140,42.07998477929985,14.745292920721546,46.0,8.0,0.0,53.0,0.0,75.0
停机,采煤机_油泵_左电机_温度,13140,42.907914764079145,15.0586235877663,47.0,7.0,0.0,55.0,0.0,72.0
待机,采煤机_牵引部位_采煤机速度,7090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待机,采煤机_截割部位_右滚筒_电机_电流,7090,13.142877291960508,36.56243817214787,0.0,0.0,0.0,66.0,0.0,990.0
待机,采煤机_截割部位_左滚筒_电机_电流,7090,14.28758815232722,51.326069291972594,0.0,0.0,0.0,66.0,0.0,1087.0
待机,采煤机_截割部位_右滚筒_电机_温度,7096,56.70279030439684,9.223626168709838,58.0,16.0,44.0,71.0,38.0,87.0
待机,采煤机_截割部位_左滚筒_电机_温度,7096,59.23717587373168,10.449817221424338,61.0,18.0,45.0,77.0,0.0,102.0
待机,采煤机_牵引部位_右电机_电流,7090,15.87277856135402,34.0201078146596,0.0,0.0,0.0,106.0,0.0,239.0
待机,采煤机_牵引部位_左电机_电流,7090,16.119605077574047,34.49177775510018,0.0,0.0,0.0,106.0,0.0,235.0
待机,采煤机_牵引部位_右电机_温度,7096,52.48238444193912,8.583348549966976,51.0,10.0,43.0,70.0,36.0,80.0
待机,采煤机_牵引部位_左电机_温度,7096,51.6717869222097,8.593315220563264,50.0,8.0,42.0,70.0,35.0,79.0
待机,采煤机_牵引部位_右电机_电压,7090,179.6516220028209,351.5690077470275,0.0,0.0,0.0,900.0,0.0,1030.0
待机,采煤机_牵引部位_左电机_电压,7096,181.64740698985344,352.7609818123565,0.0,10.0,0.0,900.0,0.0,1030.0
待机,采煤机_牵引部位_位置米数,7090,204.63315937940763,102.42714003001929,232.83,182.70999999999998,48.15,317.67,0.0,351.16
待机,采煤机_破碎机_电机_电流,7090,1.655994358251058,8.489286122946979,0.0,0.0,0.0,20.0,0.0,285.0
待机,采煤机_破碎机_电机_温度,7090,109.72863187588152,188.76716349830156,42.0,17.0,34.0,644.0,0.0,645.0
待机,采煤机_油泵_右电机_电流,7090,3.5782792665726375,7.641777525730366,0.0,0.0,0.0,18.0,0.0,74.0
待机,采煤机_油泵_左电机_电流,7090,3.6382228490832156,7.953967010239964,0.0,0.0,0.0,17.0,0.0,65.0
