工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
停机,采煤机_截割部位_右滚筒_电机_电流,22059,70.78421505961286,161.5919312905266,62.0,78.0,0.0,158.0,0.0,1132.0
停机,采煤机_截割部位_左滚筒_电机_电流,22103,54.368230556937974,75.65153696744484,59.0,82.0,0.0,160.0,0.0,1091.0
停机,采煤机_截割部位_右滚筒_电机_温度,22106,58.7689767483941,17.18869782334607,64.0,16.0,0.0,75.0,0.0,87.0
停机,采煤机_截割部位_左滚筒_电机_温度,22105,62.653653019678806,18.59426714753952,68.0,18.0,0.0,80.0,0.0,105.0
停机,采煤机_牵引部位_右电机_电流,22056,61.06941421835328,64.21693528378002,44.0,119.0,0.0,164.0,0.0,244.0
停机,采煤机_牵引部位_左电机_电流,22056,61.26872506347479,64.4762534792449,44.0,119.0,0.0,164.0,0.0,239.0
停机,采煤机_牵引部位_右电机_温度,22105,56.02062881700973,16.92373167051844,61.0,17.0,0.0,73.0,0.0,81.0
停机,采煤机_牵引部位_左电机_温度,22106,55.5892517868452,16.82249413660322,60.0,17.0,0.0,72.0,0.0,81.0
停机,采煤机_破碎机_电机_电流,22059,0.12013237227435514,1.7713698077108224,0.0,0.0,0.0,0.0,0.0,28.0
停机,采煤机_破碎机_电机_温度,22059,40.689015821206766,12.859439586494139,41.0,10.0,0.0,59.0,0.0,83.0
停机,采煤机_油泵_右电机_电流,22103,11.190155182554404,11.396927640069427,17.0,17.0,0.0,22.0,0.0,211.0
停机,采煤机_油泵_左电机_电流,22103,10.744650047504864,10.874425236791243,16.0,17.0,0.0,20.0,0.0,225.0
停机,采煤机_油泵_右电机_温度,22106,45.8594499230978,12.36190215700768,49.0,7.0,0.0,54.0,0.0,75.0
停机,采煤机_油泵_左电机_温度,22106,47.06093368316294,12.742583117837942,50.0,7.0,0.0,56.0,0.0,72.0
空载运行,采煤机_截割部位_右滚筒_电机_电流,16960,52.307016509433964,57.26294158590251,62.0,80.0,0.0,150.0,0.0,1097.0
空载运行,采煤机_截割部位_左滚筒_电机_电流,16960,50.91485849056604,54.99461651164588,59.0,78.0,0.0,146.0,0.0,1062.0
空载运行,采煤机_截割部位_右滚筒_电机_温度,16966,61.8524696451727,9.157404285869159,64.0,14.0,46.0,74.0,38.0,92.0
空载运行,采煤机_截割部位_左滚筒_电机_温度,16966,65.74407638807025,10.705984569574753,69.0,18.0,48.0,81.0,40.0,103.0
空载运行,采煤机_牵引部位_右电机_电流,16960,66.31987028301887,64.81261437814666,75.0,124.0,0.0,168.0,0.0,248.0
空载运行,采煤机_牵引部位_左电机_电流,16960,66.77364386792453,65.29629855422591,79.0,124.0,0.0,168.0,0.0,239.0
空载运行,采煤机_牵引部位_右电机_温度,16966,58.86696923258281,10.081299688835898,60.0,18.0,44.0,73.0,35.0,83.0
空载运行,采煤机_牵引部位_左电机_温度,16966,58.28999174820229,10.168465562197357,59.0,19.0,43.0,73.0,34.0,82.0
空载运行,采煤机_破碎机_电机_电流,16960,8.900294811320755,12.586405136205846,0.0,20.0,0.0,30.0,0.0,49.0
空载运行,采煤机_破碎机_电机_温度,16960,192.84929245283018,254.6588620363531,55.0,35.0,34.0,645.0,28.0,645.0
