工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
待机,采煤机_牵引部位_采煤机速度,17017,0.006455309396485868,0.1903017624303208,0.0,0.0,0.0,0.0,0.0,7.35
待机,采煤机_截割部位_右滚筒_电机_电流,16980,0.26849234393404003,16.346103773170263,0.0,0.0,0.0,0.0,0.0,1093.0
待机,采煤机_截割部位_左滚筒_电机_电流,17023,0.6362568289960642,24.40421815927578,0.0,0.0,0.0,0.0,0.0,1087.0
待机,采煤机_截割部位_右滚筒_电机_温度,17032,52.32380225457961,15.525999858065463,53.0,15.0,0.0,69.0,0.0,87.0
待机,采煤机_截割部位_左滚筒_电机_温度,17031,54.681345781222475,16.23493129523263,55.0,15.0,0.0,72.0,0.0,89.0
待机,采煤机_牵引部位_右电机_电流,16979,2.8303198068201896,17.048439270081047,0.0,0.0,0.0,0.0,0.0,239.0
待机,采煤机_牵引部位_左电机_电流,16979,2.820660816302491,17.039843263593305,0.0,0.0,0.0,0.0,0.0,182.0
待机,采煤机_牵引部位_右电机_温度,17031,48.30051083318654,14.150233594251084,50.0,10.0,0.0,66.0,0.0,79.0
待机,采煤机_牵引部位_左电机_温度,17032,47.67619774542039,13.935028461910816,49.5,9.0,0.0,66.0,0.0,79.0
待机,采煤机_牵引部位_右电机_电压,17023,96.12994184338835,250.00438703413226,0.0,0.0,0.0,840.0,0.0,1050.0
待机,采煤机_牵引部位_左电机_电压,17032,101.01749647721935,252.1052349367352,0.0,10.0,0.0,850.0,0.0,1050.0
待机,采煤机_牵引部位_位置米数,17017,178.30241581947465,113.25082750700358,193.94,226.57000000000002,0.0,317.67,0.0,351.16
待机,采煤机_破碎机_电机_电流,16980,0.009540636042402828,0.5074506374109533,0.0,0.0,0.0,0.0,0.0,27.0
待机,采煤机_破碎机_电机_温度,16980,105.12720848056537,188.03812535218697,41.0,12.0,0.0,644.0,0.0,645.0
待机,采煤机_油泵_右电机_电流,17023,0.8897374140868237,5.238605833456071,0.0,0.0,0.0,0.0,0.0,211.0
待机,采煤机_油泵_左电机_电流,17023,0.8500851788756388,5.322051572681668,0.0,0.0,0.0,0.0,0.0,225.0
待机,采煤机_油泵_右电机_温度,17032,43.57339126350399,11.937253414293753,46.0,7.0,0.0,53.0,0.0,75.0
待机,采煤机_油泵_左电机_温度,17032,44.378816345702205,12.192858496560191,46.0,7.0,0.0,54.0,0.0,72.0
待机,采煤机_油泵_右油箱_油压,17023,0.3464430476414263,0.9802407289311076,0.1,0.19999999999999998,0.1,2.2,0.0,26.0
待机,采煤机_油泵_左油箱_油压,17023,0.4038829818480879,0.911077639172878,0.2,0.2,0.1,2.3,0.0,25.9
待机,采煤机_采煤机倾角_俯仰角,17032,0.6449976514795678,0.9737631952612507,0.7,1.2,-1.0,2.2,-2.7,4.0
正常运行,采煤机_牵引部位_采煤机速度,4170,0.03980095923261392,0.09307913499158935,0.0,0.02,0.0,0.27,0.0,0.5
正常运行,采煤机_截割部位_右滚筒_电机_电流,4169,189.66610698009114,329.97261318898154,64.0,10.0,57.0,1066.0,0.0,1132.0
正常运行,采煤机_截割部位_左滚筒_电机_电流,4170,79.84772182254197,111.73060301763884,62.0,9.0,47.0,119.0,0.0,1091.0
正常运行,采煤机_截割部位_右滚筒_电机_温度,4170,65.5841726618705,6.097154177459601,66.0,7.0,54.0,74.0,40.0,88.0
正常运行,采煤机_截割部位_左滚筒_电机_温度,4170,72.18968824940048,7.254948804575275,74.0,8.0,59.0,82.0,43.0,105.0
