工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
停机,三机_转载机_电机_电流,34674,0.39161908057910827,5.664550440965393,0.0,0.0,0.0,0.0,0.0,120.0
停机,三机_转载机_电机_转速,34674,4.999307838726423,75.12175654251567,0.0,0.0,0.0,0.0,0.0,1404.0
停机,三机_转载机_电机_转矩,34674,0.11844609794082021,1.7678019623036356,0.0,0.0,0.0,0.0,0.0,50.0
停机,三机_转载机_链条速度,34674,7.846859318221146,117.50489292889247,0.0,0.0,0.0,0.0,0.0,2188.0
停机,三机_转载机_变频器_IGBT1温度,34682,33.87806354881495,5.695180130462182,34.0,4.0,30.0,42.0,0.0,63.0
停机,三机_转载机_变频器_IGBT2温度,34679,34.12849274777243,5.459051818572787,34.0,4.0,30.0,41.0,0.0,76.0
停机,三机_转载机_变频器_腔体温度,34682,38.80035753416758,6.171112312349615,39.0,4.0,35.0,47.0,0.0,68.0
停机,三机_转载机_减速器_油箱_油温,34681,48.214301779072116,8.546433530410216,46.7,13.599999999999994,36.0,63.7,21.4,79.2
停机,三机_转载机_减速器_油箱_油位,34682,277.4360186840436,32.36254663853086,273.0,21.0,247.0,321.0,32.0,662.0
停机,三机_转载机_减速器_冷却水_温度,34680,34.503837946943484,4.052766648570354,34.3,5.5,28.9,41.4,19.5,65.9
停机,三机_转载机_减速器_冷却水_压力,34675,0.10246575342465754,0.09608023234668056,0.1,0.2,0.0,0.2,0.0,0.3
停机,三机_转载机_减速器_冷却水_流量,34680,26.431487889273356,23.633033602473052,43.0,48.0,0.0,53.0,0.0,63.0
带载运行,三机_转载机_电机_电流,51717,86.63280932768723,14.638856916306375,86.0,18.0,65.0,109.0,50.0,493.0
带载运行,三机_转载机_电机_转速,51717,1100.442717094959,242.5856590786637,1197.0,153.0,502.0,1300.0,-19.0,1503.0
带载运行,三机_转载机_电机_转矩,51717,28.233578900554942,9.62178030724764,28.0,12.0,12.0,43.0,-11.0,237.0
带载运行,三机_转载机_链条速度,51717,1715.5887619158111,381.84463516132007,1868.0,238.0,782.0,2027.0,0.0,2347.0
带载运行,三机_转载机_变频器_IGBT1温度,51717,47.137440300094745,3.7810840201816003,47.0,4.0,40.0,53.0,29.0,63.0
带载运行,三机_转载机_变频器_IGBT2温度,51717,46.84111607401822,3.4445981072439547,47.0,4.0,41.0,52.0,29.0,61.0
带载运行,三机_转载机_变频器_腔体温度,51717,52.137440300094745,3.7810840201816003,52.0,4.0,45.0,58.0,34.0,68.0
带载运行,三机_转载机_减速器_油箱_油温,51717,63.63834135777403,6.803048096633023,65.6,6.699999999999996,48.4,70.9,29.5,79.2
带载运行,三机_转载机_减速器_油箱_油位,51717,296.0631320455556,91.17893260352294,268.0,102.0,201.0,482.0,51.0,734.0
带载运行,三机_转载机_减速器_冷却水_温度,51717,42.31359900999672,4.798690221733117,42.6,5.5,33.9,49.2,27.0,67.2
带载运行,三机_转载机_减速器_冷却水_压力,51717,0.12731790320397549,0.08230599410945805,0.2,0.1,0.0,0.2,0.0,0.3
带载运行,三机_转载机_减速器_冷却水_流量,51717,38.01543012935785,14.667153367786234,45.0,23.0,12.0,52.0,0.0,60.0
空载运行,三机_转载机_电机_电流,938,0.4989339019189765,4.277737646836463,0.0,0.0,0.0,1.0,0.0,49.0
空载运行,三机_转载机_电机_转速,938,6.543710021321962,87.66806404865787,0.0,0.0,0.0,0.0,0.0,1205.0
空载运行,三机_转载机_电机_转矩,938,0.15031982942430705,2.112457946503911,0.0,0.0,0.0,0.0,-10.0,39.0
空载运行,三机_转载机_链条速度,938,97.81236673773988,384.49650983211353,0.0,0.0,0.0,1569.0,0.0,1877.0
空载运行,三机_转载机_变频器_IGBT1温度,938,35.76759061833689,7.102909007563034,34.0,6.0,29.0,49.0,0.0,63.0
空载运行,三机_转载机_变频器_IGBT2温度,938,35.88912579957356,6.624763670657512,35.0,5.0,30.0,48.0,0.0,59.0
空载运行,三机_转载机_变频器_腔体温度,938,40.70362473347548,7.439278548765733,39.0,6.0,34.0,54.0,0.0,68.0
空载运行,三机_转载机_减速器_油箱_油温,938,51.778678038379525,9.254049627041788,52.3,15.600000000000001,37.0,66.5,29.7,74.4
空载运行,三机_转载机_减速器_油箱_油位,938,270.4136460554371,45.95858320584272,266.5,24.0,232.85,326.7499999999999,81.0,630.0
空载运行,三机_转载机_减速器_冷却水_温度,938,34.93443496801706,4.58131201477128,34.2,6.3750000000000036,28.985,42.73,19.7,57.4
空载运行,三机_转载机_减速器_冷却水_压力,938,0.11353944562899787,0.08550644959097702,0.1,0.2,0.0,0.2,0.0,0.3
空载运行,三机_转载机_减速器_冷却水_流量,938,31.356076759061835,20.44038266414782,39.0,38.0,0.0,53.0,0.0,60.0
